Linux 5.4.0-73-generic (server3) 	2021년 05월 28일 	_x86_64_	(10 CPU)

22시 48분 51초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 52초  all    8.60    0.00   17.10    0.00    0.00   18.50    0.00    0.00    0.00   55.80
22시 48분 52초    0   21.21    0.00   43.43    0.00    0.00   35.35    0.00    0.00    0.00    0.00
22시 48분 52초    1    7.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
22시 48분 52초    2   18.00    0.00   39.00    0.00    0.00   35.00    0.00    0.00    0.00    8.00
22시 48분 52초    3    3.00    0.00    4.00    0.00    0.00    7.00    0.00    0.00    0.00   86.00
22시 48분 52초    4    2.94    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   94.12
22시 48분 52초    5   13.00    0.00   28.00    0.00    0.00   32.00    0.00    0.00    0.00   27.00
22시 48분 52초    6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
22시 48분 52초    7   15.15    0.00   25.25    0.00    0.00   56.57    0.00    0.00    0.00    3.03
22시 48분 52초    8    3.96    0.00    9.90    0.00    0.00   15.84    0.00    0.00    0.00   70.30
22시 48분 52초    9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

22시 48분 52초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 53초  all    8.88    0.00   15.27    0.00    0.00   18.06    0.00    0.00    0.00   57.78
22시 48분 53초    0   17.82    0.00   26.73    0.00    0.00   29.70    0.00    0.00    0.00   25.74
22시 48분 53초    1    1.96    0.00    0.98    0.00    0.00    2.94    0.00    0.00    0.00   94.12
22시 48분 53초    2   12.87    0.00   20.79    0.00    0.00   27.72    0.00    0.00    0.00   38.61
22시 48분 53초    3    7.07    0.00   19.19    0.00    0.00   25.25    0.00    0.00    0.00   48.48
22시 48분 53초    4    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
22시 48분 53초    5    4.00    0.00    6.00    0.00    0.00   11.00    0.00    0.00    0.00   79.00
22시 48분 53초    6    9.09    0.00   17.17    0.00    0.00   25.25    0.00    0.00    0.00   48.48
22시 48분 53초    7   16.83    0.00   35.64    0.00    0.00   37.62    0.00    0.00    0.00    9.90
22시 48분 53초    8   14.29    0.00   24.49    0.00    0.00   22.45    0.00    0.00    0.00   38.78
22시 48분 53초    9    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98

22시 48분 53초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 54초  all    9.28    0.00   18.06    0.00    0.00   14.77    0.00    0.00    0.00   57.88
22시 48분 54초    0    1.94    0.00    2.91    0.00    0.00    2.91    0.00    0.00    0.00   92.23
22시 48분 54초    1    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
22시 48분 54초    2   14.14    0.00   38.38    0.00    0.00   33.33    0.00    0.00    0.00   14.14
22시 48분 54초    3    3.96    0.00    4.95    0.00    0.00   10.89    0.00    0.00    0.00   80.20
22시 48분 54초    4    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
22시 48분 54초    5   22.00    0.00   43.00    0.00    0.00   35.00    0.00    0.00    0.00    0.00
22시 48분 54초    6   20.79    0.00   44.55    0.00    0.00   34.65    0.00    0.00    0.00    0.00
22시 48분 54초    7   24.00    0.00   46.00    0.00    0.00   30.00    0.00    0.00    0.00    0.00
22시 48분 54초    8    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
22시 48분 54초    9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00

22시 48분 54초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 55초  all    6.47    0.00   11.45    0.00    0.00   24.30    0.00    0.00    0.00   57.77
22시 48분 55초    0    1.94    0.00    0.00    0.00    0.00    2.91    0.00    0.00    0.00   95.15
22시 48분 55초    1    1.96    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   96.08
22시 48분 55초    2    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
22시 48분 55초    3    9.90    0.00   17.82    0.00    0.00   72.28    0.00    0.00    0.00    0.00
22시 48분 55초    4    1.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
22시 48분 55초    5   12.00    0.00   29.00    0.00    0.00   59.00    0.00    0.00    0.00    0.00
22시 48분 55초    6   13.13    0.00   25.25    0.00    0.00   61.62    0.00    0.00    0.00    0.00
22시 48분 55초    7    1.02    0.00    5.10    0.00    0.00    6.12    0.00    0.00    0.00   87.76
22시 48분 55초    8   18.00    0.00   31.00    0.00    0.00   42.00    0.00    0.00    0.00    9.00
22시 48분 55초    9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

22시 48분 55초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 56초  all    8.05    0.00   13.62    0.00    0.00   20.78    0.00    0.00    0.00   57.55
22시 48분 56초    0    2.88    0.00    2.88    0.00    0.00    3.85    0.00    0.00    0.00   90.38
22시 48분 56초    1    0.99    0.00    0.99    0.99    0.00    0.99    0.00    0.00    0.00   96.04
22시 48분 56초    2   14.00    0.00   17.00    0.00    0.00   56.00    0.00    0.00    0.00   13.00
22시 48분 56초    3   17.17    0.00   36.36    0.00    0.00   46.46    0.00    0.00    0.00    0.00
22시 48분 56초    4    1.98    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   95.05
22시 48분 56초    5   19.00    0.00   37.00    0.00    0.00   44.00    0.00    0.00    0.00    0.00
22시 48분 56초    6   19.80    0.00   32.67    0.00    0.00   47.52    0.00    0.00    0.00    0.00
22시 48분 56초    7    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
22시 48분 56초    8    4.00    0.00    8.00    0.00    0.00    6.00    0.00    0.00    0.00   82.00
22시 48분 56초    9    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00

22시 48분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 57초  all    8.25    0.00   16.40    0.00    0.00   17.69    0.00    0.00    0.00   57.65
22시 48분 57초    0    0.00    0.00    0.95    0.00    0.00    5.71    0.00    0.00    0.00   93.33
22시 48분 57초    1    1.96    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   96.08
22시 48분 57초    2   12.00    0.00   31.00    0.00    0.00   57.00    0.00    0.00    0.00    0.00
22시 48분 57초    3   21.21    0.00   42.42    0.00    0.00   36.36    0.00    0.00    0.00    0.00
22시 48분 57초    4    2.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   97.00
22시 48분 57초    5   23.23    0.00   43.43    0.00    0.00   33.33    0.00    0.00    0.00    0.00
22시 48분 57초    6   14.14    0.00   41.41    0.00    0.00   44.44    0.00    0.00    0.00    0.00
22시 48분 57초    7    2.97    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   94.06
22시 48분 57초    8    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
22시 48분 57초    9    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.03

22시 48분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 58초  all   10.19    0.00   16.98    0.00    0.00   17.58    0.00    0.00    0.00   55.24
22시 48분 58초    0    4.76    0.00    2.86    0.00    0.00    4.76    0.00    0.00    0.00   87.62
22시 48분 58초    1    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
22시 48분 58초    2   17.17    0.00   43.43    0.00    0.00   39.39    0.00    0.00    0.00    0.00
22시 48분 58초    3    3.92    0.00    2.94    0.00    0.00    5.88    0.00    0.00    0.00   87.25
22시 48분 58초    4   11.11    0.00   24.24    0.00    0.00   60.61    0.00    0.00    0.00    4.04
22시 48분 58초    5   25.74    0.00   40.59    0.00    0.00   33.66    0.00    0.00    0.00    0.00
22시 48분 58초    6   24.00    0.00   43.00    0.00    0.00   33.00    0.00    0.00    0.00    0.00
22시 48분 58초    7    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
22시 48분 58초    8    7.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
22시 48분 58초    9    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93

22시 48분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 59초  all    7.26    0.00   15.42    0.00    0.00   19.90    0.00    0.00    0.00   57.41
22시 48분 59초    0   14.29    0.00   20.41    0.00    0.00   44.90    0.00    0.00    0.00   20.41
22시 48분 59초    1    1.90    0.00    2.86    0.00    0.00   11.43    0.00    0.00    0.00   83.81
22시 48분 59초    2   10.89    0.00   31.68    0.00    0.00   21.78    0.00    0.00    0.00   35.64
22시 48분 59초    3    3.03    0.00    4.04    0.00    0.00    6.06    0.00    0.00    0.00   86.87
22시 48분 59초    4   13.86    0.00   28.71    0.00    0.00   57.43    0.00    0.00    0.00    0.00
22시 48분 59초    5   14.00    0.00   42.00    0.00    0.00   25.00    0.00    0.00    0.00   19.00
22시 48분 59초    6    5.94    0.00   13.86    0.00    0.00   17.82    0.00    0.00    0.00   62.38
22시 48분 59초    7    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
22시 48분 59초    8    2.02    0.00    5.05    0.00    0.00    4.04    0.00    0.00    0.00   88.89
22시 48분 59초    9    6.06    0.00    5.05    0.00    0.00    9.09    0.00    0.00    0.00   79.80

22시 48분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 49분 00초  all   10.41    0.00   15.76    0.00    0.00   18.14    0.00    0.00    0.00   55.70
22시 49분 00초    0    9.71    0.00   21.36    0.00    0.00   24.27    0.00    0.00    0.00   44.66
22시 49분 00초    1    8.65    0.00    8.65    0.00    0.00   24.04    0.00    0.00    0.00   58.65
22시 49분 00초    2    5.88    0.00    0.98    0.00    0.00    7.84    0.00    0.00    0.00   85.29
22시 49분 00초    3   13.00    0.00   31.00    0.00    0.00   36.00    0.00    0.00    0.00   20.00
22시 49분 00초    4   15.00    0.00   30.00    0.00    0.00   21.00    0.00    0.00    0.00   34.00
22시 49분 00초    5   20.20    0.00   35.35    0.00    0.00   35.35    0.00    0.00    0.00    9.09
22시 49분 00초    6    5.83    0.00    3.88    0.00    0.00    2.91    0.00    0.00    0.00   87.38
22시 49분 00초    7    1.98    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   96.04
22시 49분 00초    8    7.84    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   90.20
22시 49분 00초    9   18.18    0.00   23.23    0.00    0.00   30.30    0.00    0.00    0.00   28.28

22시 49분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 49분 01초  all    8.59    0.00   16.78    0.20    0.00   16.98    0.00    0.00    0.00   57.44
22시 49분 01초    0    0.00    0.00    2.00    1.00    0.00    4.00    0.00    0.00    0.00   93.00
