Linux 5.4.0-58-generic (kesServer) 	2021년 01월 20일 	_x86_64_	(20 CPU)

10시 49분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 35초  all   14.39    0.00   31.63    0.00    0.00   23.06    0.00    0.00    0.00   30.92
10시 49분 35초    0   14.43    0.00   37.11    0.00    0.00    8.25    0.00    0.00    0.00   40.21
10시 49분 35초    1   14.58    0.00   34.38    0.00    0.00    8.33    0.00    0.00    0.00   42.71
10시 49분 35초    2   12.37    0.00   30.93    0.00    0.00   24.74    0.00    0.00    0.00   31.96
10시 49분 35초    3   14.58    0.00   34.38    0.00    0.00   18.75    0.00    0.00    0.00   32.29
10시 49분 35초    4   14.00    0.00   31.00    0.00    0.00   26.00    0.00    0.00    0.00   29.00
10시 49분 35초    5   16.33    0.00   31.63    0.00    0.00   11.22    0.00    0.00    0.00   40.82
10시 49분 35초    6   17.17    0.00   31.31    0.00    0.00   22.22    0.00    0.00    0.00   29.29
10시 49분 35초    7   13.13    0.00   27.27    0.00    0.00   48.48    0.00    0.00    0.00   11.11
10시 49분 35초    8   12.63    0.00   35.79    0.00    0.00   11.58    0.00    0.00    0.00   40.00
10시 49분 35초    9   14.14    0.00   24.24    0.00    0.00   49.49    0.00    0.00    0.00   12.12
10시 49분 35초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 35초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

10시 49분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 36초  all    9.42    0.00   19.82    0.00    0.00   34.83    0.00    0.00    0.00   35.93
10시 49분 36초    0   11.11    0.00   18.89    0.00    0.00   18.89    0.00    0.00    0.00   51.11
10시 49분 36초    1    9.89    0.00   24.18    0.00    0.00   10.99    0.00    0.00    0.00   54.95
10시 49분 36초    2   11.24    0.00   17.98    0.00    0.00   31.46    0.00    0.00    0.00   39.33
10시 49분 36초    3    9.89    0.00   21.98    0.00    0.00   28.57    0.00    0.00    0.00   39.56
10시 49분 36초    4    8.89    0.00   17.78    0.00    0.00   37.78    0.00    0.00    0.00   35.56
10시 49분 36초    5   14.61    0.00   17.98    0.00    0.00   12.36    0.00    0.00    0.00   55.06
10시 49분 36초    6   10.11    0.00   19.10    0.00    0.00   33.71    0.00    0.00    0.00   37.08
10시 49분 36초    7    5.21    0.00   17.71    0.00    0.00   70.83    0.00    0.00    0.00    6.25
10시 49분 36초    8    6.45    0.00   22.58    0.00    0.00   43.01    0.00    0.00    0.00   27.96
10시 49분 36초    9    8.08    0.00   20.20    0.00    0.00   55.56    0.00    0.00    0.00   16.16
10시 49분 36초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 36초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

10시 49분 36초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 37초  all    8.43    0.00   19.11    0.00    0.00   36.99    0.00    0.00    0.00   35.47
10시 49분 37초    0    9.28    0.00   24.74    0.00    0.00   15.46    0.00    0.00    0.00   50.52
10시 49분 37초    1   10.75    0.00   22.58    0.00    0.00   11.83    0.00    0.00    0.00   54.84
10시 49분 37초    2    6.32    0.00   14.74    0.00    0.00   38.95    0.00    0.00    0.00   40.00
10시 49분 37초    3    9.00    0.00   19.00    0.00    0.00   35.00    0.00    0.00    0.00   37.00
10시 49분 37초    4    9.90    0.00   17.82    0.00    0.00   37.62    0.00    0.00    0.00   34.65
10시 49분 37초    5    9.38    0.00   21.88    0.00    0.00   14.58    0.00    0.00    0.00   54.17
10시 49분 37초    6    7.92    0.00   16.83    0.00    0.00   41.58    0.00    0.00    0.00   33.66
10시 49분 37초    7    4.00    0.00   12.00    0.00    0.00   78.00    0.00    0.00    0.00    6.00
10시 49분 37초    8    9.80    0.00   21.57    0.00    0.00   40.20    0.00    0.00    0.00   28.43
10시 49분 37초    9    7.22    0.00   19.59    0.00    0.00   55.67    0.00    0.00    0.00   17.53
10시 49분 37초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 37초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

10시 49분 37초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 38초  all    8.17    0.00   19.14    0.00    0.00   36.67    0.00    0.00    0.00   36.02
10시 49분 38초    0    6.74    0.00   23.60    0.00    0.00   15.73    0.00    0.00    0.00   53.93
10시 49분 38초    1    6.59    0.00   20.88    0.00    0.00   15.38    0.00    0.00    0.00   57.14
10시 49분 38초    2   10.42    0.00   18.75    0.00    0.00   35.42    0.00    0.00    0.00   35.42
10시 49분 38초    3    8.89    0.00   17.78    0.00    0.00   34.44    0.00    0.00    0.00   38.89
10시 49분 38초    4    7.45    0.00   17.02    0.00    0.00   39.36    0.00    0.00    0.00   36.17
10시 49분 38초    5    8.99    0.00   21.35    0.00    0.00   14.61    0.00    0.00    0.00   55.06
10시 49분 38초    6    6.52    0.00   22.83    0.00    0.00   35.87    0.00    0.00    0.00   34.78
10시 49분 38초    7    5.05    0.00   19.19    0.00    0.00   69.70    0.00    0.00    0.00    6.06
10시 49분 38초    8   13.04    0.00   14.13    0.00    0.00   41.30    0.00    0.00    0.00   31.52
10시 49분 38초    9    8.08    0.00   17.17    0.00    0.00   58.59    0.00    0.00    0.00   16.16
10시 49분 38초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 38초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

10시 49분 38초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 39초  all    7.97    0.00   20.28    0.00    0.00   36.53    0.00    0.00    0.00   35.22
10시 49분 39초    0    5.21    0.00   29.17    0.00    0.00   14.58    0.00    0.00    0.00   51.04
10시 49분 39초    1   11.58    0.00   23.16    0.00    0.00   11.58    0.00    0.00    0.00   53.68
10시 49분 39초    2    8.74    0.00   17.48    0.00    0.00   37.86    0.00    0.00    0.00   35.92
10시 49분 39초    3    9.90    0.00   19.80    0.00    0.00   33.66    0.00    0.00    0.00   36.63
10시 49분 39초    4    7.00    0.00   20.00    0.00    0.00   37.00    0.00    0.00    0.00   36.00
10시 49분 39초    5   10.20    0.00   27.55    0.00    0.00    9.18    0.00    0.00    0.00   53.06
10시 49분 39초    6    9.00    0.00   18.00    0.00    0.00   39.00    0.00    0.00    0.00   34.00
10시 49분 39초    7    4.95    0.00   11.88    0.00    0.00   76.24    0.00    0.00    0.00    6.93
10시 49분 39초    8    8.00    0.00   20.00    0.00    0.00   42.00    0.00    0.00    0.00   30.00
10시 49분 39초    9    6.19    0.00   15.46    0.00    0.00   60.82    0.00    0.00    0.00   17.53
10시 49분 39초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10시 49분 39초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

10시 49분 39초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10시 49분 40초  all    8.22    0.00   22.48    0.00    0.00   33.66    0.00    0.00    0.00   35.64
10시 49분 40초    0    8.51    0.00   23.40    0.00    0.00   15.96    0.00    0.00    0.00   52.13
10시 49분 40초    1   11.65    0.00   28.16    0.00    0.00    9.71    0.00    0.00    0.00   50.49
10시 49분 40초    2    7.14    0.00   24.49    0.00    0.00   30.61    0.00    0.00    0.00   37.76
10시 49분 40초    3    7.77    0.00   20.39    0.00    0.00   34.95    0.00    0.00    0.00   36.89
