Linux 5.4.0-66-generic (kesServer) 	2021년 03월 24일 	_x86_64_	(20 CPU)

21시 02분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21시 02분 24초  all   15.96    0.00   32.42    0.00    0.00   23.23    0.00    0.00    0.00   28.38
21시 02분 24초    0   15.84    0.00   30.69    0.00    0.00   24.75    0.00    0.00    0.00   28.71
21시 02분 24초    1   15.53    0.00   31.07    0.00    0.00   25.24    0.00    0.00    0.00   28.16
21시 02분 24초    2   16.67    0.00   29.41    0.00    0.00   26.47    0.00    0.00    0.00   27.45
21시 02분 24초    3   16.16    0.00   34.34    0.00    0.00   22.22    0.00    0.00    0.00   27.27
21시 02분 24초    4   16.13    0.00   37.63    0.00    0.00   16.13    0.00    0.00    0.00   30.11
21시 02분 24초    5   16.83    0.00   30.69    0.00    0.00   24.75    0.00    0.00    0.00   27.72
21시 02분 24초    6   13.54    0.00   34.38    0.00    0.00   21.88    0.00    0.00    0.00   30.21
21시 02분 24초    7   18.37    0.00   31.63    0.00    0.00   21.43    0.00    0.00    0.00   28.57
21시 02분 24초    8   15.15    0.00   30.30    0.00    0.00   26.26    0.00    0.00    0.00   28.28
21시 02분 24초    9   15.00    0.00   35.00    0.00    0.00   22.00    0.00    0.00    0.00   28.00
21시 02분 24초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21시 02분 24초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

21시 02분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21시 02분 25초  all    7.64    0.00   19.11    0.00    0.00   34.92    0.00    0.00    0.00   38.33
