Linux 5.4.0-58-generic (kesServer) 	2021년 01월 05일 	_x86_64_	(20 CPU)

12시 22분 12초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 13초  all   21.97    0.00   48.04    0.00    0.00   22.57    0.00    0.00    0.00    7.42
12시 22분 13초    0   19.39    0.00   50.00    0.00    0.00   23.47    0.00    0.00    0.00    7.14
12시 22분 13초    1   21.00    0.00   49.00    0.00    0.00   20.00    0.00    0.00    0.00   10.00
12시 22분 13초    2   15.84    0.00   59.41    0.00    0.00   15.84    0.00    0.00    0.00    8.91
12시 22분 13초    3   20.00    0.00   45.00    0.00    0.00   28.00    0.00    0.00    0.00    7.00
12시 22분 13초    4   26.00    0.00   50.00    0.00    0.00   14.00    0.00    0.00    0.00   10.00
12시 22분 13초    5   27.18    0.00   43.69    0.00    0.00   19.42    0.00    0.00    0.00    9.71
12시 22분 13초    6   27.00    0.00   44.00    0.00    0.00   24.00    0.00    0.00    0.00    5.00
12시 22분 13초    7   21.43    0.00   48.98    0.00    0.00   23.47    0.00    0.00    0.00    6.12
12시 22분 13초    8   23.23    0.00   43.43    0.00    0.00   29.29    0.00    0.00    0.00    4.04
12시 22분 13초    9   17.82    0.00   46.53    0.00    0.00   29.70    0.00    0.00    0.00    5.94
12시 22분 13초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 13초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

12시 22분 13초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 14초  all   21.33    0.00   44.89    0.00    0.00   25.99    0.00    0.00    0.00    7.79
12시 22분 14초    0   17.00    0.00   44.00    0.00    0.00   36.00    0.00    0.00    0.00    3.00
12시 22분 14초    1   25.25    0.00   39.39    0.00    0.00   29.29    0.00    0.00    0.00    6.06
12시 22분 14초    2   22.22    0.00   50.51    0.00    0.00   18.18    0.00    0.00    0.00    9.09
12시 22분 14초    3   17.35    0.00   46.94    0.00    0.00   24.49    0.00    0.00    0.00   11.22
12시 22분 14초    4   20.83    0.00   43.75    0.00    0.00   21.88    0.00    0.00    0.00   13.54
12시 22분 14초    5   26.00    0.00   46.00    0.00    0.00   14.00    0.00    0.00    0.00   14.00
12시 22분 14초    6   26.00    0.00   43.00    0.00    0.00   26.00    0.00    0.00    0.00    5.00
12시 22분 14초    7   23.40    0.00   45.74    0.00    0.00   19.15    0.00    0.00    0.00   11.70
12시 22분 14초    8   21.57    0.00   45.10    0.00    0.00   31.37    0.00    0.00    0.00    1.96
12시 22분 14초    9   15.84    0.00   43.56    0.00    0.00   37.62    0.00    0.00    0.00    2.97
12시 22분 14초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 22분 14초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

12시 22분 14초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 15초  all   20.44    0.00   47.16    0.00    0.00   26.92    0.00    0.00    0.00    5.48
12시 22분 15초    0   21.21    0.00   46.46    0.00    0.00   28.28    0.00    0.00    0.00    4.04
12시 22분 15초    1   19.42    0.00   49.51    0.00    0.00   26.21    0.00    0.00    0.00    4.85
