Linux 5.4.0-48-generic (server3) 	2021년 01월 05일 	_x86_64_	(10 CPU)

12시 22분 12초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 13초  all    7.05    0.00   11.12    0.00    0.00   21.95    0.00    0.00    0.00   59.88
12시 22분 13초    0    3.92    0.00    3.92    0.00    0.00    8.82    0.00    0.00    0.00   83.33
12시 22분 13초    1    2.00    0.00    2.00    0.00    0.00    4.00    0.00    0.00    0.00   92.00
12시 22분 13초    2    3.88    0.00    3.88    0.00    0.00    3.88    0.00    0.00    0.00   88.35
12시 22분 13초    3    5.05    0.00    4.04    0.00    0.00    7.07    0.00    0.00    0.00   83.84
12시 22분 13초    4    4.95    0.00   15.84    0.00    0.00   36.63    0.00    0.00    0.00   42.57
12시 22분 13초    5    1.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
12시 22분 13초    6   14.71    0.00   24.51    0.00    0.00   44.12    0.00    0.00    0.00   16.67
12시 22분 13초    7    9.00    0.00    9.00    0.00    0.00   23.00    0.00    0.00    0.00   59.00
12시 22분 13초    8   12.87    0.00   20.79    0.00    0.00   45.54    0.00    0.00    0.00   20.79
12시 22분 13초    9   13.86    0.00   25.74    0.00    0.00   43.56    0.00    0.00    0.00   16.83

12시 22분 13초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 14초  all    7.61    0.00   12.81    0.00    0.00   21.22    0.00    0.00    0.00   58.36
12시 22분 14초    0    1.87    0.00    2.80    0.00    0.00   10.28    0.00    0.00    0.00   85.05
12시 22분 14초    1    3.03    0.00    8.08    0.00    0.00   16.16    0.00    0.00    0.00   72.73
12시 22분 14초    2    6.19    0.00   10.31    0.00    0.00   18.56    0.00    0.00    0.00   64.95
12시 22분 14초    3   14.14    0.00   26.26    0.00    0.00   40.40    0.00    0.00    0.00   19.19
12시 22분 14초    4    9.09    0.00   18.18    0.00    0.00   20.20    0.00    0.00    0.00   52.53
12시 22분 14초    5   13.13    0.00   21.21    0.00    0.00   39.39    0.00    0.00    0.00   26.26
12시 22분 14초    6    9.18    0.00   14.29    0.00    0.00   23.47    0.00    0.00    0.00   53.06
12시 22분 14초    7    3.92    0.00    5.88    0.00    0.00    9.80    0.00    0.00    0.00   80.39
12시 22분 14초    8   11.22    0.00   18.37    0.00    0.00   23.47    0.00    0.00    0.00   46.94
12시 22분 14초    9    3.06    0.00    4.08    0.00    0.00   11.22    0.00    0.00    0.00   81.63

12시 22분 14초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 22분 15초  all    7.43    0.00   12.88    0.00    0.00   21.11    0.00    0.00    0.00   58.57
12시 22분 15초    0    2.73    0.00    0.91    0.00    0.00   11.82    0.00    0.00    0.00   84.55
12시 22분 15초    1   15.00    0.00   28.00    0.00    0.00   35.00    0.00    0.00    0.00   22.00
12시 22분 15초    2    7.84    0.00    8.82    0.00    0.00   15.69    0.00    0.00    0.00   67.65
12시 22분 15초    3   13.00    0.00   27.00    0.00    0.00   42.00    0.00    0.00    0.00   18.00
12시 22분 15초    4   10.00    0.00   16.00    0.00    0.00   28.00    0.00    0.00    0.00   46.00
12시 22분 15초    5   14.14    0.00   25.25    0.00    0.00   46.46    0.00    0.00    0.00   14.14
12시 22분 15초    6    5.94    0.00    9.90    0.00    0.00   18.81    0.00    0.00    0.00   65.35
12시 22분 15초    7    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12시 22분 15초    8    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
12시 22분 15초    9    5.00    0.00   12.00    0.00    0.00   16.00    0.00    0.00    0.00   67.00

12시 22분 15초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
