Linux 5.4.0-48-generic (server3) 	2021년 01월 03일 	_x86_64_	(10 CPU)

01시 02분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01시 02분 01초  all    4.39    0.00   10.37    0.00    0.00   12.66    0.00    0.00    0.00   72.58
01시 02분 01초    0    0.00    0.00    0.00    0.00    0.00    7.55    0.00    0.00    0.00   92.45
01시 02분 01초    1   10.89    0.00   25.74    0.00    0.00   25.74    0.00    0.00    0.00   37.62
01시 02분 01초    2    9.90    0.00   24.75    0.00    0.00   30.69    0.00    0.00    0.00   34.65
01시 02분 01초    3    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
01시 02분 01초    4    7.92    0.00   18.81    0.00    0.00   25.74    0.00    0.00    0.00   47.52
01시 02분 01초    5    2.97    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   95.05
01시 02분 01초    6    8.00    0.00   26.00    0.00    0.00   28.00    0.00    0.00    0.00   38.00
01시 02분 01초    7    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01시 02분 01초    8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01시 02분 01초    9    3.92    0.00    6.86    0.00    0.00    7.84    0.00    0.00    0.00   81.37

01시 02분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01시 02분 02초  all    7.20    0.00   12.72    0.00    0.00   21.99    0.00    0.00    0.00   58.09
01시 02분 02초    0    1.83    0.00    0.92    0.00    0.00    8.26    0.00    0.00    0.00   88.99
01시 02분 02초    1   14.00    0.00   32.00    0.00    0.00   52.00    0.00    0.00    0.00    2.00
01시 02분 02초    2    4.00    0.00   10.00    0.00    0.00   19.00    0.00    0.00    0.00   67.00
01시 02분 02초    3    6.93    0.00   11.88    0.00    0.00   15.84    0.00    0.00    0.00   65.35
01시 02분 02초    4   17.35    0.00   29.59    0.00    0.00   51.02    0.00    0.00    0.00    2.04
01시 02분 02초    5   12.00    0.00   20.00    0.00    0.00   32.00    0.00    0.00    0.00   36.00
01시 02분 02초    6   11.88    0.00   20.79    0.00    0.00   39.60    0.00    0.00    0.00   27.72
01시 02분 02초    7    2.94    0.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00   95.10
01시 02분 02초    8    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
01시 02분 02초    9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99

01시 02분 02초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01시 02분 03초  all    8.35    0.00   13.42    0.00    0.00   20.28    0.00    0.00    0.00   57.95
