Linux 5.4.0-66-generic (server3) 	2021년 03월 24일 	_x86_64_	(10 CPU)

21시 02분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21시 02분 24초  all    5.59    0.00   12.28    0.00    0.00   19.36    0.00    0.00    0.00   62.77
21시 02분 24초    0    7.84    0.00   15.69    0.00    0.00   31.37    0.00    0.00    0.00   45.10
21시 02분 24초    1    8.00    0.00   26.00    0.00    0.00   34.00    0.00    0.00    0.00   32.00
21시 02분 24초    2    0.97    0.00    3.88    0.00    0.00   13.59    0.00    0.00    0.00   81.55
21시 02분 24초    3    5.05    0.00    4.04    0.00    0.00    5.05    0.00    0.00    0.00   85.86
21시 02분 24초    4    3.00    0.00    7.00    0.00    0.00   11.00    0.00    0.00    0.00   79.00
21시 02분 24초    5   11.22    0.00   27.55    0.00    0.00   39.80    0.00    0.00    0.00   21.43
21시 02분 24초    6    5.00    0.00   12.00    0.00    0.00   38.00    0.00    0.00    0.00   45.00
21시 02분 24초    7    3.00    0.00    4.00    0.00    0.00   16.00    0.00    0.00    0.00   77.00
21시 02분 24초    8    2.04    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   95.92
21시 02분 24초    9    8.08    0.00   21.21    0.00    0.00    4.04    0.00    0.00    0.00   66.67

21시 02분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21시 02분 25초  all    4.78    0.00   11.95    0.00    0.00   25.70    0.00    0.00    0.00   57.57
21시 02분 25초    0    3.70    0.00    3.70    0.00    0.00   13.89    0.00    0.00    0.00   78.70
21시 02분 25초    1   11.00    0.00   32.00    0.00    0.00   52.00    0.00    0.00    0.00    5.00
21시 02분 25초    2    7.92    0.00   11.88    0.00    0.00   22.77    0.00    0.00    0.00   57.43
21시 02분 25초    3    1.98    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   95.05
21시 02분 25초    4    7.92    0.00   14.85    0.00    0.00   42.57    0.00    0.00    0.00   34.65
21시 02분 25초    5    6.00    0.00   24.00    0.00    0.00   56.00    0.00    0.00    0.00   14.00
21시 02분 25초    6    2.02    0.00    3.03    0.00    0.00    4.04    0.00    0.00    0.00   90.91
21시 02분 25초    7    0.00    0.00    2.02    0.00    0.00    4.04    0.00    0.00    0.00   93.94
21시 02분 25초    8    7.00    0.00   25.00    0.00    0.00   60.00    0.00    0.00    0.00    8.00
21시 02분 25초    9    1.98    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   95.05

21시 02분 25초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21시 02분 26초  all    6.11    0.00   11.71    0.00    0.00   25.03    0.00    0.00    0.00   57.16
21시 02분 26초    0    7.00    0.00   19.00    0.00    0.00   46.00    0.00    0.00    0.00   28.00
