Linux 5.4.0-58-generic (kesServer) 	2021년 01월 05일 	_x86_64_	(20 CPU)

12시 09분 27초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 09분 28초  all   20.40    0.00   40.60    0.00    0.00   18.89    0.00    0.00    0.00   20.10
12시 09분 28초    0   21.28    0.00   38.30    0.00    0.00   25.53    0.00    0.00    0.00   14.89
12시 09분 28초    1   20.20    0.00   38.38    0.00    0.00   24.24    0.00    0.00    0.00   17.17
12시 09분 28초    2   20.95    0.00   40.00    0.00    0.00   16.19    0.00    0.00    0.00   22.86
12시 09분 28초    3   18.45    0.00   42.72    0.00    0.00   15.53    0.00    0.00    0.00   23.30
12시 09분 28초    4   19.59    0.00   37.11    0.00    0.00   17.53    0.00    0.00    0.00   25.77
12시 09분 28초    5   17.53    0.00   43.30    0.00    0.00   14.43    0.00    0.00    0.00   24.74
12시 09분 28초    6   20.20    0.00   40.40    0.00    0.00   14.14    0.00    0.00    0.00   25.25
12시 09분 28초    7   24.24    0.00   36.36    0.00    0.00   24.24    0.00    0.00    0.00   15.15
12시 09분 28초    8   18.45    0.00   43.69    0.00    0.00   19.42    0.00    0.00    0.00   18.45
12시 09분 28초    9   21.21    0.00   44.44    0.00    0.00   20.20    0.00    0.00    0.00   14.14
12시 09분 28초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12시 09분 28초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

12시 09분 28초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 09분 29초  all   18.83    0.00   38.36    0.00    0.00   21.86    0.00    0.00    0.00   20.95
12시 09분 29초    0   21.78    0.00   35.64    0.00    0.00   29.70    0.00    0.00    0.00   12.87
12시 09분 29초    1   24.75    0.00   38.61    0.00    0.00   23.76    0.00    0.00    0.00   12.87
12시 09분 29초    2   17.35    0.00   38.78    0.00    0.00   12.24    0.00    0.00    0.00   31.63
12시 09분 29초    3   15.31    0.00   38.78    0.00    0.00   16.33    0.00    0.00    0.00   29.59
