Linux 5.4.0-48-generic (kesServer) 	2021년 01월 03일 	_x86_64_	(20 CPU)

00시 17분 05초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00시 17분 06초  all   19.26    0.00   44.22    0.00    0.00   14.33    0.00    0.00    0.00   22.19
00시 17분 06초    0   23.71    0.00   47.42    0.00    0.00   21.65    0.00    0.00    0.00    7.22
00시 17분 06초    1   19.39    0.00   44.90    0.00    0.00   18.37    0.00    0.00    0.00   17.35
00시 17분 06초    2   21.65    0.00   42.27    0.00    0.00   18.56    0.00    0.00    0.00   17.53
00시 17분 06초    3   18.00    0.00   31.00    0.00    0.00   10.00    0.00    0.00    0.00   41.00
00시 17분 06초    4   14.58    0.00   46.88    0.00    0.00   14.58    0.00    0.00    0.00   23.96
00시 17분 06초    5   21.65    0.00   46.39    0.00    0.00   11.34    0.00    0.00    0.00   20.62
00시 17분 06초    6   16.67    0.00   43.75    0.00    0.00   13.54    0.00    0.00    0.00   26.04
00시 17분 06초    7   25.00    0.00   38.00    0.00    0.00   13.00    0.00    0.00    0.00   24.00
00시 17분 06초    8   13.40    0.00   42.27    0.00    0.00   18.56    0.00    0.00    0.00   25.77
00시 17분 06초    9   20.62    0.00   47.42    0.00    0.00   13.40    0.00    0.00    0.00   18.56
00시 17분 06초   10   20.20    0.00   43.43    0.00    0.00   16.16    0.00    0.00    0.00   20.20
00시 17분 06초   11   14.58    0.00   36.46    0.00    0.00   13.54    0.00    0.00    0.00   35.42
00시 17분 06초   12   12.62    0.00   53.40    0.00    0.00   12.62    0.00    0.00    0.00   21.36
00시 17분 06초   13   18.56    0.00   49.48    0.00    0.00   10.31    0.00    0.00    0.00   21.65
00시 17분 06초   14   25.77    0.00   41.24    0.00    0.00   16.49    0.00    0.00    0.00   16.49
00시 17분 06초   15   17.35    0.00   48.98    0.00    0.00   13.27    0.00    0.00    0.00   20.41
00시 17분 06초   16   18.09    0.00   53.19    0.00    0.00    7.45    0.00    0.00    0.00   21.28
00시 17분 06초   17   21.43    0.00   45.92    0.00    0.00   16.33    0.00    0.00    0.00   16.33
00시 17분 06초   18   25.26    0.00   46.32    0.00    0.00   12.63    0.00    0.00    0.00   15.79
00시 17분 06초   19   14.43    0.00   39.18    0.00    0.00   15.46    0.00    0.00    0.00   30.93

00시 17분 06초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00시 17분 07초  all   19.42    0.00   38.89    0.00    0.00   21.86    0.00    0.00    0.00   19.83
00시 17분 07초    0   16.33    0.00   36.73    0.00    0.00   25.51    0.00    0.00    0.00   21.43
00시 17분 07초    1   23.47    0.00   40.82    0.00    0.00   23.47    0.00    0.00    0.00   12.24
00시 17분 07초    2   22.45    0.00   32.65    0.00    0.00   21.43    0.00    0.00    0.00   23.47
00시 17분 07초    3   18.75    0.00   39.58    0.00    0.00   26.04    0.00    0.00    0.00   15.62
00시 17분 07초    4   16.30    0.00   41.30    0.00    0.00   14.13    0.00    0.00    0.00   28.26
00시 17분 07초    5   21.36    0.00   35.92    0.00    0.00   26.21    0.00    0.00    0.00   16.50
00시 17분 07초    6   20.00    0.00   40.00    0.00    0.00   24.00    0.00    0.00    0.00   16.00
00시 17분 07초    7   14.43    0.00   42.27    0.00    0.00   19.59    0.00    0.00    0.00   23.71
00시 17분 07초    8   21.78    0.00   40.59    0.00    0.00   23.76    0.00    0.00    0.00   13.86
00시 17분 07초    9   18.63    0.00   40.20    0.00    0.00   20.59    0.00    0.00    0.00   20.59
00시 17분 07초   10   18.56    0.00   41.24    0.00    0.00   26.80    0.00    0.00    0.00   13.40
00시 17분 07초   11   18.37    0.00   39.80    0.00    0.00   20.41    0.00    0.00    0.00   21.43
00시 17분 07초   12   17.20    0.00   34.41    0.00    0.00   22.58    0.00    0.00    0.00   25.81
00시 17분 07초   13   21.00    0.00   39.00    0.00    0.00   17.00    0.00    0.00    0.00   23.00
00시 17분 07초   14   22.45    0.00   36.73    0.00    0.00   21.43    0.00    0.00    0.00   19.39
00시 17분 07초   15   22.22    0.00   39.39    0.00    0.00   22.22    0.00    0.00    0.00   16.16
00시 17분 07초   16   14.74    0.00   42.11    0.00    0.00   22.11    0.00    0.00    0.00   21.05
00시 17분 07초   17   19.59    0.00   38.14    0.00    0.00   22.68    0.00    0.00    0.00   19.59
00시 17분 07초   18   19.42    0.00   36.89    0.00    0.00   21.36    0.00    0.00    0.00   22.33
00시 17분 07초   19   20.19    0.00   40.38    0.00    0.00   15.38    0.00    0.00    0.00   24.04

00시 17분 07초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00시 17분 08초  all   19.56    0.00   40.29    0.00    0.00   20.53    0.00    0.00    0.00   19.61
