Linux 5.4.0-58-generic (kesServer) 	2021년 02월 09일 	_x86_64_	(20 CPU)

08시 47분 53초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08시 47분 54초  all   20.25    0.00   42.84    0.00    0.00   23.31    0.00    0.00    0.00   13.60
08시 47분 54초    0   17.89    0.00   42.11    0.00    0.00   26.32    0.00    0.00    0.00   13.68
08시 47분 54초    1   16.49    0.00   40.21    0.00    0.00   24.74    0.00    0.00    0.00   18.56
08시 47분 54초    2   17.17    0.00   44.44    0.00    0.00   21.21    0.00    0.00    0.00   17.17
08시 47분 54초    3   18.56    0.00   42.27    0.00    0.00   18.56    0.00    0.00    0.00   20.62
08시 47분 54초    4   23.47    0.00   39.80    0.00    0.00   24.49    0.00    0.00    0.00   12.24
08시 47분 54초    5   23.76    0.00   41.58    0.00    0.00   24.75    0.00    0.00    0.00    9.90
08시 47분 54초    6   24.75    0.00   43.56    0.00    0.00   23.76    0.00    0.00    0.00    7.92
08시 47분 54초    7   23.23    0.00   41.41    0.00    0.00   20.20    0.00    0.00    0.00   15.15
08시 47분 54초    8   20.79    0.00   45.54    0.00    0.00   24.75    0.00    0.00    0.00    8.91
08시 47분 54초    9   16.84    0.00   45.26    0.00    0.00   25.26    0.00    0.00    0.00   12.63
08시 47분 54초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08시 47분 54초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

08시 47분 54초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08시 47분 55초  all   16.82    0.00   36.25    0.00    0.00   32.83    0.00    0.00    0.00   14.10
08시 47분 55초    0   18.81    0.00   37.62    0.00    0.00   30.69    0.00    0.00    0.00   12.87
08시 47분 55초    1   17.35    0.00   33.67    0.00    0.00   32.65    0.00    0.00    0.00   16.33
08시 47분 55초    2   19.19    0.00   30.30    0.00    0.00   26.26    0.00    0.00    0.00   24.24
08시 47분 55초    3   17.17    0.00   35.35    0.00    0.00   36.36    0.00    0.00    0.00   11.11
08시 47분 55초    4   17.65    0.00   32.35    0.00    0.00   32.35    0.00    0.00    0.00   17.65
08시 47분 55초    5   18.75    0.00   36.46    0.00    0.00   30.21    0.00    0.00    0.00   14.58
08시 47분 55초    6   17.65    0.00   38.24    0.00    0.00   27.45    0.00    0.00    0.00   16.67
08시 47분 55초    7   13.00    0.00   41.00    0.00    0.00   35.00    0.00    0.00    0.00   11.00
08시 47분 55초    8   12.12    0.00   38.38    0.00    0.00   39.39    0.00    0.00    0.00   10.10
08시 47분 55초    9   15.46    0.00   39.18    0.00    0.00   38.14    0.00    0.00    0.00    7.22
