Linux 5.4.0-48-generic (kesServer) 	2020년 11월 26일 	_x86_64_	(20 CPU)

02시 46분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 46분 46초  all   14.26    0.00   48.27    0.00    0.00    0.57    0.00    0.00    0.00   36.90
02시 46분 46초    0   14.42    0.00   56.73    0.00    0.00    8.65    0.00    0.00    0.00   20.19
02시 46분 46초    1   20.00    0.00   56.84    0.00    0.00    0.00    0.00    0.00    0.00   23.16
02시 46분 46초    2   16.00    0.00   62.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
02시 46분 46초    3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02시 46분 46초    4   15.46    0.00   60.82    0.00    0.00    0.00    0.00    0.00    0.00   23.71
02시 46분 46초    5    4.08    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   83.67
02시 46분 46초    6   12.90    0.00   63.44    0.00    0.00    0.00    0.00    0.00    0.00   23.66
02시 46분 46초    7   15.15    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00   22.22
02시 46분 46초    8   19.15    0.00   60.64    0.00    0.00    0.00    0.00    0.00    0.00   20.21
02시 46분 46초    9   17.89    0.00   60.00    0.00    0.00    0.00    0.00    0.00    0.00   22.11
02시 46분 46초   10   17.89    0.00   58.95    0.00    0.00    0.00    0.00    0.00    0.00   23.16
02시 46분 46초   11   20.83    0.00   59.38    0.00    0.00    0.00    0.00    0.00    0.00   19.79
02시 46분 46초   12   11.83    0.00   64.52    0.00    0.00    0.00    0.00    0.00    0.00   23.66
02시 46분 46초   13   13.04    0.00   61.96    0.00    0.00    0.00    0.00    0.00    0.00   25.00
02시 46분 46초   14    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
02시 46분 46초   15   16.33    0.00   63.27    0.00    0.00    0.00    0.00    0.00    0.00   20.41
02시 46분 46초   16    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02시 46분 46초   17   20.00    0.00   58.95    0.00    0.00    0.00    0.00    0.00    0.00   21.05
02시 46분 46초   18   18.75    0.00   60.42    0.00    0.00    0.00    0.00    0.00    0.00   20.83
02시 46분 46초   19   30.61    0.00   44.90    0.00    0.00    0.00    0.00    0.00    0.00   24.49

02시 46분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 46분 47초  all   15.07    0.00   38.10    0.00    0.00   12.63    0.00    0.00    0.00   34.20
02시 46분 47초    0    9.57    0.00   27.66    0.00    0.00   11.70    0.00    0.00    0.00   51.06
02시 46분 47초    1   22.92    0.00   45.83    0.00    0.00   16.67    0.00    0.00    0.00   14.58
02시 46분 47초    2   16.67    0.00   41.67    0.00    0.00    3.12    0.00    0.00    0.00   38.54
02시 46분 47초    3   19.59    0.00   44.33    0.00    0.00    8.25    0.00    0.00    0.00   27.84
02시 46분 47초    4   16.49    0.00   42.27    0.00    0.00   14.43    0.00    0.00    0.00   26.80
02시 46분 47초    5   13.68    0.00   40.00    0.00    0.00    9.47    0.00    0.00    0.00   36.84
02시 46분 47초    6   12.12    0.00   45.45    0.00    0.00   10.10    0.00    0.00    0.00   32.32
02시 46분 47초    7   14.89    0.00   37.23    0.00    0.00    6.38    0.00    0.00    0.00   41.49
02시 46분 47초    8   15.62    0.00   41.67    0.00    0.00    3.12    0.00    0.00    0.00   39.58
02시 46분 47초    9   21.28    0.00   34.04    0.00    0.00    8.51    0.00    0.00    0.00   36.17
