Linux 5.4.0-48-generic (server3) 	2020년 11월 26일 	_x86_64_	(10 CPU)

11시 53분 41초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 42초  all    6.20    0.00   10.80    0.00    0.00   17.20    0.00    0.00    0.00   65.80
11시 53분 42초    0   13.00    0.00   19.00    0.00    0.00   41.00    0.00    0.00    0.00   27.00
11시 53분 42초    1   13.13    0.00   30.30    0.00    0.00   38.38    0.00    0.00    0.00   18.18
11시 53분 42초    2    0.98    0.00    1.96    0.00    0.00    2.94    0.00    0.00    0.00   94.12
11시 53분 42초    3    7.92    0.00   17.82    0.00    0.00   25.74    0.00    0.00    0.00   48.51
11시 53분 42초    4    3.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   94.00
11시 53분 42초    5   15.00    0.00   24.00    0.00    0.00   44.00    0.00    0.00    0.00   17.00
11시 53분 42초    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11시 53분 42초    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11시 53분 42초    8    4.08    0.00   12.24    0.00    0.00   17.35    0.00    0.00    0.00   66.33
11시 53분 42초    9    4.04    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   93.94

11시 53분 42초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 43초  all    7.47    0.00   13.15    0.10    0.00   20.72    0.00    0.00    0.00   58.57
11시 53분 43초    0    8.00    0.00   11.00    0.00    0.00   23.00    0.00    0.00    0.00   58.00
11시 53분 43초    1    8.74    0.00   13.59    0.00    0.00   25.24    0.00    0.00    0.00   52.43
11시 53분 43초    2   11.00    0.00   22.00    0.00    0.00   31.00    0.00    0.00    0.00   36.00
11시 53분 43초    3    3.92    0.00    9.80    0.00    0.00   10.78    0.00    0.00    0.00   75.49
11시 53분 43초    4    0.98    0.00    1.96    0.00    0.00    2.94    0.00    0.00    0.00   94.12
11시 53분 43초    5   11.22    0.00   23.47    0.00    0.00   45.92    0.00    0.00    0.00   19.39
11시 53분 43초    6    5.05    0.00    3.03    0.00    0.00    3.03    0.00    0.00    0.00   88.89
11시 53분 43초    7   13.00    0.00   20.00    0.00    0.00   35.00    0.00    0.00    0.00   32.00
11시 53분 43초    8   11.11    0.00   25.25    0.00    0.00   29.29    0.00    0.00    0.00   34.34
11시 53분 43초    9    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06

11시 53분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 44초  all    8.33    0.00   12.78    0.00    0.00   20.52    0.00    0.00    0.00   58.37
11시 53분 44초    0    0.00    0.00    0.94    0.00    0.00    5.66    0.00    0.00    0.00   93.40
11시 53분 44초    1   13.73    0.00   29.41    0.00    0.00   47.06    0.00    0.00    0.00    9.80
11시 53분 44초    2   16.33    0.00   27.55    0.00    0.00   54.08    0.00    0.00    0.00    2.04
11시 53분 44초    3    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11시 53분 44초    4    1.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
11시 53분 44초    5    4.95    0.00    9.90    0.00    0.00   17.82    0.00    0.00    0.00   67.33
11시 53분 44초    6    3.96    0.00    2.97    0.00    0.00    3.96    0.00    0.00    0.00   89.11
11시 53분 44초    7    8.91    0.00    6.93    0.00    0.00   15.84    0.00    0.00    0.00   68.32
11시 53분 44초    8   23.00    0.00   33.00    0.00    0.00   42.00    0.00    0.00    0.00    2.00
11시 53분 44초    9    7.07    0.00   15.15    0.00    0.00   20.20    0.00    0.00    0.00   57.58

11시 53분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 45초  all    9.04    0.00   11.89    0.00    0.00   21.51    0.00    0.00    0.00   57.56
11시 53분 45초    0    0.00    0.00    0.00    0.00    0.00   16.10    0.00    0.00    0.00   83.90
11시 53분 45초    1   16.67    0.00   25.49    0.00    0.00   32.35    0.00    0.00    0.00   25.49
11시 53분 45초    2    5.94    0.00    7.92    0.00    0.00   23.76    0.00    0.00    0.00   62.38
11시 53분 45초    3    8.08    0.00   22.22    0.00    0.00   31.31    0.00    0.00    0.00   38.38
11시 53분 45초    4    5.00    0.00    4.00    0.00    0.00    3.00    0.00    0.00    0.00   88.00
11시 53분 45초    5    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11시 53분 45초    6   17.82    0.00   18.81    0.00    0.00   29.70    0.00    0.00    0.00   33.66
11시 53분 45초    7    9.00    0.00   10.00    0.00    0.00   20.00    0.00    0.00    0.00   61.00
11시 53분 45초    8    6.06    0.00    7.07    0.00    0.00    8.08    0.00    0.00    0.00   78.79
11시 53분 45초    9   20.00    0.00   25.00    0.00    0.00   52.00    0.00    0.00    0.00    3.00

11시 53분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 46초  all    8.25    0.00   14.41    0.00    0.00   21.07    0.00    0.00    0.00   56.26
11시 53분 46초    0    8.65    0.00   11.54    0.00    0.00   25.00    0.00    0.00    0.00   54.81
11시 53분 46초    1   10.89    0.00   21.78    0.00    0.00   28.71    0.00    0.00    0.00   38.61
11시 53분 46초    2    5.94    0.00   16.83    0.00    0.00   27.72    0.00    0.00    0.00   49.50
11시 53분 46초    3    8.08    0.00   10.10    0.00    0.00   13.13    0.00    0.00    0.00   68.69
11시 53분 46초    4   12.87    0.00   25.74    0.00    0.00   28.71    0.00    0.00    0.00   32.67
11시 53분 46초    5    6.12    0.00    9.18    0.00    0.00   15.31    0.00    0.00    0.00   69.39
11시 53분 46초    6    6.06    0.00    4.04    0.00    0.00    7.07    0.00    0.00    0.00   82.83
11시 53분 46초    7    5.00    0.00   18.00    0.00    0.00   21.00    0.00    0.00    0.00   56.00
11시 53분 46초    8    8.91    0.00   14.85    0.00    0.00   25.74    0.00    0.00    0.00   50.50
11시 53분 46초    9    9.90    0.00    8.91    0.00    0.00   19.80    0.00    0.00    0.00   61.39

11시 53분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 47초  all    8.36    0.00   14.43    0.00    0.00   18.51    0.00    0.00    0.00   58.71
11시 53분 47초    0    9.90    0.00   17.82    0.00    0.00   17.82    0.00    0.00    0.00   54.46
11시 53분 47초    1    7.69    0.00   11.54    0.00    0.00   16.35    0.00    0.00    0.00   64.42
11시 53분 47초    2    2.94    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   94.12
11시 53분 47초    3    0.99    0.00    2.97    0.00    0.00    3.96    0.00    0.00    0.00   92.08
11시 53분 47초    4   24.24    0.00   32.32    0.00    0.00   41.41    0.00    0.00    0.00    2.02
11시 53분 47초    5   14.00    0.00   38.00    0.00    0.00   45.00    0.00    0.00    0.00    3.00
11시 53분 47초    6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11시 53분 47초    7    7.00    0.00    6.00    0.00    0.00    9.00    0.00    0.00    0.00   78.00
11시 53분 47초    8    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11시 53분 47초    9   18.18    0.00   32.32    0.00    0.00   47.47    0.00    0.00    0.00    2.02

11시 53분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 53분 48초  all    7.78    0.00   13.26    0.00    0.00   20.14    0.00    0.00    0.00   58.82
11시 53분 48초    0    7.62    0.00    9.52    0.00    0.00   15.24    0.00    0.00    0.00   67.62
11시 53분 48초    1   11.88    0.00   24.75    0.00    0.00   18.81    0.00    0.00    0.00   44.55
11시 53분 48초    2    0.99    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   97.03
11시 53분 48초    3    8.00    0.00    7.00    0.00    0.00   17.00    0.00    0.00    0.00   68.00
11시 53분 48초    4    8.08    0.00   18.18    0.00    0.00   25.25    0.00    0.00    0.00   48.48
11시 53분 48초    5   13.00    0.00   23.00    0.00    0.00   47.00    0.00    0.00    0.00   17.00
11시 53분 48초    6    4.04    0.00    9.09    0.00    0.00   11.11    0.00    0.00    0.00   75.76
11시 53분 48초    7   17.00    0.00   34.00    0.00    0.00   44.00    0.00    0.00    0.00    5.00
