Linux 5.4.0-48-generic (kesServer) 	2020년 11월 26일 	_x86_64_	(20 CPU)

12시 09분 04초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 09분 05초  all   14.65    0.00   35.79    0.00    0.00   14.39    0.00    0.00    0.00   35.16
12시 09분 05초    0   16.83    0.00   40.59    0.00    0.00   13.86    0.00    0.00    0.00   28.71
12시 09분 05초    1   13.19    0.00   38.46    0.00    0.00    3.30    0.00    0.00    0.00   45.05
12시 09분 05초    2   18.68    0.00   30.77    0.00    0.00    2.20    0.00    0.00    0.00   48.35
12시 09분 05초    3   13.83    0.00   39.36    0.00    0.00    9.57    0.00    0.00    0.00   37.23
12시 09분 05초    4   17.53    0.00   42.27    0.00    0.00   15.46    0.00    0.00    0.00   24.74
12시 09분 05초    5   16.84    0.00   41.05    0.00    0.00   13.68    0.00    0.00    0.00   28.42
12시 09분 05초    6   14.58    0.00   25.00    0.00    0.00   22.92    0.00    0.00    0.00   37.50
12시 09분 05초    7   12.36    0.00   38.20    0.00    0.00    2.25    0.00    0.00    0.00   47.19
12시 09분 05초    8   14.74    0.00   43.16    0.00    0.00   16.84    0.00    0.00    0.00   25.26
12시 09분 05초    9   14.89    0.00   34.04    0.00    0.00   25.53    0.00    0.00    0.00   25.53
12시 09분 05초   10   17.17    0.00   48.48    0.00    0.00   27.27    0.00    0.00    0.00    7.07
12시 09분 05초   11    8.08    0.00   24.24    0.00    0.00   10.10    0.00    0.00    0.00   57.58
12시 09분 05초   12   14.74    0.00   32.63    0.00    0.00   17.89    0.00    0.00    0.00   34.74
12시 09분 05초   13   14.29    0.00   19.39    0.00    0.00   14.29    0.00    0.00    0.00   52.04
12시 09분 05초   14   12.37    0.00   42.27    0.00    0.00   14.43    0.00    0.00    0.00   30.93
12시 09분 05초   15   13.04    0.00   42.39    0.00    0.00    6.52    0.00    0.00    0.00   38.04
12시 09분 05초   16   19.19    0.00   35.35    0.00    0.00   11.11    0.00    0.00    0.00   34.34
12시 09분 05초   17   14.43    0.00   27.84    0.00    0.00   13.40    0.00    0.00    0.00   44.33
12시 09분 05초   18   13.00    0.00   35.00    0.00    0.00   24.00    0.00    0.00    0.00   28.00
12시 09분 05초   19   14.74    0.00   34.74    0.00    0.00   18.95    0.00    0.00    0.00   31.58

12시 09분 05초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 09분 06초  all   13.67    0.00   33.44    0.00    0.00   20.38    0.00    0.00    0.00   32.51
12시 09분 06초    0   16.33    0.00   30.61    0.00    0.00   11.22    0.00    0.00    0.00   41.84
12시 09분 06초    1   13.68    0.00   30.53    0.00    0.00    5.26    0.00    0.00    0.00   50.53
12시 09분 06초    2   17.71    0.00   39.58    0.00    0.00   25.00    0.00    0.00    0.00   17.71
12시 09분 06초    3   16.00    0.00   38.00    0.00    0.00   20.00    0.00    0.00    0.00   26.00
12시 09분 06초    4    7.53    0.00   30.11    0.00    0.00   22.58    0.00    0.00    0.00   39.78
12시 09분 06초    5   12.37    0.00   35.05    0.00    0.00    7.22    0.00    0.00    0.00   45.36
12시 09분 06초    6   20.41    0.00   38.78    0.00    0.00   22.45    0.00    0.00    0.00   18.37
12시 09분 06초    7   14.56    0.00   35.92    0.00    0.00   14.56    0.00    0.00    0.00   34.95
12시 09분 06초    8   15.31    0.00   32.65    0.00    0.00   23.47    0.00    0.00    0.00   28.57
12시 09분 06초    9    7.22    0.00   29.90    0.00    0.00   39.18    0.00    0.00    0.00   23.71
12시 09분 06초   10   18.00    0.00   34.00    0.00    0.00   35.00    0.00    0.00    0.00   13.00
12시 09분 06초   11   12.77    0.00   30.85    0.00    0.00   17.02    0.00    0.00    0.00   39.36
12시 09분 06초   12    9.28    0.00   22.68    0.00    0.00   38.14    0.00    0.00    0.00   29.90
12시 09분 06초   13   18.75    0.00   31.25    0.00    0.00   28.12    0.00    0.00    0.00   21.88
12시 09분 06초   14   20.19    0.00   39.42    0.00    0.00   19.23    0.00    0.00    0.00   21.15
12시 09분 06초   15   10.42    0.00   30.21    0.00    0.00   15.62    0.00    0.00    0.00   43.75
12시 09분 06초   16   12.12    0.00   34.34    0.00    0.00    9.09    0.00    0.00    0.00   44.44
12시 09분 06초   17    6.38    0.00   41.49    0.00    0.00    5.32    0.00    0.00    0.00   46.81
12시 09분 06초   18   11.22    0.00   31.63    0.00    0.00   19.39    0.00    0.00    0.00   37.76
12시 09분 06초   19   11.34    0.00   30.93    0.00    0.00   29.90    0.00    0.00    0.00   27.84

12시 09분 06초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 09분 07초  all   15.08    0.00   33.49    0.00    0.00   19.43    0.00    0.00    0.00   32.00
12시 09분 07초    0   21.88    0.00   29.17    0.00    0.00   10.42    0.00    0.00    0.00   38.54
12시 09분 07초    1   15.22    0.00   29.35    0.00    0.00    6.52    0.00    0.00    0.00   48.91
12시 09분 07초    2   29.29    0.00   38.38    0.00    0.00   30.30    0.00    0.00    0.00    2.02
12시 09분 07초    3   21.00    0.00   47.00    0.00    0.00   30.00    0.00    0.00    0.00    2.00
12시 09분 07초    4   13.40    0.00   28.87    0.00    0.00   15.46    0.00    0.00    0.00   42.27
12시 09분 07초    5   13.54    0.00   36.46    0.00    0.00   14.58    0.00    0.00    0.00   35.42
12시 09분 07초    6   10.42    0.00   32.29    0.00    0.00   14.58    0.00    0.00    0.00   42.71
12시 09분 07초    7   19.61    0.00   43.14    0.00    0.00   21.57    0.00    0.00    0.00   15.69
12시 09분 07초    8   11.88    0.00   30.69    0.00    0.00   21.78    0.00    0.00    0.00   35.64
12시 09분 07초    9    8.82    0.00   29.41    0.00    0.00   41.18    0.00    0.00    0.00   20.59
12시 09분 07초   10   14.71    0.00   37.25    0.00    0.00   18.63    0.00    0.00    0.00   29.41
12시 09분 07초   11   13.48    0.00   28.09    0.00    0.00   14.61    0.00    0.00    0.00   43.82
