Linux 5.4.0-48-generic (kesServer) 	2020년 11월 26일 	_x86_64_	(20 CPU)

02시 52분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 48초  all   13.85    0.00   48.54    0.00    0.00    0.10    0.00    0.00    0.00   37.51
02시 52분 48초    0   12.37    0.00   41.24    0.00    0.00    1.03    0.00    0.00    0.00   45.36
02시 52분 48초    1   12.37    0.00   40.21    0.00    0.00    0.00    0.00    0.00    0.00   47.42
02시 52분 48초    2   11.96    0.00   65.22    0.00    0.00    0.00    0.00    0.00    0.00   22.83
02시 52분 48초    3   18.09    0.00   58.51    0.00    0.00    0.00    0.00    0.00    0.00   23.40
02시 52분 48초    4   12.77    0.00   63.83    0.00    0.00    0.00    0.00    0.00    0.00   23.40
02시 52분 48초    5   20.00    0.00   24.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
02시 52분 48초    6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02시 52분 48초    7   17.17    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00   20.20
02시 52분 48초    8    7.07    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   72.73
02시 52분 48초    9    6.12    0.00   21.43    0.00    0.00    0.00    0.00    0.00    0.00   72.45
02시 52분 48초   10   21.28    0.00   56.38    0.00    0.00    0.00    0.00    0.00    0.00   22.34
02시 52분 48초   11   20.88    0.00   57.14    0.00    0.00    0.00    0.00    0.00    0.00   21.98
02시 52분 48초   12   17.71    0.00   59.38    0.00    0.00    0.00    0.00    0.00    0.00   22.92
02시 52분 48초   13   15.96    0.00   59.57    0.00    0.00    1.06    0.00    0.00    0.00   23.40
02시 52분 48초   14   11.34    0.00   37.11    0.00    0.00    0.00    0.00    0.00    0.00   51.55
02시 52분 48초   15   12.50    0.00   64.58    0.00    0.00    0.00    0.00    0.00    0.00   22.92
02시 52분 48초   16   13.27    0.00   62.24    0.00    0.00    1.02    0.00    0.00    0.00   23.47
02시 52분 48초   17   13.98    0.00   65.59    0.00    0.00    0.00    0.00    0.00    0.00   20.43
02시 52분 48초   18   15.96    0.00   59.57    0.00    0.00    0.00    0.00    0.00    0.00   24.47
02시 52분 48초   19   16.49    0.00   57.73    0.00    0.00    0.00    0.00    0.00    0.00   25.77

02시 52분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 49초  all   15.26    0.00   39.34    0.00    0.00   13.23    0.00    0.00    0.00   32.17
02시 52분 49초    0   15.15    0.00   44.44    0.00    0.00   13.13    0.00    0.00    0.00   27.27
02시 52분 49초    1   21.21    0.00   52.53    0.00    0.00   22.22    0.00    0.00    0.00    4.04
02시 52분 49초    2   15.62    0.00   43.75    0.00    0.00   22.92    0.00    0.00    0.00   17.71
02시 52분 49초    3   18.09    0.00   36.17    0.00    0.00   13.83    0.00    0.00    0.00   31.91
02시 52분 49초    4   12.50    0.00   45.83    0.00    0.00    5.21    0.00    0.00    0.00   36.46
02시 52분 49초    5   16.30    0.00   40.22    0.00    0.00    2.17    0.00    0.00    0.00   41.30
02시 52분 49초    6   20.41    0.00   34.69    0.00    0.00   11.22    0.00    0.00    0.00   33.67
02시 52분 49초    7   18.37    0.00   42.86    0.00    0.00    2.04    0.00    0.00    0.00   36.73
02시 52분 49초    8   13.68    0.00   44.21    0.00    0.00    2.11    0.00    0.00    0.00   40.00
02시 52분 49초    9   15.91    0.00   38.64    0.00    0.00   14.77    0.00    0.00    0.00   30.68
02시 52분 49초   10   16.30    0.00   35.87    0.00    0.00    5.43    0.00    0.00    0.00   42.39
02시 52분 49초   11   15.79    0.00   44.21    0.00    0.00    6.32    0.00    0.00    0.00   33.68
02시 52분 49초   12   10.42    0.00   19.79    0.00    0.00   17.71    0.00    0.00    0.00   52.08
02시 52분 49초   13   14.89    0.00   24.47    0.00    0.00    8.51    0.00    0.00    0.00   52.13
02시 52분 49초   14   12.37    0.00   39.18    0.00    0.00   28.87    0.00    0.00    0.00   19.59
02시 52분 49초   15   19.00    0.00   50.00    0.00    0.00   26.00    0.00    0.00    0.00    5.00
02시 52분 49초   16   12.50    0.00   38.54    0.00    0.00   11.46    0.00    0.00    0.00   37.50
02시 52분 49초   17   12.87    0.00   45.54    0.00    0.00   14.85    0.00    0.00    0.00   26.73
02시 52분 49초   18   10.42    0.00   25.00    0.00    0.00   17.71    0.00    0.00    0.00   46.88
02시 52분 49초   19   13.86    0.00   39.60    0.00    0.00   14.85    0.00    0.00    0.00   31.68

02시 52분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 50초  all   15.23    0.00   31.70    0.00    0.00   20.02    0.00    0.00    0.00   33.04
02시 52분 50초    0   15.96    0.00   30.85    0.00    0.00   21.28    0.00    0.00    0.00   31.91
