Linux 5.4.0-48-generic (kesServer) 	2020년 11월 25일 	_x86_64_	(20 CPU)

18시 21분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 21분 44초  all   13.68    0.00   49.24    0.00    0.00    0.26    0.00    0.00    0.00   36.81
18시 21분 44초    0   26.53    0.00   64.29    0.00    0.00    0.00    0.00    0.00    0.00    9.18
18시 21분 44초    1   12.50    0.00   53.12    0.00    0.00    2.08    0.00    0.00    0.00   32.29
18시 21분 44초    2   11.70    0.00   50.00    0.00    0.00    0.00    0.00    0.00    0.00   38.30
18시 21분 44초    3   15.79    0.00   61.05    0.00    0.00    0.00    0.00    0.00    0.00   23.16
18시 21분 44초    4   14.43    0.00   63.92    0.00    0.00    0.00    0.00    0.00    0.00   21.65
18시 21분 44초    5    5.05    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   77.78
18시 21분 44초    6   15.96    0.00   60.64    0.00    0.00    0.00    0.00    0.00    0.00   23.40
18시 21분 44초    7   17.71    0.00   61.46    0.00    0.00    0.00    0.00    0.00    0.00   20.83
18시 21분 44초    8   18.95    0.00   58.95    0.00    0.00    0.00    0.00    0.00    0.00   22.11
18시 21분 44초    9   17.20    0.00   58.06    0.00    0.00    0.00    0.00    0.00    0.00   24.73
18시 21분 44초   10   18.48    0.00   57.61    0.00    0.00    0.00    0.00    0.00    0.00   23.91
18시 21분 44초   11    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
18시 21분 44초   12   16.67    0.00   57.29    0.00    0.00    0.00    0.00    0.00    0.00   26.04
18시 21분 44초   13    4.08    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   83.67
18시 21분 44초   14   14.29    0.00   65.31    0.00    0.00    0.00    0.00    0.00    0.00   20.41
18시 21분 44초   15   17.20    0.00   62.37    0.00    0.00    0.00    0.00    0.00    0.00   20.43
18시 21분 44초   16   14.89    0.00   61.70    0.00    0.00    1.06    0.00    0.00    0.00   22.34
18시 21분 44초   17   12.12    0.00   62.63    0.00    0.00    2.02    0.00    0.00    0.00   23.23
18시 21분 44초   18   17.20    0.00   58.06    0.00    0.00    1.08    0.00    0.00    0.00   23.66
18시 21분 44초   19    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

18시 21분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 21분 45초  all   18.47    0.00   46.38    0.00    0.00   12.67    0.00    0.00    0.00   22.47
18시 21분 45초    0   22.11    0.00   48.42    0.00    0.00    8.42    0.00    0.00    0.00   21.05
18시 21분 45초    1   16.49    0.00   48.45    0.00    0.00   14.43    0.00    0.00    0.00   20.62
18시 21분 45초    2   16.67    0.00   51.04    0.00    0.00   11.46    0.00    0.00    0.00   20.83
18시 21분 45초    3   18.09    0.00   50.00    0.00    0.00    9.57    0.00    0.00    0.00   22.34
18시 21분 45초    4   19.00    0.00   53.00    0.00    0.00   15.00    0.00    0.00    0.00   13.00
18시 21분 45초    5   23.76    0.00   50.50    0.00    0.00   15.84    0.00    0.00    0.00    9.90
18시 21분 45초    6   22.11    0.00   48.42    0.00    0.00   11.58    0.00    0.00    0.00   17.89
18시 21분 45초    7   16.00    0.00   37.00    0.00    0.00   14.00    0.00    0.00    0.00   33.00
18시 21분 45초    8   17.89    0.00   51.58    0.00    0.00   12.63    0.00    0.00    0.00   17.89
18시 21분 45초    9   18.37    0.00   38.78    0.00    0.00   16.33    0.00    0.00    0.00   26.53
18시 21분 45초   10   13.83    0.00   38.30    0.00    0.00   10.64    0.00    0.00    0.00   37.23
18시 21분 45초   11   19.39    0.00   47.96    0.00    0.00   16.33    0.00    0.00    0.00   16.33
18시 21분 45초   12   16.00    0.00   30.00    0.00    0.00   11.00    0.00    0.00    0.00   43.00
18시 21분 45초   13   18.75    0.00   43.75    0.00    0.00   13.54    0.00    0.00    0.00   23.96
18시 21분 45초   14   21.43    0.00   45.92    0.00    0.00   12.24    0.00    0.00    0.00   20.41
18시 21분 45초   15   17.35    0.00   43.88    0.00    0.00    8.16    0.00    0.00    0.00   30.61
18시 21분 45초   16   14.14    0.00   43.43    0.00    0.00    9.09    0.00    0.00    0.00   33.33
18시 21분 45초   17   18.18    0.00   51.52    0.00    0.00   12.12    0.00    0.00    0.00   18.18
18시 21분 45초   18   27.08    0.00   51.04    0.00    0.00   15.62    0.00    0.00    0.00    6.25
18시 21분 45초   19   14.29    0.00   55.10    0.00    0.00   15.31    0.00    0.00    0.00   15.31

18시 21분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 21분 46초  all   18.81    0.00   41.10    0.00    0.00   21.69    0.00    0.00    0.00   18.40
18시 21분 46초    0   16.83    0.00   43.56    0.00    0.00   14.85    0.00    0.00    0.00   24.75
18시 21분 46초    1   18.00    0.00   36.00    0.00    0.00   25.00    0.00    0.00    0.00   21.00
18시 21분 46초    2   14.89    0.00   45.74    0.00    0.00   23.40    0.00    0.00    0.00   15.96
18시 21분 46초    3   20.00    0.00   35.00    0.00    0.00   22.00    0.00    0.00    0.00   23.00
18시 21분 46초    4   18.81    0.00   41.58    0.00    0.00   23.76    0.00    0.00    0.00   15.84
18시 21분 46초    5   21.57    0.00   38.24    0.00    0.00   16.67    0.00    0.00    0.00   23.53
18시 21분 46초    6   19.19    0.00   39.39    0.00    0.00   22.22    0.00    0.00    0.00   19.19
18시 21분 46초    7   20.62    0.00   38.14    0.00    0.00   24.74    0.00    0.00    0.00   16.49
18시 21분 46초    8   14.58    0.00   45.83    0.00    0.00   17.71    0.00    0.00    0.00   21.88
18시 21분 46초    9   19.39    0.00   45.92    0.00    0.00   18.37    0.00    0.00    0.00   16.33
18시 21분 46초   10   19.59    0.00   43.30    0.00    0.00   24.74    0.00    0.00    0.00   12.37
18시 21분 46초   11   20.79    0.00   39.60    0.00    0.00   19.80    0.00    0.00    0.00   19.80
18시 21분 46초   12   20.00    0.00   44.00    0.00    0.00   23.00    0.00    0.00    0.00   13.00
18시 21분 46초   13   19.19    0.00   40.40    0.00    0.00   24.24    0.00    0.00    0.00   16.16
18시 21분 46초   14   18.00    0.00   42.00    0.00    0.00   27.00    0.00    0.00    0.00   13.00
18시 21분 46초   15   18.45    0.00   41.75    0.00    0.00   25.24    0.00    0.00    0.00   14.56
18시 21분 46초   16   18.75    0.00   36.46    0.00    0.00   25.00    0.00    0.00    0.00   19.79
18시 21분 46초   17   18.18    0.00   39.39    0.00    0.00   18.18    0.00    0.00    0.00   24.24
18시 21분 46초   18   18.18    0.00   42.42    0.00    0.00   21.21    0.00    0.00    0.00   18.18
18시 21분 46초   19   17.35    0.00   42.86    0.00    0.00   17.35    0.00    0.00    0.00   22.45
