Linux 5.4.0-48-generic (kesServer) 	2020년 11월 25일 	_x86_64_	(20 CPU)

18시 36분 16초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 36분 17초  all   15.50    0.00   48.39    0.00    0.00    0.26    0.00    0.00    0.00   35.85
18시 36분 17초    0    9.28    0.00   41.24    0.00    0.00    0.00    0.00    0.00    0.00   49.48
18시 36분 17초    1   15.79    0.00   63.16    0.00    0.00    0.00    0.00    0.00    0.00   21.05
18시 36분 17초    2   17.02    0.00   55.32    0.00    0.00    0.00    0.00    0.00    0.00   27.66
18시 36분 17초    3   15.46    0.00   61.86    0.00    0.00    0.00    0.00    0.00    0.00   22.68
18시 36분 17초    4   17.89    0.00   57.89    0.00    0.00    0.00    0.00    0.00    0.00   24.21
18시 36분 17초    5   18.48    0.00   59.78    0.00    0.00    0.00    0.00    0.00    0.00   21.74
18시 36분 17초    6    8.82    0.00   24.51    0.00    0.00    4.90    0.00    0.00    0.00   61.76
18시 36분 17초    7   16.84    0.00   52.63    0.00    0.00    0.00    0.00    0.00    0.00   30.53
18시 36분 17초    8   16.84    0.00   52.63    0.00    0.00    0.00    0.00    0.00    0.00   30.53
18시 36분 17초    9    8.60    0.00   40.86    0.00    0.00    0.00    0.00    0.00    0.00   50.54
18시 36분 17초   10   15.96    0.00   56.38    0.00    0.00    0.00    0.00    0.00    0.00   27.66
18시 36분 17초   11   15.46    0.00   62.89    0.00    0.00    0.00    0.00    0.00    0.00   21.65
18시 36분 17초   12   13.54    0.00   56.25    0.00    0.00    0.00    0.00    0.00    0.00   30.21
18시 36분 17초   13    9.18    0.00   21.43    0.00    0.00    0.00    0.00    0.00    0.00   69.39
18시 36분 17초   14   28.57    0.00   58.16    0.00    0.00    0.00    0.00    0.00    0.00   13.27
18시 36분 17초   15   19.15    0.00   48.94    0.00    0.00    0.00    0.00    0.00    0.00   31.91
18시 36분 17초   16   10.10    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   76.77
18시 36분 17초   17   10.53    0.00   37.89    0.00    0.00    0.00    0.00    0.00    0.00   51.58
18시 36분 17초   18   18.28    0.00   54.84    0.00    0.00    0.00    0.00    0.00    0.00   26.88
