Linux 5.4.0-48-generic (kesServer) 	2021년 01월 03일 	_x86_64_	(20 CPU)

01시 02분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01시 02분 01초  all   15.12    0.00   37.01    0.00    0.00   13.83    0.00    0.00    0.00   34.04
01시 02분 01초    0   15.05    0.00   37.63    0.00    0.00    4.30    0.00    0.00    0.00   43.01
01시 02분 01초    1   17.71    0.00   37.50    0.00    0.00    6.25    0.00    0.00    0.00   38.54
01시 02분 01초    2   13.40    0.00   38.14    0.00    0.00   23.71    0.00    0.00    0.00   24.74
01시 02분 01초    3   15.31    0.00   31.63    0.00    0.00   21.43    0.00    0.00    0.00   31.63
01시 02분 01초    4   15.96    0.00   37.23    0.00    0.00    3.19    0.00    0.00    0.00   43.62
01시 02분 01초    5   16.16    0.00   39.39    0.00    0.00   15.15    0.00    0.00    0.00   29.29
01시 02분 01초    6   16.33    0.00   43.88    0.00    0.00   19.39    0.00    0.00    0.00   20.41
01시 02분 01초    7   11.46    0.00   27.08    0.00    0.00   10.42    0.00    0.00    0.00   51.04
01시 02분 01초    8   13.83    0.00   34.04    0.00    0.00    8.51    0.00    0.00    0.00   43.62
01시 02분 01초    9   13.40    0.00   46.39    0.00    0.00   17.53    0.00    0.00    0.00   22.68
01시 02분 01초   10   14.89    0.00   35.11    0.00    0.00   15.96    0.00    0.00    0.00   34.04
01시 02분 01초   11   14.43    0.00   28.87    0.00    0.00   25.77    0.00    0.00    0.00   30.93
01시 02분 01초   12   10.34    0.00   40.23    0.00    0.00   10.34    0.00    0.00    0.00   39.08
01시 02분 01초   13   17.53    0.00   37.11    0.00    0.00   17.53    0.00    0.00    0.00   27.84
01시 02분 01초   14   20.83    0.00   45.83    0.00    0.00   27.08    0.00    0.00    0.00    6.25
01시 02분 01초   15   15.31    0.00   41.84    0.00    0.00    9.18    0.00    0.00    0.00   33.67
01시 02분 01초   16   11.46    0.00   26.04    0.00    0.00    7.29    0.00    0.00    0.00   55.21
01시 02분 01초   17   16.33    0.00   38.78    0.00    0.00    8.16    0.00    0.00    0.00   36.73
01시 02분 01초   18   14.89    0.00   39.36    0.00    0.00    4.26    0.00    0.00    0.00   41.49
01시 02분 01초   19   15.46    0.00   36.08    0.00    0.00   19.59    0.00    0.00    0.00   28.87

01시 02분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
