Linux 5.4.0-48-generic (kesServer) 	2020년 11월 26일 	_x86_64_	(20 CPU)

03시 16분 07초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03시 16분 08초  all    1.65    0.00    2.86    0.00    0.00    0.30    0.00    0.00    0.00   95.19
03시 16분 08초    0    0.00    0.00    2.86    0.00    0.00    5.71    0.00    0.00    0.00   91.43
03시 16분 08초    1    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
03시 16분 08초    2    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03시 16분 08초    3    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
03시 16분 08초    4    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
03시 16분 08초    5    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
03시 16분 08초    6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
03시 16분 08초    7    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03시 16분 08초    8    1.98    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   94.06
03시 16분 08초    9   13.86    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   81.19
03시 16분 08초   10    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03시 16분 08초   11    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
03시 16분 08초   12    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
03시 16분 08초   13    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
03시 16분 08초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 08초   15    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03시 16분 08초   16    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
03시 16분 08초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 08초   18    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03시 16분 08초   19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

03시 16분 08초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03시 16분 09초  all    0.50    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.15
03시 16분 09초    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초    2    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03시 16분 09초    3    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
03시 16분 09초    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초    5    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03시 16분 09초    6    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03시 16분 09초    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초    8    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03시 16분 09초    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   11    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 09초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   16    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03시 16분 09초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 09초   18    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03시 16분 09초   19    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01

03시 16분 09초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03시 16분 10초  all    0.75    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00   98.70
03시 16분 10초    0    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
03시 16분 10초    1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 10초    2    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03시 16분 10초    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초    4    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03시 16분 10초    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 10초    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초    9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 10초   10    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03시 16분 10초   11    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03시 16분 10초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초   13    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
03시 16분 10초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초   15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 10초   16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 10초   17    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03시 16분 10초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 10초   19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

03시 16분 10초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03시 16분 11초  all    0.70    0.00    0.40    0.00    0.00    0.05    0.00    0.00    0.00   98.85
03시 16분 11초    0    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
03시 16분 11초    1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 11초    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 11초    3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03시 16분 11초    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03시 16분 11초    5    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
03시 16분 11초    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
