Linux 5.4.0-48-generic (server3) 	2020년 11월 26일 	_x86_64_	(10 CPU)

02시 52분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 49초  all    3.00    0.00    4.00    0.00    0.00    5.61    0.00    0.00    0.00   87.39
02시 52분 49초    0    5.05    0.00    5.05    0.00    0.00   15.15    0.00    0.00    0.00   74.75
02시 52분 49초    1    4.04    0.00   12.12    0.00    0.00   12.12    0.00    0.00    0.00   71.72
02시 52분 49초    2    0.99    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   96.04
02시 52분 49초    3    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
02시 52분 49초    4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02시 52분 49초    5    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
02시 52분 49초    6    6.00    0.00    8.00    0.00    0.00   13.00    0.00    0.00    0.00   73.00
02시 52분 49초    7    4.00    0.00    9.00    0.00    0.00   13.00    0.00    0.00    0.00   74.00
02시 52분 49초    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02시 52분 49초    9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98

02시 52분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 50초  all    7.72    0.00   14.03    0.00    0.00   19.04    0.00    0.00    0.00   59.22
02시 52분 50초    0   22.22    0.00   33.33    0.00    0.00   43.43    0.00    0.00    0.00    1.01
02시 52분 50초    1   14.00    0.00   34.00    0.00    0.00   50.00    0.00    0.00    0.00    2.00
02시 52분 50초    2    0.99    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   97.03
02시 52분 50초    3    1.94    0.00    2.91    0.00    0.00    0.97    0.00    0.00    0.00   94.17
02시 52분 50초    4    2.97    0.00    6.93    0.00    0.00    8.91    0.00    0.00    0.00   81.19
02시 52분 50초    5    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
02시 52분 50초    6   16.83    0.00   26.73    0.00    0.00   31.68    0.00    0.00    0.00   24.75
02시 52분 50초    7   12.00    0.00   32.00    0.00    0.00   49.00    0.00    0.00    0.00    7.00
02시 52분 50초    8    2.00    0.00    5.00    0.00    0.00    7.00    0.00    0.00    0.00   86.00
02시 52분 50초    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02시 52분 50초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 51초  all    8.04    0.00   13.70    0.00    0.00   20.26    0.00    0.00    0.00   57.99
02시 52분 51초    0   14.56    0.00   25.24    0.00    0.00   38.83    0.00    0.00    0.00   21.36
02시 52분 51초    1    2.94    0.00    6.86    0.00    0.00   11.76    0.00    0.00    0.00   78.43
02시 52분 51초    2    7.92    0.00   19.80    0.00    0.00   22.77    0.00    0.00    0.00   49.50
02시 52분 51초    3   12.00    0.00   23.00    0.00    0.00   42.00    0.00    0.00    0.00   23.00
02시 52분 51초    4    3.03    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   91.92
02시 52분 51초    5    4.90    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   93.14
02시 52분 51초    6   17.17    0.00   33.33    0.00    0.00   47.47    0.00    0.00    0.00    2.02
02시 52분 51초    7   12.12    0.00   17.17    0.00    0.00   28.28    0.00    0.00    0.00   42.42
02시 52분 51초    8    4.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
02시 52분 51초    9    3.96    0.00    5.94    0.00    0.00    5.94    0.00    0.00    0.00   84.16

02시 52분 51초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 52초  all    6.94    0.00   12.60    0.00    0.00   21.92    0.00    0.00    0.00   58.53
02시 52분 52초    0    0.00    0.00    0.00    0.00    0.00    5.71    0.00    0.00    0.00   94.29
02시 52분 52초    1    5.00    0.00   11.00    0.00    0.00   21.00    0.00    0.00    0.00   63.00
02시 52분 52초    2    7.07    0.00   12.12    0.00    0.00   21.21    0.00    0.00    0.00   59.60
02시 52분 52초    3   12.24    0.00   30.61    0.00    0.00   42.86    0.00    0.00    0.00   14.29
02시 52분 52초    4    7.92    0.00   17.82    0.00    0.00   30.69    0.00    0.00    0.00   43.56
02시 52분 52초    5   15.15    0.00   26.26    0.00    0.00   37.37    0.00    0.00    0.00   21.21
02시 52분 52초    6    1.00    0.00    4.00    0.00    0.00    9.00    0.00    0.00    0.00   86.00
02시 52분 52초    7   17.82    0.00   22.77    0.00    0.00   50.50    0.00    0.00    0.00    8.91
02시 52분 52초    8    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
02시 52분 52초    9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

02시 52분 52초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 53초  all    8.55    0.00   12.62    0.00    0.00   21.47    0.00    0.00    0.00   57.36
02시 52분 53초    0    8.74    0.00   13.59    0.00    0.00   22.33    0.00    0.00    0.00   55.34
02시 52분 53초    1   15.00    0.00   21.00    0.00    0.00   27.00    0.00    0.00    0.00   37.00
02시 52분 53초    2    0.99    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   96.04
02시 52분 53초    3    3.88    0.00    0.97    0.00    0.00    0.00    0.00    0.00    0.00   95.15
02시 52분 53초    4   17.65    0.00   25.49    0.00    0.00   54.90    0.00    0.00    0.00    1.96
02시 52분 53초    5    5.88    0.00   14.71    0.00    0.00   20.59    0.00    0.00    0.00   58.82
02시 52분 53초    6   15.69    0.00   19.61    0.00    0.00   30.39    0.00    0.00    0.00   34.31
02시 52분 53초    7    6.00    0.00   15.00    0.00    0.00   33.00    0.00    0.00    0.00   46.00
02시 52분 53초    8    6.93    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   91.09
02시 52분 53초    9    7.00    0.00   14.00    0.00    0.00   24.00    0.00    0.00    0.00   55.00

02시 52분 53초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 54초  all    7.04    0.00   13.28    0.00    0.00   21.11    0.00    0.00    0.00   58.57
02시 52분 54초    0    0.00    0.00    2.78    0.00    0.00   12.96    0.00    0.00    0.00   84.26
02시 52분 54초    1   14.85    0.00   34.65    0.00    0.00   44.55    0.00    0.00    0.00    5.94
02시 52분 54초    2    1.98    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   95.05
02시 52분 54초    3    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
02시 52분 54초    4   16.16    0.00   33.33    0.00    0.00   48.48    0.00    0.00    0.00    2.02
02시 52분 54초    5    3.03    0.00   10.10    0.00    0.00   11.11    0.00    0.00    0.00   75.76
02시 52분 54초    6   11.00    0.00   24.00    0.00    0.00   37.00    0.00    0.00    0.00   28.00
02시 52분 54초    7    1.96    0.00    2.94    0.00    0.00    3.92    0.00    0.00    0.00   91.18
02시 52분 54초    8    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02시 52분 54초    9   19.00    0.00   24.00    0.00    0.00   52.00    0.00    0.00    0.00    5.00

02시 52분 54초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02시 52분 55초  all    8.41    0.00   14.24    0.00    0.00   21.17    0.00    0.00    0.00   56.18
02시 52분 55초    0    3.85    0.00    8.65    0.00    0.00   20.19    0.00    0.00    0.00   67.31
02시 52분 55초    1   11.11    0.00   14.14    0.00    0.00   15.15    0.00    0.00    0.00   59.60
02시 52분 55초    2   13.86    0.00   24.75    0.00    0.00   44.55    0.00    0.00    0.00   16.83
02시 52분 55초    3   14.71    0.00   25.49    0.00    0.00   40.20    0.00    0.00    0.00   19.61
02시 52분 55초    4    2.88    0.00    3.85    0.00    0.00    5.77    0.00    0.00    0.00   87.50
