Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

19시 55분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 55분 57초  all   11.49    0.00   31.23    0.00    0.00    5.13    0.00    0.00    0.00   52.15
19시 55분 57초    0   14.00    0.00   37.00    0.00    0.00    4.00    0.00    0.00    0.00   45.00
19시 55분 57초    1    9.80    0.00   33.33    0.00    0.00    4.90    0.00    0.00    0.00   51.96
19시 55분 57초    2   13.00    0.00   30.00    0.00    0.00    3.00    0.00    0.00    0.00   54.00
19시 55분 57초    3   12.77    0.00   32.98    0.00    0.00    2.13    0.00    0.00    0.00   52.13
19시 55분 57초    4   10.20    0.00   34.69    0.00    0.00    4.08    0.00    0.00    0.00   51.02
19시 55분 57초    5   10.78    0.00   34.31    0.00    0.00    1.96    0.00    0.00    0.00   52.94
19시 55분 57초    6   12.50    0.00   32.29    0.00    0.00    0.00    0.00    0.00    0.00   55.21
19시 55분 57초    7   10.00    0.00   32.00    0.00    0.00    3.00    0.00    0.00    0.00   55.00
19시 55분 57초    8    9.28    0.00   28.87    0.00    0.00    2.06    0.00    0.00    0.00   59.79
19시 55분 57초    9   13.27    0.00   32.65    0.00    0.00    0.00    0.00    0.00    0.00   54.08
19시 55분 57초   10   11.70    0.00   32.98    0.00    0.00    0.00    0.00    0.00    0.00   55.32
19시 55분 57초   11   12.37    0.00   36.08    0.00    0.00    1.03    0.00    0.00    0.00   50.52
19시 55분 57초   12   10.42    0.00   29.17    0.00    0.00    1.04    0.00    0.00    0.00   59.38
19시 55분 57초   13    8.51    0.00   31.91    0.00    0.00    2.13    0.00    0.00    0.00   57.45
19시 55분 57초   14   12.63    0.00   26.32    0.00    0.00    1.05    0.00    0.00    0.00   60.00
19시 55분 57초   15   16.49    0.00   28.87    0.00    0.00    3.09    0.00    0.00    0.00   51.55
19시 55분 57초   16   12.87    0.00   29.70    0.00    0.00    1.98    0.00    0.00    0.00   55.45
19시 55분 57초   17    9.18    0.00   25.51    0.00    0.00    3.06    0.00    0.00    0.00   62.24
19시 55분 57초   18    7.07    0.00   20.20    0.00    0.00   65.66    0.00    0.00    0.00    7.07
19시 55분 57초   19   15.31    0.00   31.63    0.00    0.00    0.00    0.00    0.00    0.00   53.06

19시 55분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 55분 58초  all    6.75    0.00   19.96    0.00    0.00    7.76    0.00    0.00    0.00   65.52
19시 55분 58초    0    3.81    0.00   21.90    0.00    0.00    9.52    0.00    0.00    0.00   64.76
19시 55분 58초    1    9.80    0.00   19.61    0.00    0.00    4.90    0.00    0.00    0.00   65.69
19시 55분 58초    2    5.94    0.00   24.75    0.00    0.00    2.97    0.00    0.00    0.00   66.34
19시 55분 58초    3    7.69    0.00   24.04    0.00    0.00    2.88    0.00    0.00    0.00   65.38
19시 55분 58초    4   10.10    0.00   21.21    0.00    0.00    3.03    0.00    0.00    0.00   65.66
19시 55분 58초    5    5.15    0.00   19.59    0.00    0.00    4.12    0.00    0.00    0.00   71.13
19시 55분 58초    6    7.84    0.00   26.47    0.00    0.00    1.96    0.00    0.00    0.00   63.73
19시 55분 58초    7    7.92    0.00   16.83    0.00    0.00    1.98    0.00    0.00    0.00   73.27
19시 55분 58초    8    4.26    0.00   14.89    0.00    0.00    3.19    0.00    0.00    0.00   77.66
19시 55분 58초    9    9.90    0.00   20.79    0.00    0.00    0.00    0.00    0.00    0.00   69.31
19시 55분 58초   10    4.08    0.00   20.41    0.00    0.00    2.04    0.00    0.00    0.00   73.47
19시 55분 58초   11    8.91    0.00   19.80    0.00    0.00    2.97    0.00    0.00    0.00   68.32
19시 55분 58초   12    5.10    0.00   25.51    0.00    0.00    2.04    0.00    0.00    0.00   67.35
19시 55분 58초   13    6.52    0.00   16.30    0.00    0.00    2.17    0.00    0.00    0.00   75.00
19시 55분 58초   14    5.94    0.00   23.76    0.00    0.00    1.98    0.00    0.00    0.00   68.32
19시 55분 58초   15    6.38    0.00   22.34    0.00    0.00    2.13    0.00    0.00    0.00   69.15
19시 55분 58초   16    7.07    0.00   23.23    0.00    0.00    3.03    0.00    0.00    0.00   66.67
19시 55분 58초   17    8.25    0.00   17.53    0.00    0.00    3.09    0.00    0.00    0.00   71.13
19시 55분 58초   18    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
19시 55분 58초   19    7.22    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   70.10

19시 55분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 55분 59초  all    5.38    0.00   20.36    0.00    0.00    7.64    0.00    0.00    0.00   66.62
