Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

19시 55분 56초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
19시 56분 26초  1000     26730         -   98.24  100.00    0.00    0.00  100.00    15  memaslap
19시 56분 26초  1000         -     26745    6.18   27.60    0.00    0.20   33.78     7  |__memaslap
19시 56분 26초  1000         -     26746    5.85   28.33    0.00    0.17   34.17    17  |__memaslap
19시 56분 26초  1000         -     26747    5.94   27.43    0.00    0.23   33.38    15  |__memaslap
19시 56분 26초  1000         -     26748    6.08   28.23    0.00    0.20   34.31     4  |__memaslap
19시 56분 26초  1000         -     26749    6.01   27.30    0.00    0.17   33.31     5  |__memaslap
19시 56분 26초  1000         -     26750    6.58   27.40    0.00    0.20   33.98    10  |__memaslap
19시 56분 26초  1000         -     26751    5.94   27.40    0.00    0.17   33.34    19  |__memaslap
19시 56분 26초  1000         -     26752    6.58   27.03    0.00    0.27   33.61     0  |__memaslap
19시 56분 26초  1000         -     26753    6.21   27.17    0.00    0.20   33.38    18  |__memaslap
19시 56분 26초  1000         -     26754    6.31   27.83    0.00    0.20   34.14    13  |__memaslap
19시 56분 26초  1000         -     26755    6.18   27.47    0.00    0.17   33.64    14  |__memaslap
19시 56분 26초  1000         -     26756    5.98   28.30    0.00    0.20   34.27     6  |__memaslap
19시 56분 26초  1000         -     26757    6.18   27.07    0.00    0.17   33.24     8  |__memaslap
19시 56분 26초  1000         -     26758    5.65   28.26    0.00    0.17   33.91    16  |__memaslap
19시 56분 26초  1000         -     26759    6.38   27.27    0.00    0.20   33.64    12  |__memaslap
19시 56분 26초  1000         -     26760    6.21   27.86    0.00    0.20   34.08     3  |__memaslap

19시 56분 26초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
19시 56분 56초  1000     26730         -   97.67  100.00    0.00    0.00  100.00    13  memaslap
19시 56분 56초  1000         -     26745    5.90   27.77    0.00    0.13   33.67    12  |__memaslap
19시 56분 56초  1000         -     26746    5.83   27.50    0.00    0.10   33.33    13  |__memaslap
19시 56분 56초  1000         -     26747    5.83   27.97    0.00    0.10   33.80     8  |__memaslap
19시 56분 56초  1000         -     26748    5.77   27.90    0.00    0.13   33.67     4  |__memaslap
19시 56분 56초  1000         -     26749    6.43   27.03    0.00    0.13   33.47     0  |__memaslap
19시 56분 56초  1000         -     26750    6.43   27.23    0.00    0.13   33.67     2  |__memaslap
19시 56분 56초  1000         -     26751    5.87   27.47    0.00    0.17   33.33    19  |__memaslap
19시 56분 56초  1000         -     26752    6.07   27.27    0.00    0.17   33.33     5  |__memaslap
19시 56분 56초  1000         -     26753    6.47   27.30    0.00    0.13   33.77     2  |__memaslap
19시 56분 56초  1000         -     26754    6.30   27.50    0.00    0.13   33.80    14  |__memaslap
19시 56분 56초  1000         -     26755    6.23   27.40    0.00    0.13   33.63     7  |__memaslap
19시 56분 56초  1000         -     26756    5.90   27.57    0.00    0.13   33.47     3  |__memaslap
19시 56분 56초  1000         -     26757    6.17   27.23    0.00    0.13   33.40    17  |__memaslap
19시 56분 56초  1000         -     26758    6.00   27.53    0.00    0.17   33.53    16  |__memaslap
19시 56분 56초  1000         -     26759    6.27   27.23    0.00    0.10   33.50     6  |__memaslap
19시 56분 56초  1000         -     26760    6.23   27.57    0.00    0.13   33.80    10  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     26730         -   97.95  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     26745    6.04   27.68    0.00    0.17   33.72     -  |__memaslap
Average:     1000         -     26746    5.84   27.92    0.00    0.13   33.75     -  |__memaslap
Average:     1000         -     26747    5.89   27.70    0.00    0.17   33.59     -  |__memaslap
Average:     1000         -     26748    5.92   28.07    0.00    0.17   33.99     -  |__memaslap
Average:     1000         -     26749    6.22   27.17    0.00    0.15   33.39     -  |__memaslap
Average:     1000         -     26750    6.50   27.32    0.00    0.17   33.82     -  |__memaslap
Average:     1000         -     26751    5.91   27.43    0.00    0.17   33.34     -  |__memaslap
Average:     1000         -     26752    6.32   27.15    0.00    0.22   33.47     -  |__memaslap
Average:     1000         -     26753    6.34   27.23    0.00    0.17   33.57     -  |__memaslap
Average:     1000         -     26754    6.31   27.67    0.00    0.17   33.97     -  |__memaslap
Average:     1000         -     26755    6.21   27.43    0.00    0.15   33.64     -  |__memaslap
Average:     1000         -     26756    5.94   27.93    0.00    0.17   33.87     -  |__memaslap
Average:     1000         -     26757    6.17   27.15    0.00    0.15   33.32     -  |__memaslap
Average:     1000         -     26758    5.82   27.90    0.00    0.17   33.72     -  |__memaslap
Average:     1000         -     26759    6.32   27.25    0.00    0.15   33.57     -  |__memaslap
Average:     1000         -     26760    6.22   27.72    0.00    0.17   33.94     -  |__memaslap
