Linux 5.4.0-72-generic (server3) 	2021년 04월 27일 	_x86_64_	(10 CPU)

19시 55분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 55분 58초  all    6.58    0.00   10.67    0.00    0.00   29.31    0.00    0.00    0.00   53.44
19시 55분 58초    0    4.55    0.00    4.55    0.00    0.00   20.00    0.00    0.00    0.00   70.91
19시 55분 58초    1   11.00    0.00   17.00    0.00    0.00   44.00    0.00    0.00    0.00   28.00
19시 55분 58초    2    7.92    0.00   12.87    0.00    0.00   39.60    0.00    0.00    0.00   39.60
19시 55분 58초    3    9.18    0.00   24.49    0.00    0.00   18.37    0.00    0.00    0.00   47.96
19시 55분 58초    4    6.06    0.00    9.09    0.00    0.00   28.28    0.00    0.00    0.00   56.57
19시 55분 58초    5    6.06    0.00    5.05    0.00    0.00   17.17    0.00    0.00    0.00   71.72
19시 55분 58초    6    5.00    0.00   10.00    0.00    0.00   27.00    0.00    0.00    0.00   58.00
19시 55분 58초    7    7.84    0.00   10.78    0.00    0.00   25.49    0.00    0.00    0.00   55.88
19시 55분 58초    8    5.00    0.00    6.00    0.00    0.00   44.00    0.00    0.00    0.00   45.00
19시 55분 58초    9    6.00    0.00   10.00    0.00    0.00   28.00    0.00    0.00    0.00   56.00

19시 55분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 55분 59초  all    5.55    0.00    8.23    0.00    0.00   28.74    0.00    0.00    0.00   57.48
19시 55분 59초    0    4.63    0.00    5.56    0.00    0.00   18.52    0.00    0.00    0.00   71.30
19시 55분 59초    1    5.88    0.00    3.92    0.00    0.00   12.75    0.00    0.00    0.00   77.45
19시 55분 59초    2    2.02    0.00    4.04    0.00    0.00   10.10    0.00    0.00    0.00   83.84
19시 55분 59초    3    5.00    0.00    5.00    0.00    0.00   23.00    0.00    0.00    0.00   67.00
19시 55분 59초    4    4.00    0.00   10.00    0.00    0.00   20.00    0.00    0.00    0.00   66.00
19시 55분 59초    5    6.00    0.00    9.00    0.00    0.00   29.00    0.00    0.00    0.00   56.00
19시 55분 59초    6    5.88    0.00    6.86    0.00    0.00   30.39    0.00    0.00    0.00   56.86
19시 55분 59초    7    5.15    0.00   10.31    0.00    0.00   46.39    0.00    0.00    0.00   38.14
19시 55분 59초    8    4.04    0.00   10.10    0.00    0.00   48.48    0.00    0.00    0.00   37.37
19시 55분 59초    9   12.00    0.00   16.00    0.00    0.00   52.00    0.00    0.00    0.00   20.00

19시 55분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 56분 00초  all    8.28    0.00    7.98    0.00    0.00   28.81    0.00    0.00    0.00   54.94
19시 56분 00초    0    7.69    0.00    9.62    0.00    0.00   25.00    0.00    0.00    0.00   57.69
19시 56분 00초    1    9.00    0.00    3.00    0.00    0.00   10.00    0.00    0.00    0.00   78.00
