Linux 5.4.0-72-generic (kesServer) 	2021년 05월 13일 	_x86_64_	(20 CPU)

20시 15분 21초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 22초  all   14.86    0.00   32.35    0.00    0.00    8.84    0.00    0.00    0.00   43.95
20시 15분 22초    0   18.27    0.00   21.15    0.00    0.00    9.62    0.00    0.00    0.00   50.96
20시 15분 22초    1   15.15    0.00   29.29    0.00    0.00    8.08    0.00    0.00    0.00   47.47
20시 15분 22초    2   13.46    0.00   26.92    0.00    0.00    7.69    0.00    0.00    0.00   51.92
20시 15분 22초    3   14.14    0.00   31.31    0.00    0.00   10.10    0.00    0.00    0.00   44.44
20시 15분 22초    4   17.14    0.00   36.19    0.00    0.00    5.71    0.00    0.00    0.00   40.95
20시 15분 22초    5   17.82    0.00   33.66    0.00    0.00    5.94    0.00    0.00    0.00   42.57
20시 15분 22초    6   16.00    0.00   33.00    0.00    0.00    8.00    0.00    0.00    0.00   43.00
20시 15분 22초    7   14.58    0.00   27.08    0.00    0.00   21.88    0.00    0.00    0.00   36.46
20시 15분 22초    8   13.46    0.00   20.19    0.00    0.00   10.58    0.00    0.00    0.00   55.77
20시 15분 22초    9   17.82    0.00   30.69    0.00    0.00    9.90    0.00    0.00    0.00   41.58
20시 15분 22초   10    9.09    0.00   28.28    0.00    0.00    7.07    0.00    0.00    0.00   55.56
20시 15분 22초   11   16.16    0.00   30.30    0.00    0.00    8.08    0.00    0.00    0.00   45.45
20시 15분 22초   12   14.71    0.00   37.25    0.00    0.00    6.86    0.00    0.00    0.00   41.18
20시 15분 22초   13   12.50    0.00   36.54    0.00    0.00    9.62    0.00    0.00    0.00   41.35
20시 15분 22초   14   17.00    0.00   33.00    0.00    0.00    8.00    0.00    0.00    0.00   42.00
20시 15분 22초   15   13.33    0.00   39.05    0.00    0.00    8.57    0.00    0.00    0.00   39.05
20시 15분 22초   16    8.25    0.00   38.14    0.00    0.00    9.28    0.00    0.00    0.00   44.33
20시 15분 22초   17   12.24    0.00   37.76    0.00    0.00    7.14    0.00    0.00    0.00   42.86
20시 15분 22초   18   16.19    0.00   35.24    0.00    0.00    9.52    0.00    0.00    0.00   39.05
20시 15분 22초   19   19.42    0.00   42.72    0.00    0.00    6.80    0.00    0.00    0.00   31.07

20시 15분 22초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 23초  all    6.53    0.00   15.48    0.00    0.00   24.91    0.00    0.00    0.00   53.08
20시 15분 23초    0    5.26    0.00   17.54    0.00    0.00   27.19    0.00    0.00    0.00   50.00
20시 15분 23초    1    7.02    0.00   14.91    0.00    0.00   27.19    0.00    0.00    0.00   50.88
20시 15분 23초    2    7.48    0.00   13.08    0.00    0.00   24.30    0.00    0.00    0.00   55.14
20시 15분 23초    3    7.77    0.00   13.59    0.00    0.00   21.36    0.00    0.00    0.00   57.28
20시 15분 23초    4    8.65    0.00   12.50    0.00    0.00   23.08    0.00    0.00    0.00   55.77
20시 15분 23초    5    6.67    0.00   19.05    0.00    0.00   17.14    0.00    0.00    0.00   57.14
20시 15분 23초    6    5.77    0.00   12.50    0.00    0.00   19.23    0.00    0.00    0.00   62.50
20시 15분 23초    7    5.45    0.00   12.73    0.00    0.00   42.73    0.00    0.00    0.00   39.09
20시 15분 23초    8    5.61    0.00   14.95    0.00    0.00   28.97    0.00    0.00    0.00   50.47
20시 15분 23초    9    3.77    0.00   13.21    0.00    0.00   23.58    0.00    0.00    0.00   59.43
20시 15분 23초   10    9.62    0.00   19.23    0.00    0.00   22.12    0.00    0.00    0.00   49.04
20시 15분 23초   11   10.28    0.00   19.63    0.00    0.00   23.36    0.00    0.00    0.00   46.73
20시 15분 23초   12    1.98    0.00   18.81    0.00    0.00   27.72    0.00    0.00    0.00   51.49
20시 15분 23초   13    4.72    0.00   14.15    0.00    0.00   25.47    0.00    0.00    0.00   55.66
20시 15분 23초   14    3.81    0.00   14.29    0.00    0.00   24.76    0.00    0.00    0.00   57.14
20시 15분 23초   15    6.80    0.00   12.62    0.00    0.00   24.27    0.00    0.00    0.00   56.31
20시 15분 23초   16    5.94    0.00   16.83    0.00    0.00   22.77    0.00    0.00    0.00   54.46
20시 15분 23초   17    7.77    0.00   16.50    0.00    0.00   21.36    0.00    0.00    0.00   54.37
20시 15분 23초   18    8.18    0.00   18.18    0.00    0.00   27.27    0.00    0.00    0.00   46.36
20시 15분 23초   19    7.92    0.00   13.86    0.00    0.00   23.76    0.00    0.00    0.00   54.46

20시 15분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 24초  all    5.96    0.00   15.02    0.00    0.00   15.35    0.00    0.00    0.00   63.67
20시 15분 24초    0    3.85    0.00   17.31    0.00    0.00   20.19    0.00    0.00    0.00   58.65
20시 15분 24초    1    3.41    0.00   15.91    0.00    0.00   13.64    0.00    0.00    0.00   67.05
20시 15분 24초    2    4.40    0.00   13.19    0.00    0.00   16.48    0.00    0.00    0.00   65.93
20시 15분 24초    3    5.68    0.00   13.64    0.00    0.00   11.36    0.00    0.00    0.00   69.32
20시 15분 24초    4    8.99    0.00   14.61    0.00    0.00   12.36    0.00    0.00    0.00   64.04
20시 15분 24초    5    4.49    0.00    8.99    0.00    0.00    8.99    0.00    0.00    0.00   77.53
20시 15분 24초    6    6.59    0.00   14.29    0.00    0.00   10.99    0.00    0.00    0.00   68.13
20시 15분 24초    7    4.10    0.00    8.20    0.00    0.00   45.08    0.00    0.00    0.00   42.62
20시 15분 24초    8    4.60    0.00   14.94    0.00    0.00   11.49    0.00    0.00    0.00   68.97
20시 15분 24초    9    8.70    0.00    9.78    0.00    0.00    9.78    0.00    0.00    0.00   71.74
20시 15분 24초   10    4.76    0.00   20.24    0.00    0.00   14.29    0.00    0.00    0.00   60.71
20시 15분 24초   11    5.62    0.00   16.85    0.00    0.00   15.73    0.00    0.00    0.00   61.80
20시 15분 24초   12    6.82    0.00   19.32    0.00    0.00   13.64    0.00    0.00    0.00   60.23
20시 15분 24초   13    5.95    0.00   14.29    0.00    0.00   16.67    0.00    0.00    0.00   63.10
20시 15분 24초   14    8.05    0.00   14.94    0.00    0.00   12.64    0.00    0.00    0.00   64.37
20시 15분 24초   15    8.43    0.00   16.87    0.00    0.00   10.84    0.00    0.00    0.00   63.86
20시 15분 24초   16    4.55    0.00   17.05    0.00    0.00   14.77    0.00    0.00    0.00   63.64
20시 15분 24초   17    4.60    0.00   19.54    0.00    0.00   11.49    0.00    0.00    0.00   64.37
20시 15분 24초   18    6.67    0.00   18.89    0.00    0.00   12.22    0.00    0.00    0.00   62.22
20시 15분 24초   19    8.33    0.00   13.10    0.00    0.00   13.10    0.00    0.00    0.00   65.48

20시 15분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 25초  all    5.93    0.00   16.01    0.00    0.00   21.99    0.00    0.00    0.00   56.07
20시 15분 25초    0    5.56    0.00   12.04    0.00    0.00   22.22    0.00    0.00    0.00   60.19
20시 15분 25초    1    5.41    0.00   12.61    0.00    0.00   23.42    0.00    0.00    0.00   58.56
20시 15분 25초    2    8.18    0.00   14.55    0.00    0.00   19.09    0.00    0.00    0.00   58.18
20시 15분 25초    3    4.50    0.00   12.61    0.00    0.00   22.52    0.00    0.00    0.00   60.36
20시 15분 25초    4    4.81    0.00   14.42    0.00    0.00   21.15    0.00    0.00    0.00   59.62
20시 15분 25초    5    3.85    0.00   16.35    0.00    0.00   23.08    0.00    0.00    0.00   56.73
20시 15분 25초    6    5.88    0.00   13.73    0.00    0.00   18.63    0.00    0.00    0.00   61.76
20시 15분 25초    7    4.08    0.00   15.31    0.00    0.00   29.59    0.00    0.00    0.00   51.02
20시 15분 25초    8    5.77    0.00   14.42    0.00    0.00   21.15    0.00    0.00    0.00   58.65
20시 15분 25초    9    7.34    0.00   19.27    0.00    0.00   21.10    0.00    0.00    0.00   52.29
20시 15분 25초   10    5.66    0.00   18.87    0.00    0.00   21.70    0.00    0.00    0.00   53.77
20시 15분 25초   11    3.88    0.00   16.50    0.00    0.00   27.18    0.00    0.00    0.00   52.43
20시 15분 25초   12    5.83    0.00   15.53    0.00    0.00   23.30    0.00    0.00    0.00   55.34
20시 15분 25초   13    7.77    0.00   18.45    0.00    0.00   19.42    0.00    0.00    0.00   54.37
20시 15분 25초   14    7.92    0.00   17.82    0.00    0.00   20.79    0.00    0.00    0.00   53.47
20시 15분 25초   15    6.80    0.00   19.42    0.00    0.00   20.39    0.00    0.00    0.00   53.40
20시 15분 25초   16    7.48    0.00   20.56    0.00    0.00   20.56    0.00    0.00    0.00   51.40
20시 15분 25초   17    5.94    0.00   17.82    0.00    0.00   13.86    0.00    0.00    0.00   62.38
20시 15분 25초   18    6.60    0.00   16.98    0.00    0.00   25.47    0.00    0.00    0.00   50.94
20시 15분 25초   19    5.94    0.00   14.85    0.00    0.00   22.77    0.00    0.00    0.00   56.44

20시 15분 25초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 26초  all    7.48    0.00   17.25    0.10    0.00   18.94    0.00    0.00    0.00   56.23
20시 15분 26초    0    6.73    0.00   12.50    0.00    0.00   22.12    0.00    0.00    0.00   58.65
20시 15분 26초    1   13.08    0.00   11.21    0.00    0.00   16.82    0.00    0.00    0.00   58.88
20시 15분 26초    2    6.00    0.00   15.00    0.00    0.00   21.00    0.00    0.00    0.00   58.00
20시 15분 26초    3    5.77    0.00   14.42    0.00    0.00   19.23    0.00    0.00    0.00   60.58
20시 15분 26초    4    4.95    0.00   11.88    0.00    0.00   16.83    0.00    0.00    0.00   66.34
20시 15분 26초    5    9.09    0.00   15.15    0.00    0.00   15.15    0.00    0.00    0.00   60.61
20시 15분 26초    6    4.90    0.00   14.71    0.00    0.00   16.67    0.00    0.00    0.00   63.73
20시 15분 26초    7    9.18    0.00   14.29    0.00    0.00   32.65    0.00    0.00    0.00   43.88
20시 15분 26초    8    8.33    0.00   21.88    0.00    0.00   14.58    0.00    0.00    0.00   55.21
20시 15분 26초    9    8.82    0.00   16.67    0.00    0.00   18.63    0.00    0.00    0.00   55.88
20시 15분 26초   10    5.10    0.00   21.43    0.00    0.00   19.39    0.00    0.00    0.00   54.08
20시 15분 26초   11    7.29    0.00   15.62    0.00    0.00   18.75    0.00    0.00    0.00   58.33
20시 15분 26초   12    8.00    0.00   25.00    0.00    0.00   16.00    0.00    0.00    0.00   51.00
20시 15분 26초   13    6.67    0.00   21.90    0.00    0.00   19.05    0.00    0.00    0.00   52.38
20시 15분 26초   14    7.22    0.00   10.31    0.00    0.00   21.65    0.00    0.00    0.00   60.82
20시 15분 26초   15    4.21    0.00   18.95    2.11    0.00   21.05    0.00    0.00    0.00   53.68
20시 15분 26초   16    8.82    0.00   18.63    0.00    0.00   19.61    0.00    0.00    0.00   52.94
20시 15분 26초   17    7.84    0.00   20.59    0.00    0.00   20.59    0.00    0.00    0.00   50.98
20시 15분 26초   18    9.71    0.00   26.21    0.00    0.00   12.62    0.00    0.00    0.00   51.46
20시 15분 26초   19    7.77    0.00   19.42    0.00    0.00   20.39    0.00    0.00    0.00   52.43

20시 15분 26초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 27초  all    6.25    0.00   22.53    0.05    0.00   10.04    0.00    0.00    0.00   61.13
20시 15분 27초    0    3.74    0.00   15.89    0.00    0.00   20.56    0.00    0.00    0.00   59.81
20시 15분 27초    1    4.21    0.00   25.26    0.00    0.00   12.63    0.00    0.00    0.00   57.89
20시 15분 27초    2    5.05    0.00   16.16    0.00    0.00   14.14    0.00    0.00    0.00   64.65
20시 15분 27초    3    4.17    0.00   19.79    0.00    0.00    6.25    0.00    0.00    0.00   69.79
20시 15분 27초    4    3.23    0.00   15.05    0.00    0.00   10.75    0.00    0.00    0.00   70.97
20시 15분 27초    5    9.09    0.00   22.22    0.00    0.00    5.05    0.00    0.00    0.00   63.64
20시 15분 27초    6    5.83    0.00   17.48    0.00    0.00    3.88    0.00    0.00    0.00   72.82
20시 15분 27초    7    5.62    0.00   15.73    0.00    0.00   24.72    0.00    0.00    0.00   53.93
20시 15분 27초    8   10.87    0.00   21.74    0.00    0.00    6.52    0.00    0.00    0.00   60.87
20시 15분 27초    9    8.42    0.00   22.11    0.00    0.00    9.47    0.00    0.00    0.00   60.00
20시 15분 27초   10    9.09    0.00   22.73    0.00    0.00   10.23    0.00    0.00    0.00   57.95
20시 15분 27초   11    5.43    0.00   30.43    0.00    0.00    8.70    0.00    0.00    0.00   55.43
20시 15분 27초   12    4.65    0.00   27.91    0.00    0.00    5.81    0.00    0.00    0.00   61.63
