Linux 5.4.0-72-generic (kesServer) 	2021년 05월 13일 	_x86_64_	(20 CPU)

20시 15분 21초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
20시 15분 51초  1000     28716         -  100.00  100.00    0.00    0.00  100.00     6  memaslap
20시 15분 51초  1000         -     28731    7.93   30.48    0.00    0.56   38.41     5  |__memaslap
20시 15분 51초  1000         -     28732    8.52   29.22    0.00    0.60   37.74    12  |__memaslap
20시 15분 51초  1000         -     28733    8.72   29.49    0.00    0.50   38.21    11  |__memaslap
20시 15분 51초  1000         -     28734    8.59   28.76    0.00    0.46   37.35    14  |__memaslap
20시 15분 51초  1000         -     28735    8.69   29.62    0.00    0.50   38.31    15  |__memaslap
20시 15분 51초  1000         -     28736    8.26   28.92    0.00    0.66   37.18    17  |__memaslap
20시 15분 51초  1000         -     28737    8.76   29.29    0.00    0.43   38.04    19  |__memaslap
20시 15분 51초  1000         -     28738    8.36   28.76    0.00    0.43   37.11    13  |__memaslap
20시 15분 51초  1000         -     28739    9.02   29.82    0.00    0.56   38.84     0  |__memaslap
20시 15분 51초  1000         -     28740    8.39   29.52    0.00    0.60   37.91     1  |__memaslap
20시 15분 51초  1000         -     28741    9.29   28.69    0.00    0.60   37.98    10  |__memaslap
20시 15분 51초  1000         -     28742    8.16   29.12    0.00    0.46   37.28     2  |__memaslap
20시 15분 51초  1000         -     28743    8.59   29.68    0.00    0.43   38.28     3  |__memaslap
20시 15분 51초  1000         -     28744    8.76   28.96    0.00    0.46   37.71     6  |__memaslap
20시 15분 51초  1000         -     28745    8.03   29.92    0.00    0.66   37.94     4  |__memaslap
20시 15분 51초  1000         -     28746    8.19   29.39    0.00    0.66   37.58    14  |__memaslap

20시 15분 51초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
20시 16분 21초  1000     28716         -  100.00  100.00    0.00    0.00  100.00    18  memaslap
20시 16분 21초  1000         -     28731    8.13   29.60    0.00    0.60   37.73     8  |__memaslap
20시 16분 21초  1000         -     28732    8.53   28.10    0.00    0.63   36.63     1  |__memaslap
20시 16분 21초  1000         -     28733    8.30   28.90    0.00    0.50   37.20    13  |__memaslap
20시 16분 21초  1000         -     28734    8.17   28.17    0.00    0.53   36.33    11  |__memaslap
20시 16분 21초  1000         -     28735    8.57   28.57    0.00    0.43   37.13    18  |__memaslap
20시 16분 21초  1000         -     28736    8.10   28.60    0.00    0.63   36.70    17  |__memaslap
20시 16분 21초  1000         -     28737    8.77   28.47    0.00    0.50   37.23    12  |__memaslap
20시 16분 21초  1000         -     28738    8.70   28.33    0.00    0.50   37.03    16  |__memaslap
20시 16분 21초  1000         -     28739    8.97   28.93    0.00    0.63   37.90    14  |__memaslap
20시 16분 21초  1000         -     28740    8.63   28.20    0.00    0.63   36.83     2  |__memaslap
20시 16분 21초  1000         -     28741    9.03   28.27    0.00    0.63   37.30     4  |__memaslap
20시 16분 21초  1000         -     28742    8.17   28.73    0.00    0.43   36.90    10  |__memaslap
20시 16분 21초  1000         -     28743    8.93   28.77    0.00    0.43   37.70    15  |__memaslap
20시 16분 21초  1000         -     28744    8.53   28.67    0.00    0.43   37.20     6  |__memaslap
20시 16분 21초  1000         -     28745    8.47   29.17    0.00    0.60   37.63     3  |__memaslap
20시 16분 21초  1000         -     28746    8.80   28.33    0.00    0.63   37.13    19  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     28716         -  100.00  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     28731    8.03   30.04    0.00    0.58   38.07     -  |__memaslap
Average:     1000         -     28732    8.53   28.66    0.00    0.62   37.19     -  |__memaslap
Average:     1000         -     28733    8.51   29.19    0.00    0.50   37.71     -  |__memaslap
Average:     1000         -     28734    8.38   28.46    0.00    0.50   36.84     -  |__memaslap
Average:     1000         -     28735    8.63   29.09    0.00    0.47   37.72     -  |__memaslap
Average:     1000         -     28736    8.18   28.76    0.00    0.65   36.94     -  |__memaslap
Average:     1000         -     28737    8.76   28.88    0.00    0.47   37.64     -  |__memaslap
Average:     1000         -     28738    8.53   28.55    0.00    0.47   37.07     -  |__memaslap
Average:     1000         -     28739    8.99   29.38    0.00    0.60   38.37     -  |__memaslap
Average:     1000         -     28740    8.51   28.86    0.00    0.62   37.37     -  |__memaslap
Average:     1000         -     28741    9.16   28.48    0.00    0.62   37.64     -  |__memaslap
Average:     1000         -     28742    8.16   28.93    0.00    0.45   37.09     -  |__memaslap
Average:     1000         -     28743    8.76   29.23    0.00    0.43   37.99     -  |__memaslap
Average:     1000         -     28744    8.65   28.81    0.00    0.45   37.46     -  |__memaslap
Average:     1000         -     28745    8.25   29.54    0.00    0.63   37.79     -  |__memaslap
Average:     1000         -     28746    8.50   28.86    0.00    0.65   37.36     -  |__memaslap
