Linux 5.4.0-72-generic (server3) 	2021년 05월 13일 	_x86_64_	(10 CPU)

20시 15분 21초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 22초  all    7.52    0.00   10.13    0.00    0.00   23.27    0.00    0.00    0.00   59.08
20시 15분 22초    0    6.80    0.00   10.68    0.00    0.00   29.13    0.00    0.00    0.00   53.40
20시 15분 22초    1    7.77    0.00    9.71    0.00    0.00   21.36    0.00    0.00    0.00   61.17
20시 15분 22초    2    4.08    0.00    3.06    0.00    0.00    8.16    0.00    0.00    0.00   84.69
20시 15분 22초    3    8.91    0.00   12.87    0.00    0.00   33.66    0.00    0.00    0.00   44.55
20시 15분 22초    4    7.92    0.00   13.86    0.00    0.00   22.77    0.00    0.00    0.00   55.45
20시 15분 22초    5    6.93    0.00   11.88    0.00    0.00   30.69    0.00    0.00    0.00   50.50
20시 15분 22초    6   15.69    0.00   22.55    0.00    0.00   32.35    0.00    0.00    0.00   29.41
20시 15분 22초    7    3.12    0.00    6.25    0.00    0.00   21.88    0.00    0.00    0.00   68.75
20시 15분 22초    8    5.15    0.00    2.06    0.00    0.00    5.15    0.00    0.00    0.00   87.63
20시 15분 22초    9    8.16    0.00    9.18    0.00    0.00   26.53    0.00    0.00    0.00   56.12

20시 15분 22초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 23초  all    6.04    0.00   11.68    0.00    0.00   28.61    0.00    0.00    0.00   53.66
20시 15분 23초    0   10.10    0.00   27.27    0.00    0.00   60.61    0.00    0.00    0.00    2.02
20시 15분 23초    1    7.84    0.00   30.39    0.00    0.00   59.80    0.00    0.00    0.00    1.96
20시 15분 23초    2    1.69    0.00    1.69    0.00    0.00   16.95    0.00    0.00    0.00   79.66
20시 15분 23초    3    5.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   91.00
20시 15분 23초    4    8.08    0.00    8.08    0.00    0.00   18.18    0.00    0.00    0.00   65.66
20시 15분 23초    5    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
20시 15분 23초    6    9.00    0.00   10.00    0.00    0.00   27.00    0.00    0.00    0.00   54.00
20시 15분 23초    7    3.33    0.00    2.22    0.00    0.00   21.11    0.00    0.00    0.00   73.33
20시 15분 23초    8    5.00    0.00   13.00    0.00    0.00   31.00    0.00    0.00    0.00   51.00
20시 15분 23초    9    9.80    0.00   20.59    0.00    0.00   49.02    0.00    0.00    0.00   20.59

20시 15분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 24초  all    5.69    0.00   10.69    0.00    0.00   29.27    0.00    0.00    0.00   54.35
20시 15분 24초    0    6.73    0.00   13.46    0.00    0.00   44.23    0.00    0.00    0.00   35.58
20시 15분 24초    1   11.00    0.00   20.00    0.00    0.00   56.00    0.00    0.00    0.00   13.00
20시 15분 24초    2    6.42    0.00   11.01    0.00    0.00   25.69    0.00    0.00    0.00   56.88
20시 15분 24초    3    2.04    0.00    2.04    0.00    0.00    5.10    0.00    0.00    0.00   90.82
20시 15분 24초    4    4.04    0.00   13.13    0.00    0.00   23.23    0.00    0.00    0.00   59.60
20시 15분 24초    5    4.95    0.00   15.84    0.00    0.00   40.59    0.00    0.00    0.00   38.61
20시 15분 24초    6   11.11    0.00   15.15    0.00    0.00   50.51    0.00    0.00    0.00   23.23
20시 15분 24초    7    3.16    0.00    8.42    0.00    0.00   34.74    0.00    0.00    0.00   53.68
20시 15분 24초    8    2.02    0.00    3.03    0.00    0.00   11.11    0.00    0.00    0.00   83.84
20시 15분 24초    9    3.09    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   91.75

20시 15분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 15분 25초  all    5.94    0.00   11.78    0.00    0.00   26.73    0.00    0.00    0.00   55.54
20시 15분 25초    0    7.92    0.00   15.84    0.00    0.00   30.69    0.00    0.00    0.00   45.54
20시 15분 25초    1    3.96    0.00   18.81    0.00    0.00   40.59    0.00    0.00    0.00   36.63
20시 15분 25초    2    1.92    0.00    1.92    0.00    0.00    5.77    0.00    0.00    0.00   90.38
20시 15분 25초    3    2.94    0.00    1.96    0.00    0.00    4.90    0.00    0.00    0.00   90.20
20시 15분 25초    4   10.00    0.00   26.00    0.00    0.00   64.00    0.00    0.00    0.00    0.00
20시 15분 25초    5   13.00    0.00   18.00    0.00    0.00   50.00    0.00    0.00    0.00   19.00
20시 15분 25초    6    5.00    0.00    5.00    0.00    0.00    8.00    0.00    0.00    0.00   82.00
20시 15분 25초    7    7.92    0.00   21.78    0.00    0.00   55.45    0.00    0.00    0.00   14.85
20시 15분 25초    8    3.96    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   93.07
20시 15분 25초    9    3.06    0.00    6.12    0.00    0.00    6.12    0.00    0.00    0.00   84.69

