Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

18시 16분 32초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 33초  all   17.04    0.00   29.06    0.00    0.00    5.63    0.00    0.00    0.00   48.28
18시 16분 33초    0   14.56    0.00   29.13    0.00    0.00    7.77    0.00    0.00    0.00   48.54
18시 16분 33초    1   21.43    0.00   26.53    0.00    0.00    1.02    0.00    0.00    0.00   51.02
18시 16분 33초    2   17.82    0.00   30.69    0.00    0.00    2.97    0.00    0.00    0.00   48.51
18시 16분 33초    3   13.86    0.00   29.70    0.00    0.00    4.95    0.00    0.00    0.00   51.49
18시 16분 33초    4   21.21    0.00   29.29    0.00    0.00    2.02    0.00    0.00    0.00   47.47
18시 16분 33초    5   21.00    0.00   32.00    0.00    0.00    2.00    0.00    0.00    0.00   45.00
18시 16분 33초    6   13.27    0.00   34.69    0.00    0.00    1.02    0.00    0.00    0.00   51.02
18시 16분 33초    7   14.14    0.00   21.21    0.00    0.00    4.04    0.00    0.00    0.00   60.61
18시 16분 33초    8   12.87    0.00   33.66    0.00    0.00    5.94    0.00    0.00    0.00   47.52
18시 16분 33초    9   21.78    0.00   28.71    0.00    0.00    3.96    0.00    0.00    0.00   45.54
18시 16분 33초   10   24.49    0.00   35.71    0.00    0.00    2.04    0.00    0.00    0.00   37.76
18시 16분 33초   11   28.12    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   45.83
18시 16분 33초   12   15.05    0.00   33.33    0.00    0.00    1.08    0.00    0.00    0.00   50.54
18시 16분 33초   13   19.19    0.00   30.30    0.00    0.00    3.03    0.00    0.00    0.00   47.47
18시 16분 33초   14   16.16    0.00   31.31    0.00    0.00    0.00    0.00    0.00    0.00   52.53
18시 16분 33초   15   11.46    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   55.21
18시 16분 33초   16   16.84    0.00   26.32    0.00    0.00    1.05    0.00    0.00    0.00   55.79
18시 16분 33초   17   10.10    0.00    9.09    0.00    0.00   65.66    0.00    0.00    0.00   15.15
18시 16분 33초   18   15.00    0.00   33.00    0.00    0.00    3.00    0.00    0.00    0.00   49.00
18시 16분 33초   19   16.33    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   58.16

18시 16분 33초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 34초  all   14.41    0.00   19.34    0.00    0.00    8.18    0.00    0.00    0.00   58.08
18시 16분 34초    0    6.36    0.00   17.27    0.00    0.00   18.18    0.00    0.00    0.00   58.18
18시 16분 34초    1    8.49    0.00   23.58    0.00    0.00    5.66    0.00    0.00    0.00   62.26
18시 16분 34초    2   14.43    0.00   18.56    0.00    0.00    2.06    0.00    0.00    0.00   64.95
18시 16분 34초    3   10.20    0.00   19.39    0.00    0.00    4.08    0.00    0.00    0.00   66.33
18시 16분 34초    4    9.80    0.00   20.59    0.00    0.00    4.90    0.00    0.00    0.00   64.71
18시 16분 34초    5    9.18    0.00   20.41    0.00    0.00    3.06    0.00    0.00    0.00   67.35
18시 16분 34초    6   11.00    0.00   23.00    0.00    0.00    1.00    0.00    0.00    0.00   65.00
18시 16분 34초    7    6.00    0.00   19.00    0.00    0.00    3.00    0.00    0.00    0.00   72.00
18시 16분 34초    8   10.42    0.00   17.71    0.00    0.00    5.21    0.00    0.00    0.00   66.67
18시 16분 34초    9   16.49    0.00   22.68    0.00    0.00    2.06    0.00    0.00    0.00   58.76
18시 16분 34초   10   20.20    0.00   20.20    0.00    0.00    2.02    0.00    0.00    0.00   57.58
18시 16분 34초   11   19.80    0.00   23.76    0.00    0.00    0.99    0.00    0.00    0.00   55.45
18시 16분 34초   12   12.50    0.00   18.75    0.00    0.00    2.08    0.00    0.00    0.00   66.67
18시 16분 34초   13   29.41    0.00   22.55    0.00    0.00    0.98    0.00    0.00    0.00   47.06
18시 16분 34초   14   21.78    0.00   19.80    0.00    0.00    0.00    0.00    0.00    0.00   58.42
18시 16분 34초   15   19.80    0.00   22.77    0.00    0.00    0.00    0.00    0.00    0.00   57.43
