Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

18시 16분 32초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18시 17분 02초  1000     12793         -   75.61  100.00    0.00    0.00  100.00     2  memaslap
18시 17분 02초  1000         -     12808    4.79   25.22    0.00    2.89   30.01     6  |__memaslap
18시 17분 02초  1000         -     12809    4.45   25.72    0.00    2.59   30.18    13  |__memaslap
18시 17분 02초  1000         -     12810    4.69   25.29    0.00    2.82   29.98     4  |__memaslap
18시 17분 02초  1000         -     12811    4.52   25.56    0.00    2.69   30.08    16  |__memaslap
18시 17분 02초  1000         -     12812    4.52   25.62    0.00    2.79   30.14    10  |__memaslap
18시 17분 02초  1000         -     12813    4.85   25.29    0.00    2.76   30.14    19  |__memaslap
18시 17분 02초  1000         -     12814    4.65   25.42    0.00    2.66   30.08     0  |__memaslap
18시 17분 02초  1000         -     12815    4.89   25.32    0.00    2.59   30.21    12  |__memaslap
18시 17분 02초  1000         -     12816    5.25   24.99    0.00    2.63   30.24    14  |__memaslap
18시 17분 02초  1000         -     12817    4.72   25.46    0.00    2.76   30.18     2  |__memaslap
18시 17분 02초  1000         -     12818    4.69   25.42    0.00    2.73   30.11    11  |__memaslap
18시 17분 02초  1000         -     12819    4.45   25.52    0.00    2.66   29.98     7  |__memaslap
18시 17분 02초  1000         -     12820    4.49   25.66    0.00    2.66   30.14     9  |__memaslap
18시 17분 02초  1000         -     12821    4.79   25.26    0.00    2.59   30.04     3  |__memaslap
18시 17분 02초  1000         -     12822    5.12   24.79    0.00    2.82   29.91     6  |__memaslap
18시 17분 02초  1000         -     12823    4.75   25.59    0.00    2.73   30.34    18  |__memaslap

18시 17분 02초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18시 17분 32초  1000     12793         -   73.60  100.00    0.00    0.00  100.00    14  memaslap
18시 17분 32초  1000         -     12808    4.60   24.80    0.00    2.63   29.40    18  |__memaslap
18시 17분 32초  1000         -     12809    4.37   25.03    0.00    2.73   29.40    17  |__memaslap
18시 17분 32초  1000         -     12810    4.50   24.97    0.00    2.70   29.47     6  |__memaslap
18시 17분 32초  1000         -     12811    4.37   24.90    0.00    2.73   29.27    14  |__memaslap
18시 17분 32초  1000         -     12812    5.03   24.47    0.00    2.60   29.50    19  |__memaslap
18시 17분 32초  1000         -     12813    4.57   25.17    0.00    2.60   29.73    15  |__memaslap
18시 17분 32초  1000         -     12814    4.60   24.77    0.00    2.73   29.37     0  |__memaslap
18시 17분 32초  1000         -     12815    4.47   25.13    0.00    2.37   29.60     9  |__memaslap
18시 17분 32초  1000         -     12816    4.37   24.97    0.00    2.67   29.33     4  |__memaslap
18시 17분 32초  1000         -     12817    4.83   24.63    0.00    2.73   29.47     5  |__memaslap
18시 17분 32초  1000         -     12818    4.53   24.57    0.00    2.63   29.10    11  |__memaslap
18시 17분 32초  1000         -     12819    4.53   24.73    0.00    2.70   29.27    10  |__memaslap
18시 17분 32초  1000         -     12820    4.77   24.43    0.00    2.80   29.20    16  |__memaslap
18시 17분 32초  1000         -     12821    4.87   24.60    0.00    2.60   29.47     3  |__memaslap
18시 17분 32초  1000         -     12822    4.57   24.93    0.00    2.67   29.50     9  |__memaslap
18시 17분 32초  1000         -     12823    4.67   24.83    0.00    2.63   29.50    13  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     12793         -   74.60  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     12808    4.69   25.01    0.00    2.76   29.71     -  |__memaslap
Average:     1000         -     12809    4.41   25.38    0.00    2.66   29.79     -  |__memaslap
Average:     1000         -     12810    4.59   25.13    0.00    2.76   29.72     -  |__memaslap
Average:     1000         -     12811    4.44   25.23    0.00    2.71   29.67     -  |__memaslap
Average:     1000         -     12812    4.78   25.05    0.00    2.70   29.82     -  |__memaslap
Average:     1000         -     12813    4.71   25.23    0.00    2.68   29.94     -  |__memaslap
Average:     1000         -     12814    4.63   25.10    0.00    2.70   29.72     -  |__memaslap
Average:     1000         -     12815    4.68   25.23    0.00    2.48   29.91     -  |__memaslap
Average:     1000         -     12816    4.81   24.98    0.00    2.65   29.79     -  |__memaslap
Average:     1000         -     12817    4.78   25.05    0.00    2.75   29.82     -  |__memaslap
Average:     1000         -     12818    4.61   25.00    0.00    2.68   29.61     -  |__memaslap
Average:     1000         -     12819    4.49   25.13    0.00    2.68   29.62     -  |__memaslap
Average:     1000         -     12820    4.63   25.05    0.00    2.73   29.67     -  |__memaslap
Average:     1000         -     12821    4.83   24.93    0.00    2.60   29.76     -  |__memaslap
Average:     1000         -     12822    4.84   24.86    0.00    2.75   29.71     -  |__memaslap
Average:     1000         -     12823    4.71   25.21    0.00    2.68   29.92     -  |__memaslap
