Linux 5.4.0-72-generic (kesServer) 	2021년 04월 28일 	_x86_64_	(20 CPU)

14시 58분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14시 58분 01초  all   19.59    0.00   33.93    0.32    0.00    7.47    0.00    0.00    0.00   38.69
14시 58분 01초    0   12.09    0.00   35.16    0.00    0.00    8.79    0.00    0.00    0.00   43.96
14시 58분 01초    1   26.09    0.00   30.43    0.00    0.00    2.17    0.00    0.00    0.00   41.30
14시 58분 01초    2   16.48    0.00   32.97    0.00    0.00    7.69    0.00    0.00    0.00   42.86
14시 58분 01초    3   29.47    0.00   29.47    0.00    0.00    7.37    0.00    0.00    0.00   33.68
14시 58분 01초    4   13.04    0.00   34.78    1.09    0.00    8.70    0.00    0.00    0.00   42.39
14시 58분 01초    5   17.20    0.00   35.48    0.00    0.00    8.60    0.00    0.00    0.00   38.71
14시 58분 01초    6   12.22    0.00   41.11    0.00    0.00    6.67    0.00    0.00    0.00   40.00
14시 58분 01초    7   21.88    0.00   32.29    0.00    0.00    8.33    0.00    0.00    0.00   37.50
14시 58분 01초    8   25.56    0.00   32.22    1.11    0.00   10.00    0.00    0.00    0.00   31.11
14시 58분 01초    9   19.15    0.00   36.17    0.00    0.00    7.45    0.00    0.00    0.00   37.23
14시 58분 01초   10   16.30    0.00   35.87    0.00    0.00    6.52    0.00    0.00    0.00   41.30
14시 58분 01초   11   19.78    0.00   29.67    0.00    0.00    4.40    0.00    0.00    0.00   46.15
14시 58분 01초   12   25.74    0.00   34.65    0.00    0.00    8.91    0.00    0.00    0.00   30.69
14시 58분 01초   13   10.23    0.00   36.36    0.00    0.00    7.95    0.00    0.00    0.00   45.45
14시 58분 01초   14   16.30    0.00   34.78    1.09    0.00    8.70    0.00    0.00    0.00   39.13
14시 58분 01초   15   25.56    0.00   42.22    1.11    0.00    4.44    0.00    0.00    0.00   26.67
14시 58분 01초   16   21.74    0.00   32.61    0.00    0.00    7.61    0.00    0.00    0.00   38.04
14시 58분 01초   17   28.12    0.00   26.04    0.00    0.00    7.29    0.00    0.00    0.00   38.54
14시 58분 01초   18   17.58    0.00   32.97    0.00    0.00    8.79    0.00    0.00    0.00   40.66
14시 58분 01초   19   14.89    0.00   34.04    1.06    0.00    8.51    0.00    0.00    0.00   41.49

14시 58분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14시 58분 02초  all   14.23    0.00   22.57    0.00    0.00   19.57    0.00    0.00    0.00   43.62
14시 58분 02초    0   18.18    0.00   21.21    0.00    0.00   19.19    0.00    0.00    0.00   41.41
14시 58분 02초    1   11.88    0.00   24.75    0.00    0.00   18.81    0.00    0.00    0.00   44.55
14시 58분 02초    2   11.34    0.00   24.74    0.00    0.00   18.56    0.00    0.00    0.00   45.36
14시 58분 02초    3    7.53    0.00   21.51    0.00    0.00   19.35    0.00    0.00    0.00   51.61
14시 58분 02초    4   19.39    0.00   24.49    0.00    0.00   18.37    0.00    0.00    0.00   37.76
14시 58분 02초    5   18.95    0.00   16.84    0.00    0.00   17.89    0.00    0.00    0.00   46.32
14시 58분 02초    6   12.22    0.00   18.89    0.00    0.00   21.11    0.00    0.00    0.00   47.78
14시 58분 02초    7    9.57    0.00   24.47    0.00    0.00   17.02    0.00    0.00    0.00   48.94
14시 58분 02초    8    4.59    0.00   21.10    0.00    0.00   44.95    0.00    0.00    0.00   29.36
14시 58분 02초    9   13.00    0.00   24.00    0.00    0.00   20.00    0.00    0.00    0.00   43.00
