Linux 5.4.0-72-generic (kesServer) 	2021년 04월 28일 	_x86_64_	(20 CPU)

14시 58분 00초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 58분 30초  1000     22494         -   98.21  100.00    0.00    0.00  100.00     8  memaslap
14시 58분 30초  1000         -     22509    6.51   38.45    0.00    3.22   44.95    10  |__memaslap
14시 58분 30초  1000         -     22510    6.24   37.88    0.00    3.32   44.12    12  |__memaslap
14시 58분 30초  1000         -     22511    6.57   38.21    0.00    3.22   44.79    15  |__memaslap
14시 58분 30초  1000         -     22512    6.34   37.85    0.00    3.19   44.19     7  |__memaslap
14시 58분 30초  1000         -     22513    5.71   39.21    0.00    3.25   44.92    11  |__memaslap
14시 58분 30초  1000         -     22514    5.51   38.71    0.00    3.19   44.22     0  |__memaslap
14시 58분 30초  1000         -     22515    6.41   38.81    0.00    3.39   45.22     8  |__memaslap
14시 58분 30초  1000         -     22516    5.51   38.01    0.00    3.45   43.53     5  |__memaslap
14시 58분 30초  1000         -     22517    6.27   39.51    0.00    3.15   45.78    17  |__memaslap
14시 58분 30초  1000         -     22518    6.01   37.98    0.00    3.88   43.99    13  |__memaslap
14시 58분 30초  1000         -     22519    5.91   39.14    0.00    3.19   45.05    16  |__memaslap
14시 58분 30초  1000         -     22520    5.94   38.68    0.00    3.25   44.62     3  |__memaslap
14시 58분 30초  1000         -     22521    6.41   38.91    0.00    3.42   45.32    19  |__memaslap
14시 58분 30초  1000         -     22522    6.41   38.08    0.00    3.22   44.49     2  |__memaslap
14시 58분 30초  1000         -     22523    6.44   39.11    0.00    3.02   45.55     1  |__memaslap
14시 58분 30초  1000         -     22524    5.94   38.08    0.00    3.39   44.02     9  |__memaslap

14시 58분 30초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 59분 00초  1000     22494         -   96.17  100.00    0.00    0.00  100.00    10  memaslap
14시 59분 00초  1000         -     22509    5.67   39.43    0.00    3.27   45.10     3  |__memaslap
14시 59분 00초  1000         -     22510    5.93   37.53    0.00    3.53   43.47    16  |__memaslap
14시 59분 00초  1000         -     22511    5.97   38.17    0.00    3.30   44.13    18  |__memaslap
14시 59분 00초  1000         -     22512    5.73   38.33    0.00    3.50   44.07     1  |__memaslap
14시 59분 00초  1000         -     22513    5.83   38.40    0.00    3.40   44.23    19  |__memaslap
14시 59분 00초  1000         -     22514    6.17   38.40    0.00    3.40   44.57    17  |__memaslap
14시 59분 00초  1000         -     22515    5.90   39.17    0.00    3.33   45.07    13  |__memaslap
14시 59분 00초  1000         -     22516    6.30   38.10    0.00    3.57   44.40     7  |__memaslap
14시 59분 00초  1000         -     22517    6.00   38.70    0.00    3.20   44.70    14  |__memaslap
14시 59분 00초  1000         -     22518    6.37   38.33    0.00    3.70   44.70    12  |__memaslap
14시 59분 00초  1000         -     22519    6.00   38.77    0.00    3.33   44.77     2  |__memaslap
14시 59분 00초  1000         -     22520    6.10   38.33    0.00    3.30   44.43     8  |__memaslap
14시 59분 00초  1000         -     22521    6.53   38.30    0.00    3.43   44.83    11  |__memaslap
14시 59분 00초  1000         -     22522    6.13   38.17    0.00    3.20   44.30     9  |__memaslap
14시 59분 00초  1000         -     22523    5.57   38.30    0.00    3.37   43.87    11  |__memaslap
14시 59분 00초  1000         -     22524    6.07   38.23    0.00    3.37   44.30    15  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     22494         -   97.19  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     22509    6.09   38.94    0.00    3.24   45.03     -  |__memaslap
Average:     1000         -     22510    6.09   37.71    0.00    3.43   43.80     -  |__memaslap
Average:     1000         -     22511    6.27   38.19    0.00    3.26   44.46     -  |__memaslap
Average:     1000         -     22512    6.04   38.09    0.00    3.34   44.13     -  |__memaslap
Average:     1000         -     22513    5.77   38.81    0.00    3.33   44.58     -  |__memaslap
Average:     1000         -     22514    5.84   38.56    0.00    3.29   44.39     -  |__memaslap
Average:     1000         -     22515    6.15   38.99    0.00    3.36   45.14     -  |__memaslap
Average:     1000         -     22516    5.90   38.06    0.00    3.51   43.96     -  |__memaslap
Average:     1000         -     22517    6.14   39.11    0.00    3.18   45.24     -  |__memaslap
Average:     1000         -     22518    6.19   38.16    0.00    3.79   44.34     -  |__memaslap
Average:     1000         -     22519    5.95   38.96    0.00    3.26   44.91     -  |__memaslap
Average:     1000         -     22520    6.02   38.51    0.00    3.28   44.53     -  |__memaslap
Average:     1000         -     22521    6.47   38.61    0.00    3.43   45.08     -  |__memaslap
Average:     1000         -     22522    6.27   38.12    0.00    3.21   44.39     -  |__memaslap
Average:     1000         -     22523    6.00   38.71    0.00    3.19   44.71     -  |__memaslap
Average:     1000         -     22524    6.00   38.16    0.00    3.38   44.16     -  |__memaslap
