Linux 5.4.0-72-generic (server3) 	2021년 04월 27일 	_x86_64_	(10 CPU)

18시 16분 32초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 33초  all    5.71    0.00   10.51    0.00    0.00   23.32    0.00    0.00    0.00   60.46
18시 16분 33초    0    4.85    0.00    7.77    0.00    0.00   13.59    0.00    0.00    0.00   73.79
18시 16분 33초    1    8.16    0.00   22.45    0.00    0.00   20.41    0.00    0.00    0.00   48.98
18시 16분 33초    2    4.00    0.00    5.00    0.00    0.00   14.00    0.00    0.00    0.00   77.00
18시 16분 33초    3    4.04    0.00   10.10    0.00    0.00    8.08    0.00    0.00    0.00   77.78
18시 16분 33초    4    7.07    0.00    4.04    0.00    0.00   13.13    0.00    0.00    0.00   75.76
18시 16분 33초    5    6.00    0.00    7.00    0.00    0.00   22.00    0.00    0.00    0.00   65.00
18시 16분 33초    6    7.00    0.00    9.00    0.00    0.00   34.00    0.00    0.00    0.00   50.00
18시 16분 33초    7    5.00    0.00   12.00    0.00    0.00   26.00    0.00    0.00    0.00   57.00
18시 16분 33초    8    4.00    0.00   11.00    0.00    0.00   40.00    0.00    0.00    0.00   45.00
18시 16분 33초    9    6.19    0.00   17.53    0.00    0.00   41.24    0.00    0.00    0.00   35.05

18시 16분 33초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 34초  all    5.90    0.00    6.90    0.00    0.00   23.50    0.00    0.00    0.00   63.70
18시 16분 34초    0    6.73    0.00    7.69    0.00    0.00   22.12    0.00    0.00    0.00   63.46
18시 16분 34초    1    5.05    0.00    7.07    0.00    0.00   24.24    0.00    0.00    0.00   63.64
18시 16분 34초    2    8.25    0.00    4.12    0.00    0.00   20.62    0.00    0.00    0.00   67.01
18시 16분 34초    3    8.08    0.00    7.07    0.00    0.00   22.22    0.00    0.00    0.00   62.63
18시 16분 34초    4    5.71    0.00    8.57    0.00    0.00   21.90    0.00    0.00    0.00   63.81
18시 16분 34초    5    8.16    0.00   11.22    0.00    0.00   19.39    0.00    0.00    0.00   61.22
18시 16분 34초    6    5.21    0.00    6.25    0.00    0.00   25.00    0.00    0.00    0.00   63.54
18시 16분 34초    7    3.00    0.00    3.00    0.00    0.00   18.00    0.00    0.00    0.00   76.00
18시 16분 34초    8    7.00    0.00    9.00    0.00    0.00   40.00    0.00    0.00    0.00   44.00
18시 16분 34초    9    3.92    0.00    3.92    0.00    0.00   20.59    0.00    0.00    0.00   71.57

18시 16분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 35초  all    5.60    0.00    8.85    0.00    0.00   24.58    0.00    0.00    0.00   60.96
18시 16분 35초    0    6.48    0.00    5.56    0.00    0.00   23.15    0.00    0.00    0.00   64.81
18시 16분 35초    1    4.04    0.00    8.08    0.00    0.00   15.15    0.00    0.00    0.00   72.73
18시 16분 35초    2    5.88    0.00    8.82    0.00    0.00   21.57    0.00    0.00    0.00   63.73
18시 16분 35초    3    9.80    0.00    9.80    0.00    0.00   31.37    0.00    0.00    0.00   49.02
18시 16분 35초    4    2.88    0.00    4.81    0.00    0.00   13.46    0.00    0.00    0.00   78.85
18시 16분 35초    5    5.88    0.00    7.84    0.00    0.00   19.61    0.00    0.00    0.00   66.67
18시 16분 35초    6    5.94    0.00   13.86    0.00    0.00   28.71    0.00    0.00    0.00   51.49
18시 16분 35초    7    6.93    0.00    9.90    0.00    0.00   22.77    0.00    0.00    0.00   60.40
18시 16분 35초    8    5.00    0.00   14.00    0.00    0.00   47.00    0.00    0.00    0.00   34.00
18시 16분 35초    9    3.00    0.00    6.00    0.00    0.00   24.00    0.00    0.00    0.00   67.00

18시 16분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 36초  all    6.92    0.00    8.32    0.00    0.00   23.17    0.00    0.00    0.00   61.58
18시 16분 36초    0    1.96    0.00    6.86    0.00    0.00   12.75    0.00    0.00    0.00   78.43
18시 16분 36초    1    6.06    0.00   13.13    0.00    0.00   28.28    0.00    0.00    0.00   52.53
18시 16분 36초    2    5.94    0.00    6.93    0.00    0.00   15.84    0.00    0.00    0.00   71.29
18시 16분 36초    3   10.42    0.00    7.29    0.00    0.00   22.92    0.00    0.00    0.00   59.38
18시 16분 36초    4    5.94    0.00    5.94    0.00    0.00    8.91    0.00    0.00    0.00   79.21
18시 16분 36초    5    6.00    0.00    8.00    0.00    0.00   15.00    0.00    0.00    0.00   71.00
18시 16분 36초    6    8.16    0.00    6.12    0.00    0.00   24.49    0.00    0.00    0.00   61.22
18시 16분 36초    7    8.08    0.00   10.10    0.00    0.00   27.27    0.00    0.00    0.00   54.55
18시 16분 36초    8    7.00    0.00    6.00    0.00    0.00   33.00    0.00    0.00    0.00   54.00
18시 16분 36초    9   10.00    0.00   14.00    0.00    0.00   43.00    0.00    0.00    0.00   33.00

18시 16분 36초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 16분 37초  all    6.43    0.00    8.54    0.00    0.00   21.91    0.00    0.00    0.00   63.12
18시 16분 37초    0    4.85    0.00    5.83    0.00    0.00   14.56    0.00    0.00    0.00   74.76
18시 16분 37초    1    4.95    0.00    3.96    0.00    0.00   12.87    0.00    0.00    0.00   78.22
18시 16분 37초    2    7.22    0.00   16.49    0.00    0.00   41.24    0.00    0.00    0.00   35.05
18시 16분 37초    3    9.18    0.00   11.22    0.00    0.00   28.57    0.00    0.00    0.00   51.02
18시 16분 37초    4    8.08    0.00    7.07    0.00    0.00   18.18    0.00    0.00    0.00   66.67
18시 16분 37초    5   11.22    0.00   10.20    0.00    0.00   24.49    0.00    0.00    0.00   54.08
18시 16분 37초    6    5.00    0.00    9.00    0.00    0.00   21.00    0.00    0.00    0.00   65.00
18시 16분 37초    7    4.00    0.00    4.00    0.00    0.00    9.00    0.00    0.00    0.00   83.00
18시 16분 37초    8    3.03    0.00    6.06    0.00    0.00   29.29    0.00    0.00    0.00   61.62
18시 16분 37초    9    7.07    0.00   10.10    0.00    0.00   21.21    0.00    0.00    0.00   61.62

18시 16분 37초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
