Linux 5.4.0-72-generic (server3) 	2021년 04월 28일 	_x86_64_	(10 CPU)

14시 58분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14시 58분 01초  all    7.49    0.00   11.63    0.59    0.00   28.37    0.00    0.00    0.00   51.92
14시 58분 01초    0    4.63    0.00    4.63    0.00    0.00   23.15    0.00    0.00    0.00   67.59
14시 58분 01초    1    4.81    0.00    3.85    0.00    0.00   18.27    0.00    0.00    0.00   73.08
14시 58분 01초    2   10.20    0.00    5.10    0.00    0.00   27.55    0.00    0.00    0.00   57.14
14시 58분 01초    3   10.20    0.00   15.31    0.00    0.00   35.71    0.00    0.00    0.00   38.78
14시 58분 01초    4    9.00    0.00   25.00    5.00    0.00   10.00    0.00    0.00    0.00   51.00
14시 58분 01초    5    8.00    0.00   11.00    0.00    0.00   27.00    0.00    0.00    0.00   54.00
14시 58분 01초    6    9.80    0.00   17.65    0.00    0.00   46.08    0.00    0.00    0.00   26.47
14시 58분 01초    7    5.94    0.00    7.92    0.00    0.00   33.66    0.00    0.00    0.00   52.48
14시 58분 01초    8    5.71    0.00   11.43    0.95    0.00   28.57    0.00    0.00    0.00   53.33
14시 58분 01초    9    8.82    0.00   15.69    0.00    0.00   32.35    0.00    0.00    0.00   43.14

14시 58분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14시 58분 02초  all    5.54    0.00    8.01    0.00    0.00   29.97    0.00    0.00    0.00   56.48
14시 58분 02초    0    4.81    0.00    6.73    0.00    0.00   32.69    0.00    0.00    0.00   55.77
14시 58분 02초    1    4.00    0.00    9.00    0.00    0.00   32.00    0.00    0.00    0.00   55.00
14시 58분 02초    2    4.95    0.00    6.93    0.00    0.00   17.82    0.00    0.00    0.00   70.30
14시 58분 02초    3    7.92    0.00    9.90    0.00    0.00   41.58    0.00    0.00    0.00   40.59
14시 58분 02초    4    6.00    0.00   15.00    0.00    0.00   33.00    0.00    0.00    0.00   46.00
14시 58분 02초    5    3.96    0.00    6.93    0.00    0.00   21.78    0.00    0.00    0.00   67.33
14시 58분 02초    6    6.00    0.00    5.00    0.00    0.00   25.00    0.00    0.00    0.00   64.00
14시 58분 02초    7    5.77    0.00    6.73    0.00    0.00   47.12    0.00    0.00    0.00   40.38
14시 58분 02초    8    4.00    0.00    8.00    0.00    0.00   25.00    0.00    0.00    0.00   63.00
14시 58분 02초    9    7.07    0.00    6.06    0.00    0.00   23.23    0.00    0.00    0.00   63.64

14시 58분 02초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14시 58분 03초  all    8.02    0.00    9.50    0.10    0.00   26.34    0.00    0.00    0.00   56.04
14시 58분 03초    0    1.87    0.00    2.80    0.00    0.00   15.89    0.00    0.00    0.00   79.44
14시 58분 03초    1    8.91    0.00    9.90    0.00    0.00   31.68    0.00    0.00    0.00   49.50
14시 58분 03초    2   10.89    0.00   10.89    0.00    0.00   45.54    0.00    0.00    0.00   32.67
14시 58분 03초    3   10.89    0.00   13.86    0.00    0.00   21.78    0.00    0.00    0.00   53.47
14시 58분 03초    4    4.00    0.00   11.00    0.00    0.00   18.00    0.00    0.00    0.00   67.00
14시 58분 03초    5    9.90    0.00   11.88    0.00    0.00   14.85    0.00    0.00    0.00   63.37
14시 58분 03초    6    4.04    0.00    3.03    1.01    0.00    8.08    0.00    0.00    0.00   83.84
14시 58분 03초    7    8.82    0.00   10.78    0.00    0.00   36.27    0.00    0.00    0.00   44.12
14시 58분 03초    8   10.00    0.00   11.00    0.00    0.00   36.00    0.00    0.00    0.00   43.00
14시 58분 03초    9   12.00    0.00   10.00    0.00    0.00   37.00    0.00    0.00    0.00   41.00

