Linux 5.4.0-72-generic (kesServer) 	2021년 05월 06일 	_x86_64_	(20 CPU)

16시 10분 16초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 17초  all   12.97    0.00   29.87    0.00    0.00    5.90    0.00    0.00    0.00   51.26
16시 10분 17초    0   13.89    0.00   28.70    0.00    0.00    8.33    0.00    0.00    0.00   49.07
16시 10분 17초    1   10.00    0.00   33.00    0.00    0.00    5.00    0.00    0.00    0.00   52.00
16시 10분 17초    2   14.85    0.00   32.67    0.00    0.00    2.97    0.00    0.00    0.00   49.50
16시 10분 17초    3    8.65    0.00   21.15    0.00    0.00    4.81    0.00    0.00    0.00   65.38
16시 10분 17초    4   14.43    0.00   32.99    0.00    0.00    1.03    0.00    0.00    0.00   51.55
16시 10분 17초    5   15.62    0.00   18.75    0.00    0.00    3.12    0.00    0.00    0.00   62.50
16시 10분 17초    6   11.58    0.00   28.42    0.00    0.00    1.05    0.00    0.00    0.00   58.95
16시 10분 17초    7   18.81    0.00   26.73    0.00    0.00    1.98    0.00    0.00    0.00   52.48
16시 10분 17초    8   13.54    0.00   33.33    0.00    0.00    3.12    0.00    0.00    0.00   50.00
16시 10분 17초    9   16.49    0.00   24.74    0.00    0.00    4.12    0.00    0.00    0.00   54.64
16시 10분 17초   10   14.56    0.00   34.95    0.00    0.00    0.97    0.00    0.00    0.00   49.51
16시 10분 17초   11    8.82    0.00   35.29    0.00    0.00    4.90    0.00    0.00    0.00   50.98
16시 10분 17초   12   10.20    0.00   35.71    0.00    0.00    0.00    0.00    0.00    0.00   54.08
16시 10분 17초   13   14.43    0.00   29.90    0.00    0.00    1.03    0.00    0.00    0.00   54.64
16시 10분 17초   14   15.84    0.00   29.70    0.00    0.00    3.96    0.00    0.00    0.00   50.50
16시 10분 17초   15   14.29    0.00   32.65    0.00    0.00    3.06    0.00    0.00    0.00   50.00
16시 10분 17초   16    2.02    0.00   14.14    0.00    0.00   68.69    0.00    0.00    0.00   15.15
16시 10분 17초   17   13.00    0.00   34.00    0.00    0.00    0.00    0.00    0.00    0.00   53.00
16시 10분 17초   18   10.75    0.00   37.63    0.00    0.00    0.00    0.00    0.00    0.00   51.61
16시 10분 17초   19   16.33    0.00   33.67    0.00    0.00    0.00    0.00    0.00    0.00   50.00

16시 10분 17초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 18초  all    6.92    0.00   18.86    0.00    0.00    8.30    0.00    0.00    0.00   65.91
16시 10분 18초    0    7.92    0.00   20.79    0.00    0.00    4.95    0.00    0.00    0.00   66.34
16시 10분 18초    1    8.82    0.00   17.65    0.00    0.00    6.86    0.00    0.00    0.00   66.67
16시 10분 18초    2    6.25    0.00   20.83    0.00    0.00    6.25    0.00    0.00    0.00   66.67
16시 10분 18초    3    6.93    0.00   19.80    0.00    0.00    6.93    0.00    0.00    0.00   66.34
16시 10분 18초    4    7.07    0.00   17.17    0.00    0.00    3.03    0.00    0.00    0.00   72.73
16시 10분 18초    5    7.37    0.00   24.21    0.00    0.00    1.05    0.00    0.00    0.00   67.37
16시 10분 18초    6    4.04    0.00   22.22    0.00    0.00    3.03    0.00    0.00    0.00   70.71
16시 10분 18초    7    6.12    0.00   16.33    0.00    0.00    4.08    0.00    0.00    0.00   73.47
16시 10분 18초    8    6.45    0.00   19.35    0.00    0.00    3.23    0.00    0.00    0.00   70.97
