Linux 5.4.0-72-generic (kesServer) 	2021년 05월 06일 	_x86_64_	(20 CPU)

16시 10분 16초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16시 10분 46초  1000     25198         -  100.00  100.00    0.00    0.00  100.00    17  memaslap
16시 10분 46초  1000         -     25219    8.47   27.44    0.00    0.13   35.91    18  |__memaslap
16시 10분 46초  1000         -     25220    7.41   28.57    0.00    0.17   35.98     1  |__memaslap
16시 10분 46초  1000         -     25221    8.34   27.48    0.00    0.17   35.81    10  |__memaslap
16시 10분 46초  1000         -     25222    8.41   27.77    0.00    0.10   36.18     0  |__memaslap
16시 10분 46초  1000         -     25223    7.61   28.41    0.00    0.13   36.01    14  |__memaslap
16시 10분 46초  1000         -     25224    8.17   27.81    0.00    0.13   35.98     2  |__memaslap
16시 10분 46초  1000         -     25225    8.21   27.74    0.00    0.10   35.95     7  |__memaslap
16시 10분 46초  1000         -     25226    7.74   28.57    0.00    0.20   36.31     4  |__memaslap
16시 10분 46초  1000         -     25227    8.84   27.67    0.00    0.13   36.51     8  |__memaslap
16시 10분 46초  1000         -     25228    8.11   27.94    0.00    0.17   36.05    13  |__memaslap
16시 10분 46초  1000         -     25229    8.17   27.18    0.00    0.17   35.35    12  |__memaslap
16시 10분 46초  1000         -     25230    8.70   27.57    0.00    0.13   36.28    16  |__memaslap
16시 10분 46초  1000         -     25231    8.17   27.61    0.00    0.20   35.78     3  |__memaslap
16시 10분 46초  1000         -     25232    8.04   28.14    0.00    0.13   36.18    15  |__memaslap
16시 10분 46초  1000         -     25233    8.41   27.61    0.00    0.13   36.01    17  |__memaslap
16시 10분 46초  1000         -     25234    7.24   28.97    0.00    0.20   36.21     6  |__memaslap

16시 10분 46초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16시 11분 16초  1000     25198         -  100.00  100.00    0.00    0.00  100.00    10  memaslap
16시 11분 16초  1000         -     25219    8.23   27.53    0.00    0.10   35.77     2  |__memaslap
16시 11분 16초  1000         -     25220    7.80   27.80    0.00    0.13   35.60    12  |__memaslap
16시 11분 16초  1000         -     25221    7.70   28.23    0.00    0.10   35.93     4  |__memaslap
16시 11분 16초  1000         -     25222    7.57   27.70    0.00    0.10   35.27     1  |__memaslap
16시 11분 16초  1000         -     25223    7.70   28.07    0.00    0.10   35.77    15  |__memaslap
16시 11분 16초  1000         -     25224    8.17   27.13    0.00    0.10   35.30     6  |__memaslap
16시 11분 16초  1000         -     25225    8.17   27.87    0.00    0.13   36.03    16  |__memaslap
16시 11분 16초  1000         -     25226    8.17   27.30    0.00    0.13   35.47     5  |__memaslap
16시 11분 16초  1000         -     25227    8.13   27.67    0.00    0.13   35.80    10  |__memaslap
16시 11분 16초  1000         -     25228    8.47   26.93    0.00    0.13   35.40    18  |__memaslap
16시 11분 16초  1000         -     25229    8.10   27.90    0.00    0.13   36.00    11  |__memaslap
16시 11분 16초  1000         -     25230    7.83   27.90    0.00    0.13   35.73    13  |__memaslap
16시 11분 16초  1000         -     25231    8.40   27.40    0.00    0.07   35.80     3  |__memaslap
16시 11분 16초  1000         -     25232    7.83   27.37    0.00    0.10   35.20     0  |__memaslap
16시 11분 16초  1000         -     25233    8.40   27.60    0.00    0.10   36.00     7  |__memaslap
16시 11분 16초  1000         -     25234    7.50   28.17    0.00    0.13   35.67     8  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     25198         -  100.00  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     25219    8.35   27.49    0.00    0.12   35.84     -  |__memaslap
Average:     1000         -     25220    7.60   28.19    0.00    0.15   35.79     -  |__memaslap
Average:     1000         -     25221    8.02   27.85    0.00    0.13   35.87     -  |__memaslap
Average:     1000         -     25222    7.99   27.74    0.00    0.10   35.72     -  |__memaslap
Average:     1000         -     25223    7.65   28.24    0.00    0.12   35.89     -  |__memaslap
Average:     1000         -     25224    8.17   27.47    0.00    0.12   35.64     -  |__memaslap
Average:     1000         -     25225    8.19   27.80    0.00    0.12   35.99     -  |__memaslap
Average:     1000         -     25226    7.95   27.94    0.00    0.17   35.89     -  |__memaslap
Average:     1000         -     25227    8.49   27.67    0.00    0.13   36.16     -  |__memaslap
Average:     1000         -     25228    8.29   27.44    0.00    0.15   35.72     -  |__memaslap
Average:     1000         -     25229    8.14   27.54    0.00    0.15   35.67     -  |__memaslap
Average:     1000         -     25230    8.27   27.74    0.00    0.13   36.01     -  |__memaslap
Average:     1000         -     25231    8.29   27.50    0.00    0.13   35.79     -  |__memaslap
Average:     1000         -     25232    7.94   27.75    0.00    0.12   35.69     -  |__memaslap
Average:     1000         -     25233    8.40   27.60    0.00    0.12   36.01     -  |__memaslap
Average:     1000         -     25234    7.37   28.57    0.00    0.17   35.94     -  |__memaslap
