Linux 5.4.0-72-generic (server3) 	2021년 05월 06일 	_x86_64_	(10 CPU)

16시 10분 16초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 17초  all    6.22    0.00   12.74    0.00    0.00   27.98    0.00    0.00    0.00   53.06
16시 10분 17초    0    7.92    0.00   15.84    0.00    0.00    6.93    0.00    0.00    0.00   69.31
16시 10분 17초    1    5.15    0.00   11.34    0.00    0.00   26.80    0.00    0.00    0.00   56.70
16시 10분 17초    2    4.90    0.00   14.71    0.00    0.00   22.55    0.00    0.00    0.00   57.84
16시 10분 17초    3    5.15    0.00   14.43    0.00    0.00   38.14    0.00    0.00    0.00   42.27
16시 10분 17초    4    8.08    0.00   18.18    0.00    0.00   42.42    0.00    0.00    0.00   31.31
16시 10분 17초    5    8.82    0.00   15.69    0.00    0.00   34.31    0.00    0.00    0.00   41.18
16시 10분 17초    6    7.07    0.00   13.13    0.00    0.00   19.19    0.00    0.00    0.00   60.61
16시 10분 17초    7    4.04    0.00    7.07    0.00    0.00   42.42    0.00    0.00    0.00   46.46
16시 10분 17초    8    4.08    0.00    5.10    0.00    0.00   17.35    0.00    0.00    0.00   73.47
16시 10분 17초    9    7.07    0.00   10.10    0.00    0.00   29.29    0.00    0.00    0.00   53.54

16시 10분 17초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 18초  all    5.00    0.00    9.10    0.00    0.00   28.70    0.00    0.00    0.00   57.20
16시 10분 18초    0    4.63    0.00    5.56    0.00    0.00   25.93    0.00    0.00    0.00   63.89
16시 10분 18초    1    6.86    0.00    9.80    0.00    0.00   18.63    0.00    0.00    0.00   64.71
16시 10분 18초    2    3.00    0.00    8.00    0.00    0.00   18.00    0.00    0.00    0.00   71.00
16시 10분 18초    3    3.03    0.00    8.08    0.00    0.00   15.15    0.00    0.00    0.00   73.74
16시 10분 18초    4    5.00    0.00    5.00    0.00    0.00   11.00    0.00    0.00    0.00   79.00
16시 10분 18초    5    1.02    0.00    2.04    0.00    0.00    3.06    0.00    0.00    0.00   93.88
16시 10분 18초    6    8.00    0.00   18.00    0.00    0.00   60.00    0.00    0.00    0.00   14.00
16시 10분 18초    7    4.08    0.00    3.06    0.00    0.00   46.94    0.00    0.00    0.00   45.92
16시 10분 18초    8    6.00    0.00   11.00    0.00    0.00   43.00    0.00    0.00    0.00   40.00
16시 10분 18초    9    9.09    0.00   20.20    0.00    0.00   46.46    0.00    0.00    0.00   24.24

16시 10분 18초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 19초  all    5.67    0.00   10.15    0.00    0.00   28.56    0.00    0.00    0.00   55.62
16시 10분 19초    0    5.66    0.00   14.15    0.00    0.00   30.19    0.00    0.00    0.00   50.00
16시 10분 19초    1    8.25    0.00   14.43    0.00    0.00   26.80    0.00    0.00    0.00   50.52
16시 10분 19초    2    4.08    0.00   15.31    0.00    0.00   28.57    0.00    0.00    0.00   52.04
16시 10분 19초    3    7.92    0.00   11.88    0.00    0.00   29.70    0.00    0.00    0.00   50.50
16시 10분 19초    4    4.00    0.00    7.00    0.00    0.00   24.00    0.00    0.00    0.00   65.00
16시 10분 19초    5    6.06    0.00   10.10    0.00    0.00   28.28    0.00    0.00    0.00   55.56
16시 10분 19초    6    5.10    0.00    9.18    0.00    0.00   12.24    0.00    0.00    0.00   73.47
16시 10분 19초    7    1.94    0.00    1.94    0.00    0.00   44.66    0.00    0.00    0.00   51.46
16시 10분 19초    8    7.14    0.00    9.18    0.00    0.00   32.65    0.00    0.00    0.00   51.02
16시 10분 19초    9    3.92    0.00    9.80    0.00    0.00   28.43    0.00    0.00    0.00   57.84

16시 10분 19초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 10분 20초  all    5.88    0.00   10.47    0.00    0.00   27.12    0.00    0.00    0.00   56.53
16시 10분 20초    0    4.81    0.00    4.81    0.00    0.00    9.62    0.00    0.00    0.00   80.77
