Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

15시 05분 09초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 05분 10초  all   13.51    0.00   26.86    0.05    0.00   10.36    0.00    0.00    0.00   49.23
15시 05분 10초    0   11.58    0.00   27.37    0.00    0.00    6.32    0.00    0.00    0.00   54.74
15시 05분 10초    1   12.24    0.00   32.65    0.00    0.00    7.14    0.00    0.00    0.00   47.96
15시 05분 10초    2   12.63    0.00   31.58    0.00    0.00   14.74    0.00    0.00    0.00   41.05
15시 05분 10초    3   11.11    0.00   14.14    0.00    0.00    4.04    0.00    0.00    0.00   70.71
15시 05분 10초    4   15.15    0.00   23.23    0.00    0.00   17.17    0.00    0.00    0.00   44.44
15시 05분 10초    5   13.83    0.00   27.66    0.00    0.00    5.32    0.00    0.00    0.00   53.19
15시 05분 10초    6    6.19    0.00   20.62    0.00    0.00   11.34    0.00    0.00    0.00   61.86
15시 05분 10초    7   15.62    0.00   23.96    0.00    0.00    7.29    0.00    0.00    0.00   53.12
15시 05분 10초    8   13.13    0.00   29.29    0.00    0.00   20.20    0.00    0.00    0.00   37.37
15시 05분 10초    9   12.63    0.00   30.53    0.00    0.00    9.47    0.00    0.00    0.00   47.37
15시 05분 10초   10   13.40    0.00   28.87    0.00    0.00   13.40    0.00    0.00    0.00   44.33
15시 05분 10초   11   10.42    0.00   14.58    1.04    0.00   14.58    0.00    0.00    0.00   59.38
15시 05분 10초   12   15.62    0.00   28.12    0.00    0.00   14.58    0.00    0.00    0.00   41.67
15시 05분 10초   13   12.37    0.00   31.96    0.00    0.00    6.19    0.00    0.00    0.00   49.48
15시 05분 10초   14   17.00    0.00   32.00    0.00    0.00   12.00    0.00    0.00    0.00   39.00
15시 05분 10초   15   15.79    0.00   28.42    0.00    0.00   13.68    0.00    0.00    0.00   42.11
15시 05분 10초   16   12.63    0.00   20.00    0.00    0.00    3.16    0.00    0.00    0.00   64.21
15시 05분 10초   17   13.00    0.00   34.00    0.00    0.00   16.00    0.00    0.00    0.00   37.00
15시 05분 10초   18   19.19    0.00   27.27    0.00    0.00    5.05    0.00    0.00    0.00   48.48
15시 05분 10초   19   13.27    0.00   30.61    0.00    0.00    7.14    0.00    0.00    0.00   48.98

15시 05분 10초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 05분 11초  all    7.68    0.00   18.80    0.00    0.00   15.26    0.00    0.00    0.00   58.26
15시 05분 11초    0    7.07    0.00   20.20    0.00    0.00   10.10    0.00    0.00    0.00   62.63
15시 05분 11초    1    3.09    0.00   14.43    0.00    0.00    9.28    0.00    0.00    0.00   73.20
15시 05분 11초    2   11.88    0.00   19.80    0.00    0.00   20.79    0.00    0.00    0.00   47.52
15시 05분 11초    3    6.00    0.00   21.00    0.00    0.00    8.00    0.00    0.00    0.00   65.00
15시 05분 11초    4    9.09    0.00   22.22    0.00    0.00   18.18    0.00    0.00    0.00   50.51
15시 05분 11초    5    6.06    0.00   16.16    0.00    0.00   18.18    0.00    0.00    0.00   59.60
15시 05분 11초    6    6.86    0.00   17.65    0.00    0.00   13.73    0.00    0.00    0.00   61.76
15시 05분 11초    7    4.95    0.00   16.83    0.00    0.00    8.91    0.00    0.00    0.00   69.31
