Linux 5.4.0-72-generic (kesServer) 	2021년 04월 27일 	_x86_64_	(20 CPU)

15시 05분 09초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 05분 39초  1000      1575         -  100.00  100.00    0.00    0.00  100.00    19  memaslap
15시 05분 39초  1000         -      1612    9.34   30.86    0.00    1.56   40.20    18  |__memaslap
15시 05분 39초  1000         -      1617    9.27   31.56    0.00    1.63   40.83     9  |__memaslap
15시 05분 39초  1000         -      1618    9.67   30.63    0.00    1.56   40.30     5  |__memaslap
15시 05분 39초  1000         -      1619   10.03   31.06    0.00    1.53   41.10     8  |__memaslap
15시 05분 39초  1000         -      1621    9.67   30.56    0.00    1.53   40.23     0  |__memaslap
15시 05분 39초  1000         -      1622    9.77   31.66    0.00    1.56   41.43    16  |__memaslap
15시 05분 39초  1000         -      1624    9.80   30.76    0.00    1.59   40.56    13  |__memaslap
15시 05분 39초  1000         -      1625   10.00   30.90    0.00    1.69   40.90    14  |__memaslap
15시 05분 39초  1000         -      1630    9.50   31.26    0.00    1.63   40.76    18  |__memaslap
15시 05분 39초  1000         -      1631   10.07   31.13    0.00    1.56   41.20     4  |__memaslap
15시 05분 39초  1000         -      1632    9.37   31.36    0.00    1.46   40.73    15  |__memaslap
15시 05분 39초  1000         -      1633   10.17   30.93    0.00    1.69   41.10     7  |__memaslap
15시 05분 39초  1000         -      1634    9.73   30.76    0.00    1.53   40.50     2  |__memaslap
15시 05분 39초  1000         -      1635    9.37   31.73    0.00    1.69   41.10     3  |__memaslap
15시 05분 39초  1000         -      1636    9.40   30.30    0.00    1.53   39.70    12  |__memaslap
15시 05분 39초  1000         -      1638    9.07   31.56    0.00    1.56   40.63    11  |__memaslap

15시 05분 39초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 06분 09초  1000      1575         -  100.00  100.00    0.00    0.00  100.00     4  memaslap
15시 06분 09초  1000         -      1612    9.83   30.33    0.00    1.57   40.17    19  |__memaslap
15시 06분 09초  1000         -      1617    9.07   30.93    0.00    1.60   40.00    17  |__memaslap
15시 06분 09초  1000         -      1618    9.73   30.73    0.00    1.47   40.47    11  |__memaslap
15시 06분 09초  1000         -      1619    8.90   30.60    0.00    1.67   39.50     0  |__memaslap
15시 06분 09초  1000         -      1621    9.57   31.17    0.00    1.60   40.73    13  |__memaslap
15시 06분 09초  1000         -      1622    9.27   30.47    0.00    1.60   39.73    12  |__memaslap
15시 06분 09초  1000         -      1624    8.87   31.63    0.00    1.60   40.50     4  |__memaslap
15시 06분 09초  1000         -      1625    9.07   30.37    0.00    1.53   39.43    10  |__memaslap
15시 06분 09초  1000         -      1630    9.70   30.63    0.00    1.53   40.33    16  |__memaslap
15시 06분 09초  1000         -      1631    9.20   30.27    0.00    1.50   39.47     9  |__memaslap
15시 06분 09초  1000         -      1632    9.87   31.07    0.00    1.57   40.93    15  |__memaslap
15시 06분 09초  1000         -      1633   10.17   28.97    0.00    1.53   39.13     6  |__memaslap
15시 06분 09초  1000         -      1634    9.67   30.67    0.00    1.47   40.33    14  |__memaslap
15시 06분 09초  1000         -      1635    9.20   29.97    0.00    1.40   39.17     8  |__memaslap
15시 06분 09초  1000         -      1636    9.07   30.37    0.00    1.50   39.43     2  |__memaslap
15시 06분 09초  1000         -      1638    9.23   30.20    0.00    1.50   39.43     3  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000      1575         -  100.00  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -      1612    9.58   30.60    0.00    1.56   40.18     -  |__memaslap
Average:     1000         -      1617    9.17   31.25    0.00    1.61   40.42     -  |__memaslap
Average:     1000         -      1618    9.70   30.68    0.00    1.51   40.38     -  |__memaslap
Average:     1000         -      1619    9.47   30.83    0.00    1.60   40.30     -  |__memaslap
Average:     1000         -      1621    9.62   30.87    0.00    1.56   40.48     -  |__memaslap
Average:     1000         -      1622    9.52   31.06    0.00    1.58   40.58     -  |__memaslap
Average:     1000         -      1624    9.33   31.20    0.00    1.60   40.53     -  |__memaslap
Average:     1000         -      1625    9.53   30.63    0.00    1.61   40.17     -  |__memaslap
Average:     1000         -      1630    9.60   30.95    0.00    1.58   40.55     -  |__memaslap
Average:     1000         -      1631    9.63   30.70    0.00    1.53   40.33     -  |__memaslap
Average:     1000         -      1632    9.62   31.21    0.00    1.51   40.83     -  |__memaslap
Average:     1000         -      1633   10.17   29.95    0.00    1.61   40.12     -  |__memaslap
Average:     1000         -      1634    9.70   30.72    0.00    1.50   40.42     -  |__memaslap
Average:     1000         -      1635    9.28   30.85    0.00    1.55   40.13     -  |__memaslap
Average:     1000         -      1636    9.23   30.33    0.00    1.51   39.57     -  |__memaslap
Average:     1000         -      1638    9.15   30.88    0.00    1.53   40.03     -  |__memaslap
