Linux 5.4.0-72-generic (server3) 	2021년 04월 27일 	_x86_64_	(10 CPU)

15시 05분 09초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 05분 10초  all    7.93    0.00   10.34    0.00    0.00   25.40    0.00    0.00    0.00   56.33
15시 05분 10초    0    2.91    0.00    0.97    0.00    0.00    3.88    0.00    0.00    0.00   92.23
15시 05분 10초    1    3.03    0.00    2.02    0.00    0.00    6.06    0.00    0.00    0.00   88.89
15시 05분 10초    2    8.91    0.00   10.89    0.00    0.00   33.66    0.00    0.00    0.00   46.53
15시 05분 10초    3    3.03    0.00    1.01    0.00    0.00    3.03    0.00    0.00    0.00   92.93
15시 05분 10초    4    5.00    0.00    7.00    0.00    0.00   24.00    0.00    0.00    0.00   64.00
15시 05분 10초    5   10.00    0.00   20.00    0.00    0.00   38.00    0.00    0.00    0.00   32.00
15시 05분 10초    6   11.11    0.00   16.16    0.00    0.00   51.52    0.00    0.00    0.00   21.21
15시 05분 10초    7    8.16    0.00   13.27    0.00    0.00   36.73    0.00    0.00    0.00   41.84
15시 05분 10초    8   14.00    0.00   18.00    0.00    0.00   20.00    0.00    0.00    0.00   48.00
15시 05분 10초    9   10.75    0.00   15.05    0.00    0.00   39.78    0.00    0.00    0.00   34.41

15시 05분 10초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 05분 11초  all    7.54    0.00    9.85    0.00    0.00   26.13    0.00    0.00    0.00   56.48
15시 05분 11초    0    8.91    0.00   19.80    0.00    0.00   30.69    0.00    0.00    0.00   40.59
15시 05분 11초    1   19.19    0.00   23.23    0.00    0.00   57.58    0.00    0.00    0.00    0.00
15시 05분 11초    2   13.21    0.00   13.21    0.00    0.00   18.87    0.00    0.00    0.00   54.72
15시 05분 11초    3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
15시 05분 11초    4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
15시 05분 11초    5    4.00    0.00    5.00    0.00    0.00   91.00    0.00    0.00    0.00    0.00
15시 05분 11초    6   14.14    0.00   20.20    0.00    0.00   27.27    0.00    0.00    0.00   38.38
15시 05분 11초    7    2.97    0.00    0.00    0.99    0.00    4.95    0.00    0.00    0.00   91.09
15시 05분 11초    8    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
15시 05분 11초    9    8.79    0.00   14.29    0.00    0.00   31.87    0.00    0.00    0.00   45.05

15시 05분 11초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 05분 12초  all   11.43    0.00   14.66    0.00    0.00   17.39    0.00    0.00    0.00   56.52
15시 05분 12초    0   10.19    0.00   12.04    0.00    0.00   30.56    0.00    0.00    0.00   47.22
15시 05분 12초    1   29.00    0.00   32.00    0.00    0.00   32.00    0.00    0.00    0.00    7.00
15시 05분 12초    2    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
15시 05분 12초    3   12.00    0.00   17.00    0.00    0.00   22.00    0.00    0.00    0.00   49.00
15시 05분 12초    4    6.25    0.00    4.17    0.00    0.00    3.12    0.00    0.00    0.00   86.46
15시 05분 12초    5   25.00    0.00   43.00    0.00    0.00   31.00    0.00    0.00    0.00    1.00
15시 05분 12초    6    3.26    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   95.65
15시 05분 12초    7    2.15    0.00    0.00    0.00    0.00    3.23    0.00    0.00    0.00   94.62
15시 05분 12초    8    1.96    0.00    0.00    0.00    0.00    2.94    0.00    0.00    0.00   95.10
15시 05분 12초    9   23.47    0.00   32.65    0.00    0.00   43.88    0.00    0.00    0.00    0.00

