Linux 5.4.0-70-generic (kesServer) 	2021년 03월 31일 	_x86_64_	(20 CPU)

17시 33분 27초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 28초  all   15.33    0.00   36.33    0.00    0.00    6.14    0.00    0.00    0.00   42.20
17시 33분 28초    0   17.39    0.00   34.78    0.00    0.00    3.26    0.00    0.00    0.00   44.57
17시 33분 28초    1   10.53    0.00   38.95    0.00    0.00   35.79    0.00    0.00    0.00   14.74
17시 33분 28초    2   14.89    0.00   38.30    0.00    0.00    3.19    0.00    0.00    0.00   43.62
17시 33분 28초    3    8.60    0.00   25.81    0.00    0.00    5.38    0.00    0.00    0.00   60.22
17시 33분 28초    4   11.70    0.00   41.49    0.00    0.00    4.26    0.00    0.00    0.00   42.55
17시 33분 28초    5   15.38    0.00   43.96    0.00    0.00    4.40    0.00    0.00    0.00   36.26
17시 33분 28초    6   16.16    0.00   44.44    0.00    0.00    5.05    0.00    0.00    0.00   34.34
17시 33분 28초    7   10.42    0.00   46.88    0.00    0.00    7.29    0.00    0.00    0.00   35.42
17시 33분 28초    8   18.00    0.00   39.00    0.00    0.00    5.00    0.00    0.00    0.00   38.00
17시 33분 28초    9   15.79    0.00   34.74    0.00    0.00    2.11    0.00    0.00    0.00   47.37
17시 33분 28초   10   19.59    0.00   23.71    0.00    0.00    7.22    0.00    0.00    0.00   49.48
17시 33분 28초   11   13.68    0.00   44.21    0.00    0.00    4.21    0.00    0.00    0.00   37.89
17시 33분 28초   12   11.11    0.00   43.33    0.00    0.00    7.78    0.00    0.00    0.00   37.78
17시 33분 28초   13   23.40    0.00   39.36    0.00    0.00    2.13    0.00    0.00    0.00   35.11
17시 33분 28초   14   14.58    0.00   43.75    0.00    0.00    6.25    0.00    0.00    0.00   35.42
17시 33분 28초   15   25.00    0.00   35.42    0.00    0.00    6.25    0.00    0.00    0.00   33.33
17시 33분 28초   16   16.49    0.00   32.99    0.00    0.00    5.15    0.00    0.00    0.00   45.36
17시 33분 28초   17   17.53    0.00   31.96    0.00    0.00    4.12    0.00    0.00    0.00   46.39
17시 33분 28초   18   13.40    0.00   30.93    0.00    0.00    3.09    0.00    0.00    0.00   52.58
17시 33분 28초   19   12.63    0.00   11.58    0.00    0.00    1.05    0.00    0.00    0.00   74.74

17시 33분 28초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
