Linux 5.4.0-70-generic (server3) 	2021년 03월 31일 	_x86_64_	(10 CPU)

17시 33분 29초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 30초  all    6.91    0.00    9.61    0.00    0.00   19.32    0.00    0.00    0.00   64.16
17시 33분 30초    0    4.95    0.00    6.93    0.00    0.00   14.85    0.00    0.00    0.00   73.27
17시 33분 30초    1   12.00    0.00   12.00    0.00    0.00   17.00    0.00    0.00    0.00   59.00
17시 33분 30초    2    4.08    0.00    7.14    0.00    0.00    7.14    0.00    0.00    0.00   81.63
17시 33분 30초    3   11.43    0.00   13.33    0.00    0.00   20.00    0.00    0.00    0.00   55.24
17시 33분 30초    4    0.00    0.00    2.97    0.00    0.00   77.23    0.00    0.00    0.00   19.80
17시 33분 30초    5    7.07    0.00    6.06    0.00    0.00    4.04    0.00    0.00    0.00   82.83
17시 33분 30초    6   10.00    0.00   19.00    0.00    0.00   19.00    0.00    0.00    0.00   52.00
17시 33분 30초    7   10.31    0.00    6.19    0.00    0.00    6.19    0.00    0.00    0.00   77.32
17시 33분 30초    8    2.04    0.00    4.08    0.00    0.00    4.08    0.00    0.00    0.00   89.80
17시 33분 30초    9    7.22    0.00   16.49    0.00    0.00   21.65    0.00    0.00    0.00   54.64

17시 33분 30초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 31초  all    4.40    0.00    8.09    0.00    0.00   18.83    0.00    0.00    0.00   68.68
17시 33분 31초    0    5.15    0.00   11.34    0.00    0.00   18.56    0.00    0.00    0.00   64.95
17시 33분 31초    1    2.91    0.00    3.88    0.00    0.00    8.74    0.00    0.00    0.00   84.47
17시 33분 31초    2   12.37    0.00   14.43    0.00    0.00   23.71    0.00    0.00    0.00   49.48
17시 33분 31초    3    4.95    0.00    6.93    0.00    0.00    9.90    0.00    0.00    0.00   78.22
17시 33분 31초    4    0.00    0.00    0.00    0.00    0.00   75.53    0.00    0.00    0.00   24.47
17시 33분 31초    5    6.25    0.00   11.46    0.00    0.00   11.46    0.00    0.00    0.00   70.83
17시 33분 31초    6    4.17    0.00   12.50    0.00    0.00   12.50    0.00    0.00    0.00   70.83
17시 33분 31초    7    2.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
17시 33분 31초    8    2.08    0.00    4.17    0.00    0.00   10.42    0.00    0.00    0.00   83.33
17시 33분 31초    9    3.23    0.00   15.05    0.00    0.00   19.35    0.00    0.00    0.00   62.37

17시 33분 31초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 32초  all    5.05    0.00    7.97    0.00    0.00   19.68    0.00    0.00    0.00   67.31
17시 33분 32초    0    6.93    0.00    9.90    0.00    0.00   15.84    0.00    0.00    0.00   67.33
17시 33분 32초    1    2.91    0.00    8.74    0.00    0.00   11.65    0.00    0.00    0.00   76.70
17시 33분 32초    2    5.94    0.00    4.95    0.00    0.00   14.85    0.00    0.00    0.00   74.26
17시 33분 32초    3    9.57    0.00   14.89    0.00    0.00   15.96    0.00    0.00    0.00   59.57
17시 33분 32초    4    0.00    0.00    0.97    0.00    0.00   76.70    0.00    0.00    0.00   22.33
17시 33분 32초    5    8.08    0.00   12.12    0.00    0.00   24.24    0.00    0.00    0.00   55.56
17시 33분 32초    6    4.04    0.00   11.11    0.00    0.00    6.06    0.00    0.00    0.00   78.79
17시 33분 32초    7    2.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
17시 33분 32초    8    5.00    0.00    7.00    0.00    0.00    7.00    0.00    0.00    0.00   81.00
17시 33분 32초    9    6.32    0.00   10.53    0.00    0.00   20.00    0.00    0.00    0.00   63.16

17시 33분 32초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 33초  all    5.48    0.00    8.37    0.00    0.00   19.94    0.00    0.00    0.00   66.20
17시 33분 33초    0    5.05    0.00    9.09    0.00    0.00   17.17    0.00    0.00    0.00   68.69
17시 33분 33초    1    7.92    0.00   14.85    0.00    0.00   16.83    0.00    0.00    0.00   60.40
17시 33분 33초    2    7.07    0.00   10.10    0.00    0.00   17.17    0.00    0.00    0.00   65.66
17시 33분 33초    3    7.07    0.00   10.10    0.00    0.00   23.23    0.00    0.00    0.00   59.60
17시 33분 33초    4    1.00    0.00    0.00    0.00    0.00   77.00    0.00    0.00    0.00   22.00
17시 33분 33초    5    0.97    0.00    0.97    0.00    0.00    5.83    0.00    0.00    0.00   92.23
17시 33분 33초    6    3.06    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   90.82
17시 33분 33초    7    3.96    0.00    8.91    0.00    0.00    9.90    0.00    0.00    0.00   77.23
17시 33분 33초    8   12.12    0.00   17.17    0.00    0.00   22.22    0.00    0.00    0.00   48.48
17시 33분 33초    9    5.94    0.00    5.94    0.00    0.00    9.90    0.00    0.00    0.00   78.22

17시 33분 33초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 34초  all    5.21    0.00    7.97    0.00    0.00   19.31    0.00    0.00    0.00   67.52
17시 33분 34초    0    1.03    0.00    3.09    0.00    0.00    7.22    0.00    0.00    0.00   88.66
17시 33분 34초    1    2.88    0.00    6.73    0.00    0.00   13.46    0.00    0.00    0.00   76.92
17시 33분 34초    2    2.06    0.00   11.34    0.00    0.00   16.49    0.00    0.00    0.00   70.10
17시 33분 34초    3    8.25    0.00   12.37    0.00    0.00   19.59    0.00    0.00    0.00   59.79
17시 33분 34초    4    0.00    0.00    0.00    0.00    0.00   77.08    0.00    0.00    0.00   22.92
17시 33분 34초    5   11.11    0.00   14.14    0.00    0.00   15.15    0.00    0.00    0.00   59.60
17시 33분 34초    6   11.34    0.00   17.53    0.00    0.00   16.49    0.00    0.00    0.00   54.64
17시 33분 34초    7    7.07    0.00    7.07    0.00    0.00   10.10    0.00    0.00    0.00   75.76
17시 33분 34초    8    6.06    0.00    5.05    0.00    0.00    8.08    0.00    0.00    0.00   80.81
17시 33분 34초    9    4.12    0.00    3.09    0.00    0.00   10.31    0.00    0.00    0.00   82.47

17시 33분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 35초  all    6.71    0.00    8.32    0.00    0.00   19.34    0.00    0.00    0.00   65.63
17시 33분 35초    0    6.93    0.00   15.84    0.00    0.00   13.86    0.00    0.00    0.00   63.37
17시 33분 35초    1   10.89    0.00    8.91    0.00    0.00   21.78    0.00    0.00    0.00   58.42
17시 33분 35초    2    3.12    0.00    2.08    0.00    0.00    6.25    0.00    0.00    0.00   88.54
17시 33분 35초    3   12.24    0.00   14.29    0.00    0.00   16.33    0.00    0.00    0.00   57.14
17시 33분 35초    4    0.98    0.00    0.00    0.00    0.00   77.45    0.00    0.00    0.00   21.57
17시 33분 35초    5    4.00    0.00    6.00    0.00    0.00    5.00    0.00    0.00    0.00   85.00
17시 33분 35초    6   10.10    0.00   10.10    0.00    0.00   12.12    0.00    0.00    0.00   67.68
17시 33분 35초    7    4.00    0.00    9.00    0.00    0.00   11.00    0.00    0.00    0.00   76.00
17시 33분 35초    8   10.00    0.00   11.00    0.00    0.00   15.00    0.00    0.00    0.00   64.00
17시 33분 35초    9    3.96    0.00    6.93    0.00    0.00   13.86    0.00    0.00    0.00   75.25

17시 33분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 36초  all    5.92    0.00    9.83    0.00    0.00   19.86    0.00    0.00    0.00   64.39
17시 33분 36초    0   11.11    0.00   20.20    0.00    0.00   19.19    0.00    0.00    0.00   49.49
17시 33분 36초    1   11.00    0.00   13.00    0.00    0.00   21.00    0.00    0.00    0.00   55.00
17시 33분 36초    2    3.92    0.00    8.82    0.00    0.00   14.71    0.00    0.00    0.00   72.55
17시 33분 36초    3    7.07    0.00   15.15    0.00    0.00   15.15    0.00    0.00    0.00   62.63
17시 33분 36초    4    1.01    0.00    0.00    0.00    0.00   76.77    0.00    0.00    0.00   22.22
17시 33분 36초    5    5.88    0.00    7.84    0.00    0.00   12.75    0.00    0.00    0.00   73.53
17시 33분 36초    6    3.03    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   91.92
17시 33분 36초    7    5.00    0.00    8.00    0.00    0.00   10.00    0.00    0.00    0.00   77.00
17시 33분 36초    8    2.97    0.00    9.90    0.00    0.00    7.92    0.00    0.00    0.00   79.21
17시 33분 36초    9   10.42    0.00   11.46    0.00    0.00   16.67    0.00    0.00    0.00   61.46

17시 33분 36초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 33분 37초  all    4.78    0.00    7.93    0.00    0.00   19.61    0.00    0.00    0.00   67.68
17시 33분 37초    0    6.19    0.00    6.19    0.00    0.00   14.43    0.00    0.00    0.00   73.20
17시 33분 37초    1    2.08    0.00    9.38    0.00    0.00   20.83    0.00    0.00    0.00   67.71
17시 33분 37초    2    3.96    0.00    7.92    0.00    0.00   16.83    0.00    0.00    0.00   71.29
17시 33분 37초    3    3.92    0.00    5.88    0.00    0.00    8.82    0.00    0.00    0.00   81.37
17시 33분 37초    4    0.00    0.00    0.00    0.00    0.00   76.53    0.00    0.00    0.00   23.47
17시 33분 37초    5    7.37    0.00   16.84    0.00    0.00   18.95    0.00    0.00    0.00   56.84
