Linux 5.4.0-66-generic (kesServer) 	2021년 03월 03일 	_x86_64_	(20 CPU)

20시 47분 50초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 47분 51초  all   15.60    0.00   35.71    0.00    0.00    6.04    0.00    0.00    0.00   42.65
20시 47분 51초    0   14.43    0.00   27.84    0.00    0.00    0.00    0.00    0.00    0.00   57.73
20시 47분 51초    1   19.59    0.00   26.80    0.00    0.00   38.14    0.00    0.00    0.00   15.46
20시 47분 51초    2   17.53    0.00   41.24    0.00    0.00    6.19    0.00    0.00    0.00   35.05
20시 47분 51초    3   20.93    0.00   39.53    0.00    0.00    3.49    0.00    0.00    0.00   36.05
20시 47분 51초    4   16.48    0.00   45.05    0.00    0.00    2.20    0.00    0.00    0.00   36.26
20시 47분 51초    5   13.68    0.00   45.26    0.00    0.00    6.32    0.00    0.00    0.00   34.74
20시 47분 51초    6   17.17    0.00   21.21    0.00    0.00    6.06    0.00    0.00    0.00   55.56
20시 47분 51초    7    7.45    0.00   19.15    0.00    0.00    5.32    0.00    0.00    0.00   68.09
20시 47분 51초    8   16.16    0.00   42.42    0.00    0.00    6.06    0.00    0.00    0.00   35.35
20시 47분 51초    9   16.33    0.00   41.84    0.00    0.00    3.06    0.00    0.00    0.00   38.78
20시 47분 51초   10   14.13    0.00   43.48    0.00    0.00    6.52    0.00    0.00    0.00   35.87
20시 47분 51초   11   17.35    0.00   18.37    0.00    0.00    2.04    0.00    0.00    0.00   62.24
20시 47분 51초   12   16.84    0.00   37.89    0.00    0.00    8.42    0.00    0.00    0.00   36.84
20시 47분 51초   13   17.20    0.00   41.94    0.00    0.00    3.23    0.00    0.00    0.00   37.63
20시 47분 51초   14   17.20    0.00   38.71    0.00    0.00    4.30    0.00    0.00    0.00   39.78
20시 47분 51초   15   13.68    0.00   42.11    0.00    0.00    4.21    0.00    0.00    0.00   40.00
20시 47분 51초   16   16.84    0.00   43.16    0.00    0.00    4.21    0.00    0.00    0.00   35.79
20시 47분 51초   17   12.50    0.00   33.33    0.00    0.00    2.08    0.00    0.00    0.00   52.08
20시 47분 51초   18   12.24    0.00   26.53    0.00    0.00    2.04    0.00    0.00    0.00   59.18
20시 47분 51초   19   15.62    0.00   39.58    0.00    0.00    4.17    0.00    0.00    0.00   40.62

