Linux 5.4.0-66-generic (server3) 	2021년 03월 04일 	_x86_64_	(10 CPU)

23시 38분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 39분 00초  all    5.90    0.00    8.44    0.00    0.00   17.19    0.00    0.00    0.00   68.46
23시 39분 00초    0    2.02    0.00    4.04    0.00    0.00    4.04    0.00    0.00    0.00   89.90
23시 39분 00초    1    9.18    0.00    7.14    0.00    0.00   10.20    0.00    0.00    0.00   73.47
23시 39분 00초    2    8.16    0.00   14.29    0.00    0.00   15.31    0.00    0.00    0.00   62.24
23시 39분 00초    3    9.28    0.00   10.31    0.00    0.00   14.43    0.00    0.00    0.00   65.98
23시 39분 00초    4    3.88    0.00    0.97    0.00    0.00   74.76    0.00    0.00    0.00   20.39
23시 39분 00초    5    9.38    0.00   11.46    0.00    0.00   11.46    0.00    0.00    0.00   67.71
23시 39분 00초    6    6.19    0.00    9.28    0.00    0.00   10.31    0.00    0.00    0.00   74.23
23시 39분 00초    7    5.10    0.00   14.29    0.00    0.00   18.37    0.00    0.00    0.00   62.24
23시 39분 00초    8    5.00    0.00    8.00    0.00    0.00    6.00    0.00    0.00    0.00   81.00
23시 39분 00초    9    3.06    0.00    3.06    0.00    0.00    5.10    0.00    0.00    0.00   88.78

23시 39분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 39분 01초  all    4.52    0.00    8.44    0.00    0.00   22.31    0.00    0.00    0.00   64.72
23시 39분 01초    0    8.60    0.00   10.75    0.00    0.00   19.35    0.00    0.00    0.00   61.29
23시 39분 01초    1    4.90    0.00    3.92    0.00    0.00    9.80    0.00    0.00    0.00   81.37
23시 39분 01초    2    6.25    0.00   15.62    0.00    0.00   19.79    0.00    0.00    0.00   58.33
23시 39분 01초    3    6.93    0.00   18.81    0.00    0.00   26.73    0.00    0.00    0.00   47.52
23시 39분 01초    4    0.95    0.00    0.00    0.00    0.00   87.62    0.00    0.00    0.00   11.43
23시 39분 01초    5    3.03    0.00    6.06    0.00    0.00   10.10    0.00    0.00    0.00   80.81
23시 39분 01초    6    2.88    0.00    6.73    0.00    0.00    9.62    0.00    0.00    0.00   80.77
23시 39분 01초    7    3.06    0.00    4.08    0.00    0.00   10.20    0.00    0.00    0.00   82.65
23시 39분 01초    8    4.00    0.00    8.00    0.00    0.00   14.00    0.00    0.00    0.00   74.00
23시 39분 01초    9    5.15    0.00   11.34    0.00    0.00   13.40    0.00    0.00    0.00   70.10

23시 39분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 39분 02초  all    5.00    0.00    8.09    0.00    0.00   22.58    0.00    0.00    0.00   64.34
23시 39분 02초    0    7.84    0.00    4.90    0.00    0.00   18.63    0.00    0.00    0.00   68.63
23시 39분 02초    1    3.88    0.00    3.88    0.00    0.00   13.59    0.00    0.00    0.00   78.64
23시 39분 02초    2    1.02    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   92.86
23시 39분 02초    3    3.00    0.00    7.00    0.00    0.00    7.00    0.00    0.00    0.00   83.00
23시 39분 02초    4    0.00    0.00    0.00    0.00    0.00   87.50    0.00    0.00    0.00   12.50
23시 39분 02초    5    8.25    0.00   18.56    0.00    0.00   20.62    0.00    0.00    0.00   52.58
23시 39분 02초    6    3.03    0.00    6.06    0.00    0.00    4.04    0.00    0.00    0.00   86.87
23시 39분 02초    7    4.08    0.00   12.24    0.00    0.00   18.37    0.00    0.00    0.00   65.31
23시 39분 02초    8    6.00    0.00   13.00    0.00    0.00   21.00    0.00    0.00    0.00   60.00
23시 39분 02초    9    9.90    0.00   14.85    0.00    0.00   28.71    0.00    0.00    0.00   46.53

23시 39분 02초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 39분 03초  all    5.12    0.00    7.82    0.00    0.00   22.17    0.00    0.00    0.00   64.89
