Linux 5.4.0-66-generic (kesServer) 	2021년 03월 12일 	_x86_64_	(20 CPU)

16시 19분 18초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 19초  all   13.08    0.00   30.89    0.00    0.00    7.11    0.00    0.00    0.00   48.91
16시 19분 19초    0   16.48    0.00   31.87    0.00    0.00    5.49    0.00    0.00    0.00   46.15
16시 19분 19초    1   15.79    0.00   31.58    0.00    0.00    7.37    0.00    0.00    0.00   45.26
16시 19분 19초    2   16.84    0.00   34.74    0.00    0.00    3.16    0.00    0.00    0.00   45.26
16시 19분 19초    3   13.73    0.00   38.24    0.00    0.00    6.86    0.00    0.00    0.00   41.18
16시 19분 19초    4    9.38    0.00   30.21    0.00    0.00    3.12    0.00    0.00    0.00   57.29
16시 19분 19초    5    8.70    0.00   38.04    0.00    0.00    4.35    0.00    0.00    0.00   48.91
16시 19분 19초    6   15.46    0.00   34.02    0.00    0.00    2.06    0.00    0.00    0.00   48.45
16시 19분 19초    7   16.67    0.00   29.17    1.04    0.00    2.08    0.00    0.00    0.00   51.04
16시 19분 19초    8   18.37    0.00   19.39    0.00    0.00    1.02    0.00    0.00    0.00   61.22
16시 19분 19초    9   16.67    0.00   25.00    0.00    0.00    2.08    0.00    0.00    0.00   56.25
16시 19분 19초   10   10.20    0.00   34.69    0.00    0.00    4.08    0.00    0.00    0.00   51.02
16시 19분 19초   11   12.63    0.00   32.63    0.00    0.00    4.21    0.00    0.00    0.00   50.53
16시 19분 19초   12    8.25    0.00   29.90    0.00    0.00    4.12    0.00    0.00    0.00   57.73
16시 19분 19초   13   13.40    0.00   35.05    0.00    0.00    5.15    0.00    0.00    0.00   46.39
16시 19분 19초   14    8.16    0.00   19.39    0.00    0.00   51.02    0.00    0.00    0.00   21.43
16시 19분 19초   15   11.58    0.00   40.00    0.00    0.00    6.32    0.00    0.00    0.00   42.11
16시 19분 19초   16   11.00    0.00   44.00    0.00    0.00    5.00    0.00    0.00    0.00   40.00
16시 19분 19초   17   13.54    0.00   21.88    0.00    0.00    7.29    0.00    0.00    0.00   57.29
16시 19분 19초   18   12.77    0.00   18.09    0.00    0.00    6.38    0.00    0.00    0.00   62.77
16시 19분 19초   19   13.54    0.00   32.29    0.00    0.00    6.25    0.00    0.00    0.00   47.92

16시 19분 19초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 20초  all    5.12    0.00    9.72    0.00    0.00   12.92    0.00    0.00    0.00   72.25
16시 19분 20초    0    6.32    0.00   12.63    0.00    0.00    9.47    0.00    0.00    0.00   71.58
16시 19분 20초    1    4.12    0.00   13.40    0.00    0.00   14.43    0.00    0.00    0.00   68.04
16시 19분 20초    2    5.21    0.00   11.46    0.00    0.00    7.29    0.00    0.00    0.00   76.04
16시 19분 20초    3    5.32    0.00    9.57    0.00    0.00    9.57    0.00    0.00    0.00   75.53
16시 19분 20초    4    2.97    0.00    8.91    0.00    0.00    9.90    0.00    0.00    0.00   78.22
16시 19분 20초    5    6.12    0.00   15.31    0.00    0.00    6.12    0.00    0.00    0.00   72.45
16시 19분 20초    6    4.26    0.00    4.26    0.00    0.00    7.45    0.00    0.00    0.00   84.04
16시 19분 20초    7    3.03    0.00    6.06    0.00    0.00    6.06    0.00    0.00    0.00   84.85
16시 19분 20초    8    4.21    0.00    5.26    0.00    0.00    5.26    0.00    0.00    0.00   85.26
16시 19분 20초    9    3.12    0.00    7.29    0.00    0.00    8.33    0.00    0.00    0.00   81.25
16시 19분 20초   10    6.06    0.00   10.10    0.00    0.00    8.08    0.00    0.00    0.00   75.76
16시 19분 20초   11    7.00    0.00    8.00    0.00    0.00    7.00    0.00    0.00    0.00   78.00
16시 19분 20초   12    6.38    0.00    5.32    0.00    0.00    5.32    0.00    0.00    0.00   82.98
16시 19분 20초   13    5.05    0.00    7.07    0.00    0.00    3.03    0.00    0.00    0.00   84.85
16시 19분 20초   14    0.00    0.00    0.99    0.00    0.00   95.05    0.00    0.00    0.00    3.96
16시 19분 20초   15    5.26    0.00   14.74    0.00    0.00   12.63    0.00    0.00    0.00   67.37
16시 19분 20초   16    7.37    0.00   14.74    0.00    0.00    8.42    0.00    0.00    0.00   69.47
16시 19분 20초   17    5.15    0.00   14.43    0.00    0.00   11.34    0.00    0.00    0.00   69.07
16시 19분 20초   18    7.14    0.00   14.29    0.00    0.00   10.20    0.00    0.00    0.00   68.37
16시 19분 20초   19    8.16    0.00   12.24    0.00    0.00   12.24    0.00    0.00    0.00   67.35

16시 19분 20초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 21초  all    4.28    0.00    8.88    0.00    0.00   13.63    0.00    0.00    0.00   73.21
16시 19분 21초    0    6.19    0.00   12.37    0.00    0.00   10.31    0.00    0.00    0.00   71.13
16시 19분 21초    1    4.04    0.00    9.09    0.00    0.00   16.16    0.00    0.00    0.00   70.71
16시 19분 21초    2    7.00    0.00   14.00    0.00    0.00    9.00    0.00    0.00    0.00   70.00
16시 19분 21초    3    5.26    0.00    9.47    0.00    0.00    9.47    0.00    0.00    0.00   75.79
16시 19분 21초    4    4.17    0.00    7.29    0.00    0.00    8.33    0.00    0.00    0.00   80.21
16시 19분 21초    5    5.21    0.00    6.25    0.00    0.00    6.25    0.00    0.00    0.00   82.29
16시 19분 21초    6    3.00    0.00    6.00    0.00    0.00    5.00    0.00    0.00    0.00   86.00
16시 19분 21초    7    7.37    0.00   10.53    0.00    0.00    9.47    0.00    0.00    0.00   72.63
16시 19분 21초    8    3.19    0.00    6.38    0.00    0.00    4.26    0.00    0.00    0.00   86.17
16시 19분 21초    9    5.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   86.00
16시 19분 21초   10    2.04    0.00    6.12    0.00    0.00    8.16    0.00    0.00    0.00   83.67
