Linux 5.4.0-66-generic (server3) 	2021년 03월 12일 	_x86_64_	(10 CPU)

16시 19분 20초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 21초  all    5.11    0.00    9.24    0.00    0.00   18.29    0.00    0.00    0.00   67.35
16시 19분 21초    0    4.85    0.00    8.74    0.00    0.00   13.59    0.00    0.00    0.00   72.82
16시 19분 21초    1    4.76    0.00    9.52    0.00    0.00   11.43    0.00    0.00    0.00   74.29
16시 19분 21초    2    4.04    0.00    8.08    0.00    0.00   17.17    0.00    0.00    0.00   70.71
16시 19분 21초    3    5.00    0.00    7.00    0.00    0.00    8.00    0.00    0.00    0.00   80.00
16시 19분 21초    4    0.00    0.00    0.97    0.00    0.00   73.79    0.00    0.00    0.00   25.24
16시 19분 21초    5    4.00    0.00   10.00    0.00    0.00    3.00    0.00    0.00    0.00   83.00
16시 19분 21초    6    1.98    0.00    7.92    0.00    0.00    5.94    0.00    0.00    0.00   84.16
16시 19분 21초    7    6.86    0.00    9.80    0.00    0.00   13.73    0.00    0.00    0.00   69.61
16시 19분 21초    8    9.00    0.00   16.00    0.00    0.00   21.00    0.00    0.00    0.00   54.00
16시 19분 21초    9    8.57    0.00   16.19    0.00    0.00   15.24    0.00    0.00    0.00   60.00

16시 19분 21초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 22초  all    4.83    0.00    9.15    0.00    0.00   16.80    0.00    0.00    0.00   69.22
16시 19분 22초    0    6.73    0.00   16.35    0.00    0.00   23.08    0.00    0.00    0.00   53.85
16시 19분 22초    1    7.14    0.00   13.27    0.00    0.00   10.20    0.00    0.00    0.00   69.39
16시 19분 22초    2    6.86    0.00   13.73    0.00    0.00   18.63    0.00    0.00    0.00   60.78
16시 19분 22초    3    6.93    0.00   11.88    0.00    0.00    9.90    0.00    0.00    0.00   71.29
16시 19분 22초    4    0.00    0.00    0.00    0.00    0.00   74.23    0.00    0.00    0.00   25.77
16시 19분 22초    5    4.90    0.00    1.96    0.00    0.00    2.94    0.00    0.00    0.00   90.20
16시 19분 22초    6    1.96    0.00    2.94    0.00    0.00    2.94    0.00    0.00    0.00   92.16
16시 19분 22초    7    1.06    0.00    3.19    0.00    0.00    5.32    0.00    0.00    0.00   90.43
16시 19분 22초    8    6.32    0.00   12.63    0.00    0.00    9.47    0.00    0.00    0.00   71.58
16시 19분 22초    9    7.00    0.00   16.00    0.00    0.00   11.00    0.00    0.00    0.00   66.00

16시 19분 22초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 23초  all    5.04    0.00    9.06    0.00    0.00   16.62    0.00    0.00    0.00   69.28
16시 19분 23초    0    7.22    0.00   10.31    0.00    0.00   12.37    0.00    0.00    0.00   70.10
16시 19분 23초    1    3.92    0.00    8.82    0.00    0.00   10.78    0.00    0.00    0.00   76.47
16시 19분 23초    2   10.31    0.00   15.46    0.00    0.00   22.68    0.00    0.00    0.00   51.55
16시 19분 23초    3    3.96    0.00    4.95    0.00    0.00    4.95    0.00    0.00    0.00   86.14
16시 19분 23초    4    0.00    0.00    0.00    0.00    0.00   74.49    0.00    0.00    0.00   25.51
16시 19분 23초    5    7.22    0.00   12.37    0.00    0.00    8.25    0.00    0.00    0.00   72.16
16시 19분 23초    6    3.92    0.00    5.88    0.00    0.00    3.92    0.00    0.00    0.00   86.27
16시 19분 23초    7    8.08    0.00   19.19    0.00    0.00   25.25    0.00    0.00    0.00   47.47
16시 19분 23초    8    0.98    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   96.08
16시 19분 23초    9    6.12    0.00   11.22    0.00    0.00    5.10    0.00    0.00    0.00   77.55

16시 19분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 24초  all    5.76    0.00    8.29    0.00    0.00   16.99    0.00    0.00    0.00   68.96
16시 19분 24초    0    0.99    0.00    7.92    0.00    0.00    8.91    0.00    0.00    0.00   82.18
16시 19분 24초    1    6.93    0.00    5.94    0.00    0.00    7.92    0.00    0.00    0.00   79.21
16시 19분 24초    2    3.96    0.00    1.98    0.00    0.00    9.90    0.00    0.00    0.00   84.16
16시 19분 24초    3    8.08    0.00   16.16    0.00    0.00   14.14    0.00    0.00    0.00   61.62
16시 19분 24초    4    0.00    0.00    0.00    0.00    0.00   75.00    0.00    0.00    0.00   25.00
16시 19분 24초    5   11.00    0.00   16.00    0.00    0.00   14.00    0.00    0.00    0.00   59.00
16시 19분 24초    6    8.00    0.00   12.00    0.00    0.00   11.00    0.00    0.00    0.00   69.00
16시 19분 24초    7    3.12    0.00    2.08    0.00    0.00    6.25    0.00    0.00    0.00   88.54
16시 19분 24초    8    3.19    0.00    2.13    0.00    0.00    2.13    0.00    0.00    0.00   92.55
16시 19분 24초    9   12.37    0.00   16.49    0.00    0.00   19.59    0.00    0.00    0.00   51.55

16시 19분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 25초  all    5.64    0.00    8.61    0.00    0.00   16.09    0.00    0.00    0.00   69.67
16시 19분 25초    0    6.32    0.00    8.42    0.00    0.00    7.37    0.00    0.00    0.00   77.89
16시 19분 25초    1    5.05    0.00   10.10    0.00    0.00   11.11    0.00    0.00    0.00   73.74
16시 19분 25초    2   12.63    0.00   15.79    0.00    0.00   15.79    0.00    0.00    0.00   55.79
16시 19분 25초    3    8.00    0.00   13.00    0.00    0.00   12.00    0.00    0.00    0.00   67.00
16시 19분 25초    4    1.01    0.00    1.01    0.00    0.00   73.74    0.00    0.00    0.00   24.24
16시 19분 25초    5    7.45    0.00    8.51    0.00    0.00   14.89    0.00    0.00    0.00   69.15
16시 19분 25초    6    8.08    0.00   13.13    0.00    0.00    9.09    0.00    0.00    0.00   69.70
16시 19분 25초    7    2.06    0.00    2.06    0.00    0.00    6.19    0.00    0.00    0.00   89.69
16시 19분 25초    8    1.96    0.00    3.92    0.00    0.00    3.92    0.00    0.00    0.00   90.20
16시 19분 25초    9    5.10    0.00   11.22    0.00    0.00    7.14    0.00    0.00    0.00   76.53

16시 19분 25초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 26초  all    5.21    0.00    8.62    0.00    0.00   17.74    0.00    0.00    0.00   68.44
16시 19분 26초    0    8.42    0.00   13.68    0.00    0.00   18.95    0.00    0.00    0.00   58.95
16시 19분 26초    1   10.10    0.00   13.13    0.00    0.00   14.14    0.00    0.00    0.00   62.63
16시 19분 26초    2    5.94    0.00   16.83    0.00    0.00   16.83    0.00    0.00    0.00   60.40
16시 19분 26초    3    8.25    0.00   16.49    0.00    0.00   20.62    0.00    0.00    0.00   54.64
16시 19분 26초    4    0.96    0.00    0.96    0.00    0.00   74.04    0.00    0.00    0.00   24.04
16시 19분 26초    5    5.83    0.00    9.71    0.00    0.00    9.71    0.00    0.00    0.00   74.76
16시 19분 26초    6    2.02    0.00    4.04    0.00    0.00    6.06    0.00    0.00    0.00   87.88
16시 19분 26초    7    4.00    0.00    3.00    0.00    0.00    5.00    0.00    0.00    0.00   88.00
16시 19분 26초    8    2.02    0.00    4.04    1.01    0.00    2.02    0.00    0.00    0.00   90.91
16시 19분 26초    9    4.00    0.00    5.00    0.00    0.00    8.00    0.00    0.00    0.00   83.00

16시 19분 26초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 19분 27초  all    5.27    0.00    8.82    0.00    0.00   16.53    0.00    0.00    0.00   69.37
16시 19분 27초    0    6.25    0.00   13.54    0.00    0.00   12.50    0.00    0.00    0.00   67.71
16시 19분 27초    1    7.92    0.00    8.91    0.00    0.00   12.87    0.00    0.00    0.00   70.30
16시 19분 27초    2    9.28    0.00   17.53    0.00    0.00   11.34    0.00    0.00    0.00   61.86
16시 19분 27초    3    8.00    0.00    8.00    0.00    0.00   18.00    0.00    0.00    0.00   66.00
16시 19분 27초    4    0.00    0.00    0.00    0.00    0.00   73.68    0.00    0.00    0.00   26.32
16시 19분 27초    5    3.06    0.00    7.14    0.00    0.00    3.06    0.00    0.00    0.00   86.73
16시 19분 27초    6    2.94    0.00    2.94    0.00    0.00    4.90    0.00    0.00    0.00   89.22
16시 19분 27초    7    7.84    0.00   11.76    0.00    0.00   18.63    0.00    0.00    0.00   61.76
