Linux 5.4.0-58-generic (kesServer) 	2021년 02월 23일 	_x86_64_	(20 CPU)

09시 16분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 16분 49초  all   21.38    0.00   27.07    0.00    0.00   13.74    0.00    0.00    0.00   37.81
09시 16분 49초    0   21.05    0.00   28.42    0.00    0.00    8.42    0.00    0.00    0.00   42.11
09시 16분 49초    1   11.22    0.00   25.51    0.00    0.00   59.18    0.00    0.00    0.00    4.08
09시 16분 49초    2   18.75    0.00   30.21    0.00    0.00    9.38    0.00    0.00    0.00   41.67
09시 16분 49초    3   25.53    0.00   25.53    0.00    0.00    6.38    0.00    0.00    0.00   42.55
09시 16분 49초    4   17.53    0.00   31.96    0.00    0.00    9.28    0.00    0.00    0.00   41.24
09시 16분 49초    5   19.79    0.00   30.21    0.00    0.00    8.33    0.00    0.00    0.00   41.67
09시 16분 49초    6   19.15    0.00   31.91    0.00    0.00    6.38    0.00    0.00    0.00   42.55
09시 16분 49초    7   30.53    0.00   17.89    0.00    0.00    9.47    0.00    0.00    0.00   42.11
09시 16분 49초    8   26.80    0.00   23.71    0.00    0.00    8.25    0.00    0.00    0.00   41.24
09시 16분 49초    9   21.65    0.00   26.80    0.00    0.00    9.28    0.00    0.00    0.00   42.27
09시 16분 49초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 49초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

09시 16분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 16분 50초  all    5.46    0.00   12.80    0.00    0.00   24.13    0.00    0.00    0.00   57.61
09시 16분 50초    0    6.19    0.00   13.40    0.00    0.00   15.46    0.00    0.00    0.00   64.95
09시 16분 50초    1    2.00    0.00    4.00    0.00    0.00   94.00    0.00    0.00    0.00    0.00
09시 16분 50초    2    6.45    0.00   13.98    0.00    0.00   16.13    0.00    0.00    0.00   63.44
09시 16분 50초    3    6.45    0.00   12.90    0.00    0.00   15.05    0.00    0.00    0.00   65.59
09시 16분 50초    4    3.23    0.00   12.90    0.00    0.00   19.35    0.00    0.00    0.00   64.52
09시 16분 50초    5    6.12    0.00   18.37    0.00    0.00   15.31    0.00    0.00    0.00   60.20
09시 16분 50초    6    7.45    0.00   11.70    0.00    0.00   14.89    0.00    0.00    0.00   65.96
09시 16분 50초    7    6.25    0.00   12.50    0.00    0.00   18.75    0.00    0.00    0.00   62.50
09시 16분 50초    8    5.10    0.00   15.31    0.00    0.00   15.31    0.00    0.00    0.00   64.29
09시 16분 50초    9    7.29    0.00   14.58    0.00    0.00   13.54    0.00    0.00    0.00   64.58
09시 16분 50초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 50초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

09시 16분 50초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 16분 51초  all    7.45    0.00   11.70    0.00    0.00   24.95    0.00    0.00    0.00   55.90
09시 16분 51초    0    6.19    0.00   14.43    0.00    0.00   15.46    0.00    0.00    0.00   63.92
09시 16분 51초    1    1.96    0.00    2.94    0.00    0.00   94.12    0.00    0.00    0.00    0.98
09시 16분 51초    2    7.78    0.00   10.00    0.00    0.00   15.56    0.00    0.00    0.00   66.67
09시 16분 51초    3    9.38    0.00   15.62    0.00    0.00   11.46    0.00    0.00    0.00   63.54
09시 16분 51초    4    7.22    0.00   11.34    0.00    0.00   21.65    0.00    0.00    0.00   59.79
09시 16분 51초    5    8.51    0.00   11.70    0.00    0.00   18.09    0.00    0.00    0.00   61.70
09시 16분 51초    6    6.06    0.00   15.15    0.00    0.00   17.17    0.00    0.00    0.00   61.62
09시 16분 51초    7    7.77    0.00   12.62    0.00    0.00   22.33    0.00    0.00    0.00   57.28
09시 16분 51초    8   12.00    0.00   11.00    0.00    0.00   15.00    0.00    0.00    0.00   62.00
09시 16분 51초    9    8.60    0.00   10.75    1.08    0.00   13.98    0.00    0.00    0.00   65.59
09시 16분 51초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 51초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

09시 16분 51초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 16분 52초  all    7.78    0.00   13.03    0.00    0.00   25.15    0.00    0.00    0.00   54.04
09시 16분 52초    0    8.25    0.00   17.53    0.00    0.00   13.40    0.00    0.00    0.00   60.82
09시 16분 52초    1    1.01    0.00    2.02    0.00    0.00   96.97    0.00    0.00    0.00    0.00
09시 16분 52초    2    7.00    0.00   13.00    0.00    0.00   21.00    0.00    0.00    0.00   59.00
09시 16분 52초    3    8.91    0.00   14.85    0.00    0.00   17.82    0.00    0.00    0.00   58.42
09시 16분 52초    4    8.42    0.00   11.58    0.00    0.00   20.00    0.00    0.00    0.00   60.00
09시 16분 52초    5    6.06    0.00   18.18    0.00    0.00   17.17    0.00    0.00    0.00   58.59
09시 16분 52초    6    9.00    0.00   13.00    0.00    0.00   18.00    0.00    0.00    0.00   60.00
09시 16분 52초    7    6.38    0.00   10.64    0.00    0.00   21.28    0.00    0.00    0.00   61.70
09시 16분 52초    8   10.20    0.00   15.31    0.00    0.00   12.24    0.00    0.00    0.00   62.24
09시 16분 52초    9   11.00    0.00   12.00    0.00    0.00   15.00    0.00    0.00    0.00   62.00
09시 16분 52초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 52초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 52초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 52초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 16분 52초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
