Linux 5.4.0-66-generic (kesServer) 	2021년 03월 04일 	_x86_64_	(20 CPU)

23시 25분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 25분 45초  all   19.84    0.00   26.58    0.00    0.00   17.18    0.00    0.00    0.00   36.40
23시 25분 45초    0   24.24    0.00   23.23    0.00    0.00   13.13    0.00    0.00    0.00   39.39
23시 25분 45초    1   11.34    0.00   20.62    0.00    0.00   64.95    0.00    0.00    0.00    3.09
23시 25분 45초    2   26.26    0.00   20.20    0.00    0.00   14.14    0.00    0.00    0.00   39.39
23시 25분 45초    3   22.11    0.00   27.37    0.00    0.00    8.42    0.00    0.00    0.00   42.11
23시 25분 45초    4   16.67    0.00   28.12    0.00    0.00   14.58    0.00    0.00    0.00   40.62
23시 25분 45초    5   19.59    0.00   27.84    0.00    0.00   11.34    0.00    0.00    0.00   41.24
23시 25분 45초    6   23.23    0.00   29.29    0.00    0.00    9.09    0.00    0.00    0.00   38.38
23시 25분 45초    7   17.35    0.00   29.59    0.00    0.00   13.27    0.00    0.00    0.00   39.80
23시 25분 45초    8   16.00    0.00   34.00    0.00    0.00   11.00    0.00    0.00    0.00   39.00
23시 25분 45초    9   23.16    0.00   24.21    0.00    0.00   11.58    0.00    0.00    0.00   41.05
23시 25분 45초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 45초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

23시 25분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 25분 46초  all    6.41    0.00   12.51    0.00    0.00   27.98    0.00    0.00    0.00   53.10
23시 25분 46초    0    6.00    0.00   13.00    0.00    0.00   22.00    0.00    0.00    0.00   59.00
23시 25분 46초    1    0.99    0.00    0.00    0.00    0.00   99.01    0.00    0.00    0.00    0.00
23시 25분 46초    2    9.09    0.00   14.14    0.00    0.00   17.17    0.00    0.00    0.00   59.60
23시 25분 46초    3    6.12    0.00   14.29    0.00    0.00   20.41    0.00    0.00    0.00   59.18
23시 25분 46초    4    6.59    0.00   13.19    0.00    0.00   18.68    0.00    0.00    0.00   61.54
23시 25분 46초    5    7.07    0.00   14.14    0.00    0.00   19.19    0.00    0.00    0.00   59.60
23시 25분 46초    6    8.33    0.00   12.50    0.00    0.00   18.75    0.00    0.00    0.00   60.42
23시 25분 46초    7    5.15    0.00   14.43    0.00    0.00   21.65    0.00    0.00    0.00   58.76
23시 25분 46초    8    6.93    0.00   14.85    0.00    0.00   20.79    0.00    0.00    0.00   57.43
23시 25분 46초    9    6.93    0.00   14.85    0.00    0.00   19.80    0.00    0.00    0.00   58.42
23시 25분 46초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 46초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 46초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 46초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23시 25분 46초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
