Linux 5.4.0-66-generic (server3) 	2021년 03월 04일 	_x86_64_	(10 CPU)

23시 25분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 25분 45초  all    5.44    0.00    7.49    0.00    0.00   15.28    0.00    0.00    0.00   71.79
23시 25분 45초    0    5.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   87.00
23시 25분 45초    1    1.96    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   92.16
23시 25분 45초    2   10.31    0.00   14.43    0.00    0.00   18.56    0.00    0.00    0.00   56.70
23시 25분 45초    3    7.29    0.00   15.62    0.00    0.00   21.88    0.00    0.00    0.00   55.21
23시 25분 45초    4    2.15    0.00    2.15    0.00    0.00   66.67    0.00    0.00    0.00   29.03
23시 25분 45초    5    8.70    0.00   16.30    0.00    0.00   16.30    0.00    0.00    0.00   58.70
23시 25분 45초    6    3.96    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   93.07
23시 25분 45초    7    7.53    0.00    8.60    0.00    0.00   10.75    0.00    0.00    0.00   73.12
23시 25분 45초    8    1.98    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   94.06
23시 25분 45초    9    7.07    0.00    5.05    0.00    0.00   15.15    0.00    0.00    0.00   72.73

23시 25분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 25분 46초  all    4.43    0.00    8.66    0.00    0.00   20.14    0.00    0.00    0.00   66.77
23시 25분 46초    0    4.95    0.00   13.86    0.00    0.00   23.76    0.00    0.00    0.00   57.43
23시 25분 46초    1    7.84    0.00   10.78    0.00    0.00    9.80    0.00    0.00    0.00   71.57
23시 25분 46초    2    3.09    0.00    8.25    0.00    0.00   13.40    0.00    0.00    0.00   75.26
23시 25분 46초    3    3.81    0.00    9.52    0.00    0.00   16.19    0.00    0.00    0.00   70.48
23시 25분 46초    4    0.00    0.00    0.00    0.00    0.00   80.43    0.00    0.00    0.00   19.57
23시 25분 46초    5    3.92    0.00    3.92    0.00    0.00    5.88    0.00    0.00    0.00   86.27
23시 25분 46초    6    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23시 25분 46초    7    8.16    0.00   15.31    0.00    0.00   24.49    0.00    0.00    0.00   52.04
23시 25분 46초    8    9.00    0.00   18.00    0.00    0.00   27.00    0.00    0.00    0.00   46.00
23시 25분 46초    9    1.01    0.00    2.02    0.00    0.00    6.06    0.00    0.00    0.00   90.91

23시 25분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 25분 47초  all    4.22    0.00    7.92    0.00    0.00   20.27    0.00    0.00    0.00   67.59
23시 25분 47초    0    4.21    0.00   10.53    0.00    0.00   15.79    0.00    0.00    0.00   69.47
23시 25분 47초    1    8.51    0.00   12.77    0.00    0.00   21.28    0.00    0.00    0.00   57.45
23시 25분 47초    2    5.94    0.00   11.88    0.00    0.00   16.83    0.00    0.00    0.00   65.35
23시 25분 47초    3    1.98    0.00    0.99    0.00    0.00    2.97    0.00    0.00    0.00   94.06
23시 25분 47초    4    0.00    0.00    1.10    0.00    0.00   81.32    0.00    0.00    0.00   17.58
23시 25분 47초    5    5.15    0.00    5.15    0.00    0.00   13.40    0.00    0.00    0.00   76.29
23시 25분 47초    6    4.04    0.00    9.09    0.00    0.00   14.14    0.00    0.00    0.00   72.73
23시 25분 47초    7    3.16    0.00    8.42    0.00    0.00   15.79    0.00    0.00    0.00   72.63
23시 25분 47초    8    2.02    0.00    6.06    0.00    0.00    4.04    0.00    0.00    0.00   87.88
