Linux 5.4.0-66-generic (kesServer) 	2021년 03월 24일 	_x86_64_	(20 CPU)

16시 33분 27초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 33분 28초  all   19.51    0.00   27.31    0.00    0.00   14.58    0.00    0.00    0.00   38.60
16시 33분 28초    0   25.77    0.00   24.74    0.00    0.00   10.31    0.00    0.00    0.00   39.18
16시 33분 28초    1   20.00    0.00   31.00    0.00    0.00    8.00    0.00    0.00    0.00   41.00
16시 33분 28초    2   22.58    0.00   23.66    0.00    0.00    7.53    0.00    0.00    0.00   46.24
16시 33분 28초    3   16.49    0.00   26.80    0.00    0.00    9.28    0.00    0.00    0.00   47.42
16시 33분 28초    4   15.46    0.00   27.84    0.00    0.00    8.25    0.00    0.00    0.00   48.45
16시 33분 28초    5   17.89    0.00   27.37    0.00    0.00    5.26    0.00    0.00    0.00   49.47
16시 33분 28초    6   25.00    0.00   28.00    0.00    0.00    5.00    0.00    0.00    0.00   42.00
16시 33분 28초    7   15.96    0.00   28.72    0.00    0.00   27.66    0.00    0.00    0.00   27.66
16시 33분 28초    8   12.75    0.00   27.45    0.00    0.00   50.98    0.00    0.00    0.00    8.82
16시 33분 28초    9   24.49    0.00   28.57    0.00    0.00   10.20    0.00    0.00    0.00   36.73
16시 33분 28초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16시 33분 28초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

16시 33분 28초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16시 33분 29초  all    7.90    0.00   14.65    0.00    0.00   21.81    0.00    0.00    0.00   55.64
16시 33분 29초    0    8.16    0.00   21.43    0.00    0.00   14.29    0.00    0.00    0.00   56.12
16시 33분 29초    1    7.37    0.00   18.95    0.00    0.00   12.63    0.00    0.00    0.00   61.05
16시 33분 29초    2    8.79    0.00   12.09    0.00    0.00   12.09    0.00    0.00    0.00   67.03
16시 33분 29초    3    7.69    0.00   14.29    0.00    0.00    7.69    0.00    0.00    0.00   70.33
16시 33분 29초    4    8.79    0.00   10.99    0.00    0.00   10.99    0.00    0.00    0.00   69.23
