Linux 5.4.0-66-generic (server3) 	2021년 03월 22일 	_x86_64_	(10 CPU)

20시 59분 32초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 59분 33초  all    8.89    0.00   11.52    0.00    0.00   16.36    0.00    0.00    0.00   63.23
20시 59분 33초    0    7.55    0.00    6.60    0.00    0.00   12.26    0.00    0.00    0.00   73.58
20시 59분 33초    1    9.09    0.00    8.08    0.00    0.00    7.07    0.00    0.00    0.00   75.76
20시 59분 33초    2    7.07    0.00    6.06    0.00    0.00   29.29    0.00    0.00    0.00   57.58
20시 59분 33초    3    9.09    0.00   18.18    0.00    0.00    1.01    0.00    0.00    0.00   71.72
20시 59분 33초    4    9.90    0.00   13.86    0.00    0.00    8.91    0.00    0.00    0.00   67.33
20시 59분 33초    5    8.00    0.00   13.00    0.00    0.00   32.00    0.00    0.00    0.00   47.00
20시 59분 33초    6    3.09    0.00   14.43    0.00    0.00    7.22    0.00    0.00    0.00   75.26
20시 59분 33초    7   20.62    0.00   21.65    0.00    0.00   26.80    0.00    0.00    0.00   30.93
20시 59분 33초    8    8.25    0.00   10.31    0.00    0.00   10.31    0.00    0.00    0.00   71.13
20시 59분 33초    9    7.37    0.00    4.21    0.00    0.00   28.42    0.00    0.00    0.00   60.00

20시 59분 33초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 59분 34초  all    6.35    0.00    9.73    0.00    0.00   20.29    0.00    0.00    0.00   63.63
20시 59분 34초    0    7.07    0.00   14.14    0.00    0.00   15.15    0.00    0.00    0.00   63.64
20시 59분 34초    1    5.77    0.00    6.73    0.00    0.00    7.69    0.00    0.00    0.00   79.81
20시 59분 34초    2    5.49    0.00    9.89    0.00    0.00   34.07    0.00    0.00    0.00   50.55
20시 59분 34초    3    6.06    0.00   13.13    0.00    0.00   10.10    0.00    0.00    0.00   70.71
20시 59분 34초    4    2.04    0.00    5.10    0.00    0.00    3.06    0.00    0.00    0.00   89.80
20시 59분 34초    5    9.18    0.00    7.14    0.00    0.00   34.69    0.00    0.00    0.00   48.98
20시 59분 34초    6    8.16    0.00   10.20    0.00    0.00   10.20    0.00    0.00    0.00   71.43
20시 59분 34초    7    8.60    0.00   16.13    0.00    0.00   41.94    0.00    0.00    0.00   33.33
20시 59분 34초    8    8.00    0.00    8.00    0.00    0.00    8.00    0.00    0.00    0.00   76.00
20시 59분 34초    9    2.08    0.00    7.29    0.00    0.00   42.71    0.00    0.00    0.00   47.92

20시 59분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 59분 35초  all    5.69    0.00   10.96    0.00    0.00   20.71    0.00    0.00    0.00   62.64
20시 59분 35초    0    8.49    0.00   15.09    0.00    0.00   16.98    0.00    0.00    0.00   59.43
20시 59분 35초    1    3.12    0.00    5.21    0.00    0.00    3.12    0.00    0.00    0.00   88.54
20시 59분 35초    2    7.29    0.00   15.62    0.00    0.00   40.62    0.00    0.00    0.00   36.46
20시 59분 35초    3    8.00    0.00   12.00    0.00    0.00   10.00    0.00    0.00    0.00   70.00
20시 59분 35초    4    2.06    0.00    6.19    0.00    0.00    4.12    0.00    0.00    0.00   87.63
20시 59분 35초    5    4.12    0.00   11.34    0.00    0.00   31.96    0.00    0.00    0.00   52.58
20시 59분 35초    6    7.00    0.00   12.00    0.00    0.00   10.00    0.00    0.00    0.00   71.00
20시 59분 35초    7    4.26    0.00    7.45    0.00    0.00   35.11    0.00    0.00    0.00   53.19
20시 59분 35초    8    6.80    0.00   12.62    0.00    0.00   14.56    0.00    0.00    0.00   66.02
20시 59분 35초    9    4.26    0.00   10.64    0.00    0.00   43.62    0.00    0.00    0.00   41.49

20시 59분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20시 59분 36초  all    6.38    0.00    9.88    0.00    0.00   20.58    0.00    0.00    0.00   63.17
20시 59분 36초    0   10.10    0.00   12.12    0.00    0.00   15.15    0.00    0.00    0.00   62.63
20시 59분 36초    1    5.15    0.00    6.19    0.00    0.00    8.25    0.00    0.00    0.00   80.41
20시 59분 36초    2   11.96    0.00   11.96    0.00    0.00   35.87    0.00    0.00    0.00   40.22
20시 59분 36초    3    4.85    0.00   13.59    0.00    0.00   10.68    0.00    0.00    0.00   70.87
