Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

18시 55분 40초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 41초  all   16.50    0.00   35.22    0.00    0.00    4.21    0.00    0.00    0.00   44.08
18시 55분 41초    0   18.68    0.00   32.97    0.00    0.00    2.20    0.00    0.00    0.00   46.15
18시 55분 41초    1   19.78    0.00   34.07    0.00    0.00    1.10    0.00    0.00    0.00   45.05
18시 55분 41초    2   15.91    0.00   35.23    0.00    0.00    1.14    0.00    0.00    0.00   47.73
18시 55분 41초    3   17.05    0.00   34.09    0.00    0.00    2.27    0.00    0.00    0.00   46.59
18시 55분 41초    4   17.02    0.00   35.11    0.00    0.00    4.26    0.00    0.00    0.00   43.62
18시 55분 41초    5   15.38    0.00   38.46    0.00    0.00    3.85    0.00    0.00    0.00   42.31
18시 55분 41초    6   13.64    0.00   36.36    0.00    0.00    2.27    0.00    0.00    0.00   47.73
18시 55분 41초    7   18.09    0.00   34.04    0.00    0.00    4.26    0.00    0.00    0.00   43.62
18시 55분 41초    8   12.50    0.00   40.62    0.00    0.00   10.42    0.00    0.00    0.00   36.46
18시 55분 41초    9   18.95    0.00   33.68    0.00    0.00    8.42    0.00    0.00    0.00   38.95

18시 55분 41초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 42초  all    9.99    0.00   36.27    0.00    0.00    3.09    0.00    0.00    0.00   50.65
18시 55분 42초    0    8.05    0.00   37.93    0.00    0.00    2.30    0.00    0.00    0.00   51.72
18시 55분 42초    1    9.76    0.00   35.37    0.00    0.00    0.00    0.00    0.00    0.00   54.88
18시 55분 42초    2   11.11    0.00   33.33    0.00    0.00    1.23    0.00    0.00    0.00   54.32
18시 55분 42초    3   10.71    0.00   34.52    0.00    0.00    0.00    0.00    0.00    0.00   54.76
18시 55분 42초    4    9.09    0.00   35.23    0.00    0.00    4.55    0.00    0.00    0.00   51.14
18시 55분 42초    5    8.70    0.00   46.38    0.00    0.00    0.00    0.00    0.00    0.00   44.93
18시 55분 42초    6   10.47    0.00   36.05    0.00    0.00    1.16    0.00    0.00    0.00   52.33
18시 55분 42초    7   10.84    0.00   33.73    0.00    0.00    3.61    0.00    0.00    0.00   51.81
18시 55분 42초    8   10.00    0.00   35.56    0.00    0.00   10.00    0.00    0.00    0.00   44.44
18시 55분 42초    9    9.89    0.00   35.16    0.00    0.00    8.79    0.00    0.00    0.00   46.15

18시 55분 42초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 43초  all   11.37    0.00   32.61    0.00    0.00   14.60    0.00    0.00    0.00   41.42
18시 55분 43초    0    9.28    0.00   32.99    0.00    0.00   11.34    0.00    0.00    0.00   46.39
18시 55분 43초    1   11.65    0.00   31.07    0.00    0.00   12.62    0.00    0.00    0.00   44.66
18시 55분 43초    2   11.32    0.00   31.13    0.00    0.00   14.15    0.00    0.00    0.00   43.40
18시 55분 43초    3   11.01    0.00   33.94    0.00    0.00   12.84    0.00    0.00    0.00   42.20
18시 55분 43초    4   12.96    0.00   30.56    0.00    0.00   13.89    0.00    0.00    0.00   42.59
18시 55분 43초    5   12.37    0.00   38.14    0.00    0.00   15.46    0.00    0.00    0.00   34.02
18시 55분 43초    6   13.64    0.00   30.91    0.00    0.00   13.64    0.00    0.00    0.00   41.82
18시 55분 43초    7   12.04    0.00   32.41    0.00    0.00   13.89    0.00    0.00    0.00   41.67
18시 55분 43초    8    8.18    0.00   35.45    0.00    0.00   19.09    0.00    0.00    0.00   37.27
18시 55분 43초    9   11.54    0.00   28.85    0.00    0.00   19.23    0.00    0.00    0.00   40.38

18시 55분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 44초  all   11.43    0.00   37.25    0.00    0.00    4.76    0.00    0.00    0.00   46.56
18시 55분 44초    0   12.24    0.00   39.80    0.00    0.00    1.02    0.00    0.00    0.00   46.94
18시 55분 44초    1   10.75    0.00   36.56    0.00    0.00    4.30    0.00    0.00    0.00   48.39
18시 55분 44초    2   12.77    0.00   36.17    0.00    0.00    3.19    0.00    0.00    0.00   47.87
18시 55분 44초    3   12.90    0.00   34.41    0.00    0.00    2.15    0.00    0.00    0.00   50.54
18시 55분 44초    4   12.12    0.00   35.35    0.00    0.00    6.06    0.00    0.00    0.00   46.46
18시 55분 44초    5   14.46    0.00   42.17    0.00    0.00    2.41    0.00    0.00    0.00   40.96
18시 55분 44초    6    9.68    0.00   39.78    0.00    0.00    1.08    0.00    0.00    0.00   49.46
18시 55분 44초    7   11.22    0.00   35.71    0.00    0.00    6.12    0.00    0.00    0.00   46.94
18시 55분 44초    8   11.88    0.00   35.64    0.00    0.00   10.89    0.00    0.00    0.00   41.58
18시 55분 44초    9    5.21    0.00   39.58    0.00    0.00    9.38    0.00    0.00    0.00   45.83

18시 55분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 45초  all    4.86    0.00   14.58    0.00    0.00   30.40    0.00    0.00    0.00   50.17
18시 55분 45초    0    4.82    0.00   15.66    0.00    0.00   22.89    0.00    0.00    0.00   56.63
18시 55분 45초    1    2.27    0.00   17.05    0.00    0.00   27.27    0.00    0.00    0.00   53.41
18시 55분 45초    2    7.14    0.00   13.10    0.00    0.00   25.00    0.00    0.00    0.00   54.76
18시 55분 45초    3    4.65    0.00   12.79    0.00    0.00   27.91    0.00    0.00    0.00   54.65
18시 55분 45초    4    2.38    0.00   15.48    0.00    0.00   27.38    0.00    0.00    0.00   54.76
18시 55분 45초    5    3.67    0.00    9.17    0.00    0.00   56.88    0.00    0.00    0.00   30.28
18시 55분 45초    6    7.14    0.00   14.29    0.00    0.00   23.81    0.00    0.00    0.00   54.76
18시 55분 45초    7    5.75    0.00   19.54    0.00    0.00   22.99    0.00    0.00    0.00   51.72
18시 55분 45초    8    6.90    0.00   14.94    0.00    0.00   29.89    0.00    0.00    0.00   48.28
18시 55분 45초    9    5.49    0.00   13.19    0.00    0.00   32.97    0.00    0.00    0.00   48.35

18시 55분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 46초  all    9.92    0.00   33.97    0.00    0.00   11.32    0.00    0.00    0.00   44.79
18시 55분 46초    0    8.08    0.00   36.36    0.00    0.00    9.09    0.00    0.00    0.00   46.46
18시 55분 46초    1   10.89    0.00   31.68    0.00    0.00   10.89    0.00    0.00    0.00   46.53
18시 55분 46초    2   10.68    0.00   34.95    0.00    0.00    8.74    0.00    0.00    0.00   45.63
18시 55분 46초    3    8.16    0.00   35.71    0.00    0.00    8.16    0.00    0.00    0.00   47.96
18시 55분 46초    4   10.48    0.00   34.29    0.00    0.00   10.48    0.00    0.00    0.00   44.76
18시 55분 46초    5    9.52    0.00   39.29    0.00    0.00   10.71    0.00    0.00    0.00   40.48
18시 55분 46초    6   11.65    0.00   33.98    0.00    0.00    8.74    0.00    0.00    0.00   45.63
18시 55분 46초    7   11.76    0.00   32.35    0.00    0.00   11.76    0.00    0.00    0.00   44.12
18시 55분 46초    8    7.84    0.00   30.39    0.00    0.00   18.63    0.00    0.00    0.00   43.14
18시 55분 46초    9   10.89    0.00   31.68    0.00    0.00   13.86    0.00    0.00    0.00   43.56

18시 55분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 47초  all    8.17    0.00   27.89    0.00    0.00   24.50    0.00    0.00    0.00   39.45
18시 55분 47초    0    8.26    0.00   27.52    0.00    0.00   22.94    0.00    0.00    0.00   41.28
18시 55분 47초    1    6.96    0.00   28.70    0.00    0.00   25.22    0.00    0.00    0.00   39.13
18시 55분 47초    2    8.57    0.00   25.71    0.00    0.00   23.81    0.00    0.00    0.00   41.90
18시 55분 47초    3    7.62    0.00   26.67    0.00    0.00   23.81    0.00    0.00    0.00   41.90
18시 55분 47초    4    8.85    0.00   27.43    0.00    0.00   23.89    0.00    0.00    0.00   39.82
18시 55분 47초    5    8.16    0.00   31.63    0.00    0.00   26.53    0.00    0.00    0.00   33.67
18시 55분 47초    6    9.62    0.00   26.92    0.00    0.00   19.23    0.00    0.00    0.00   44.23
18시 55분 47초    7    9.57    0.00   24.35    0.00    0.00   27.83    0.00    0.00    0.00   38.26
18시 55분 47초    8    5.31    0.00   30.97    0.00    0.00   26.55    0.00    0.00    0.00   37.17
18시 55분 47초    9    8.55    0.00   29.06    0.00    0.00   26.50    0.00    0.00    0.00   35.90

18시 55분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 48초  all    9.71    0.00   25.19    0.00    0.00   19.85    0.00    0.00    0.00   45.25
18시 55분 48초    0    8.60    0.00   25.81    0.00    0.00   17.20    0.00    0.00    0.00   48.39
18시 55분 48초    1    4.49    0.00   25.84    0.00    0.00   17.98    0.00    0.00    0.00   51.69
18시 55분 48초    2    8.60    0.00   27.96    0.00    0.00   13.98    0.00    0.00    0.00   49.46
18시 55분 48초    3    7.69    0.00   25.27    0.00    0.00   16.48    0.00    0.00    0.00   50.55
18시 55분 48초    4    7.37    0.00   27.37    0.00    0.00   18.95    0.00    0.00    0.00   46.32
18시 55분 48초    5    9.62    0.00   19.23    0.00    0.00   41.35    0.00    0.00    0.00   29.81
18시 55분 48초    6   11.11    0.00   25.56    0.00    0.00   13.33    0.00    0.00    0.00   50.00
18시 55분 48초    7   10.87    0.00   26.09    0.00    0.00   16.30    0.00    0.00    0.00   46.74
18시 55분 48초    8   16.13    0.00   26.88    0.00    0.00   17.20    0.00    0.00    0.00   39.78
18시 55분 48초    9   11.58    0.00   23.16    0.00    0.00   21.05    0.00    0.00    0.00   44.21

18시 55분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 49초  all    6.49    0.00   19.47    0.00    0.00   22.84    0.00    0.00    0.00   51.20
18시 55분 49초    0    5.13    0.00   17.95    0.00    0.00   19.23    0.00    0.00    0.00   57.69
18시 55분 49초    1    6.98    0.00   25.58    0.00    0.00   16.28    0.00    0.00    0.00   51.16
18시 55분 49초    2    6.10    0.00   20.73    0.00    0.00   18.29    0.00    0.00    0.00   54.88
18시 55분 49초    3    5.06    0.00   18.99    0.00    0.00   18.99    0.00    0.00    0.00   56.96
18시 55분 49초    4    7.59    0.00   18.99    0.00    0.00   17.72    0.00    0.00    0.00   55.70
18시 55분 49초    5    1.09    0.00   10.87    0.00    0.00   52.17    0.00    0.00    0.00   35.87
18시 55분 49초    6    8.86    0.00   16.46    0.00    0.00   17.72    0.00    0.00    0.00   56.96
18시 55분 49초    7   12.20    0.00   19.51    0.00    0.00   17.07    0.00    0.00    0.00   51.22
18시 55분 49초    8    7.14    0.00   19.05    0.00    0.00   26.19    0.00    0.00    0.00   47.62
18시 55분 49초    9    6.74    0.00   25.84    0.00    0.00   21.35    0.00    0.00    0.00   46.07

18시 55분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 50초  all    3.29    0.00    7.06    0.00    0.00   47.98    0.00    0.00    0.00   41.67
18시 55분 50초    0    1.90    0.00    9.52    0.00    0.00   44.76    0.00    0.00    0.00   43.81
18시 55분 50초    1    2.78    0.00    6.48    0.00    0.00   48.15    0.00    0.00    0.00   42.59
18시 55분 50초    2    3.67    0.00    8.26    0.00    0.00   45.87    0.00    0.00    0.00   42.20
18시 55분 50초    3    4.76    0.00    5.71    0.00    0.00   44.76    0.00    0.00    0.00   44.76
18시 55분 50초    4    1.85    0.00    7.41    0.00    0.00   47.22    0.00    0.00    0.00   43.52
18시 55분 50초    5    3.60    0.00    3.60    0.00    0.00   60.36    0.00    0.00    0.00   32.43
18시 55분 50초    6    2.88    0.00    5.77    0.00    0.00   45.19    0.00    0.00    0.00   46.15
18시 55분 50초    7    1.94    0.00    8.74    0.00    0.00   46.60    0.00    0.00    0.00   42.72
18시 55분 50초    8    3.74    0.00    9.35    0.00    0.00   47.66    0.00    0.00    0.00   39.25
18시 55분 50초    9    3.81    0.00    5.71    0.00    0.00   48.57    0.00    0.00    0.00   41.90

18시 55분 50초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18시 55분 51초  all   12.00    0.00   35.43    0.00    0.00   17.72    0.00    0.00    0.00   34.85
18시 55분 51초    0   10.40    0.00   38.40    0.00    0.00   16.80    0.00    0.00    0.00   34.40
18시 55분 51초    1   13.33    0.00   33.33    0.00    0.00   16.67    0.00    0.00    0.00   36.67
18시 55분 51초    2    9.32    0.00   34.75    0.00    0.00   19.49    0.00    0.00    0.00   36.44
18시 55분 51초    3   10.74    0.00   36.36    0.00    0.00   15.70    0.00    0.00    0.00   37.19
18시 55분 51초    4   13.93    0.00   31.15    0.00    0.00   18.85    0.00    0.00    0.00   36.07
18시 55분 51초    5   13.89    0.00   39.81    0.00    0.00   16.67    0.00    0.00    0.00   29.63
18시 55분 51초    6   10.24    0.00   35.43    0.00    0.00   20.47    0.00    0.00    0.00   33.86
18시 55분 51초    7   12.30    0.00   35.25    0.00    0.00   17.21    0.00    0.00    0.00   35.25
18시 55분 51초    8   13.93    0.00   35.25    0.00    0.00   18.03    0.00    0.00    0.00   32.79
18시 55분 51초    9   12.61    0.00   36.13    0.00    0.00   16.81    0.00    0.00    0.00   34.45

