Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

18시 55분 40초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18시 56분 10초  1000     20097         -   74.20  100.00    0.00    0.03  100.00     3  memaslap
18시 56분 10초  1000         -     20112    4.32   19.65    0.00    4.09   23.97     7  |__memaslap
18시 56분 10초  1000         -     20113    4.99   21.01    0.00    4.36   26.00     4  |__memaslap
18시 56분 10초  1000         -     20114    4.65   20.01    0.00    4.39   24.67     5  |__memaslap
18시 56분 10초  1000         -     20115    4.99   21.44    0.00    4.36   26.43     3  |__memaslap
18시 56분 10초  1000         -     20116    4.52   19.58    0.00    4.12   24.10     2  |__memaslap
18시 56분 10초  1000         -     20117    4.82   21.08    0.00    4.55   25.90     4  |__memaslap
18시 56분 10초  1000         -     20118    4.42   19.71    0.00    4.12   24.14     6  |__memaslap
18시 56분 10초  1000         -     20119    4.79   20.88    0.00    4.59   25.66     2  |__memaslap
18시 56분 10초  1000         -     20120    4.52   19.35    0.00    4.32   23.87     7  |__memaslap
18시 56분 10초  1000         -     20121    4.65   21.04    0.00    4.65   25.70     0  |__memaslap
18시 56분 10초  1000         -     20122    4.55   19.45    0.00    4.26   24.00     0  |__memaslap
18시 56분 10초  1000         -     20123    5.02   21.04    0.00    4.45   26.06     8  |__memaslap
18시 56분 10초  1000         -     20124    4.32   19.78    0.00    4.06   24.10     7  |__memaslap
18시 56분 10초  1000         -     20125    3.99   21.78    0.00    4.79   25.76     1  |__memaslap
18시 56분 10초  1000         -     20126    4.59   20.38    0.00    4.36   24.97     2  |__memaslap
18시 56분 10초  1000         -     20127    4.99   20.98    0.00    4.52   25.96     5  |__memaslap

18시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
18시 56분 40초  1000     20097         -   76.03  100.00    0.00    0.00  100.00     5  memaslap
18시 56분 40초  1000         -     20112    4.70   19.83    0.00    4.43   24.53     8  |__memaslap
18시 56분 40초  1000         -     20113    4.93   21.50    0.00    4.53   26.43     0  |__memaslap
18시 56분 40초  1000         -     20114    4.83   19.87    0.00    4.67   24.70     6  |__memaslap
18시 56분 40초  1000         -     20115    4.83   21.60    0.00    4.40   26.43     1  |__memaslap
18시 56분 40초  1000         -     20116    4.73   19.30    0.00    3.93   24.03     8  |__memaslap
18시 56분 40초  1000         -     20117    5.23   20.80    0.00    4.30   26.03     4  |__memaslap
18시 56분 40초  1000         -     20118    4.77   19.37    0.00    4.30   24.13     8  |__memaslap
18시 56분 40초  1000         -     20119    4.87   21.27    0.00    4.57   26.13     2  |__memaslap
18시 56분 40초  1000         -     20120    4.57   19.77    0.00    4.07   24.33     7  |__memaslap
18시 56분 40초  1000         -     20121    5.10   20.67    0.00    4.30   25.77     1  |__memaslap
18시 56분 40초  1000         -     20122    4.67   19.17    0.00    4.00   23.83     4  |__memaslap
18시 56분 40초  1000         -     20123    4.40   21.73    0.00    4.37   26.13     7  |__memaslap
18시 56분 40초  1000         -     20124    4.20   20.00    0.00    3.97   24.20     1  |__memaslap
18시 56분 40초  1000         -     20125    4.93   21.60    0.00    4.30   26.53     0  |__memaslap
18시 56분 40초  1000         -     20126    4.40   20.53    0.00    4.47   24.93     5  |__memaslap
18시 56분 40초  1000         -     20127    4.87   21.00    0.00    4.60   25.87     5  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     20097         -   75.12  100.00    0.00    0.02  100.00     -  memaslap
Average:     1000         -     20112    4.51   19.74    0.00    4.26   24.25     -  |__memaslap
Average:     1000         -     20113    4.96   21.25    0.00    4.44   26.22     -  |__memaslap
Average:     1000         -     20114    4.74   19.94    0.00    4.53   24.68     -  |__memaslap
Average:     1000         -     20115    4.91   21.52    0.00    4.38   26.43     -  |__memaslap
Average:     1000         -     20116    4.63   19.44    0.00    4.03   24.07     -  |__memaslap
Average:     1000         -     20117    5.03   20.94    0.00    4.43   25.97     -  |__memaslap
Average:     1000         -     20118    4.59   19.54    0.00    4.21   24.13     -  |__memaslap
Average:     1000         -     20119    4.83   21.07    0.00    4.58   25.90     -  |__memaslap
Average:     1000         -     20120    4.54   19.56    0.00    4.19   24.10     -  |__memaslap
Average:     1000         -     20121    4.88   20.86    0.00    4.48   25.73     -  |__memaslap
Average:     1000         -     20122    4.61   19.31    0.00    4.13   23.92     -  |__memaslap
Average:     1000         -     20123    4.71   21.39    0.00    4.41   26.10     -  |__memaslap
Average:     1000         -     20124    4.26   19.89    0.00    4.01   24.15     -  |__memaslap
Average:     1000         -     20125    4.46   21.69    0.00    4.54   26.15     -  |__memaslap
Average:     1000         -     20126    4.49   20.46    0.00    4.41   24.95     -  |__memaslap
Average:     1000         -     20127    4.93   20.99    0.00    4.56   25.92     -  |__memaslap
