Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

17시 23분 54초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 55초  all   15.09    0.00   30.40    0.00    0.00    8.58    0.00    0.00    0.00   45.93
17시 23분 55초    0   16.85    0.00   29.21    0.00    0.00    4.49    0.00    0.00    0.00   49.44
17시 23분 55초    1   13.98    0.00   31.18    0.00    0.00    7.53    0.00    0.00    0.00   47.31
17시 23분 55초    2   15.05    0.00   31.18    0.00    0.00    6.45    0.00    0.00    0.00   47.31
17시 23분 55초    3   17.58    0.00   32.97    0.00    0.00    6.59    0.00    0.00    0.00   42.86
17시 23분 55초    4   14.43    0.00   34.02    0.00    0.00    6.19    0.00    0.00    0.00   45.36
17시 23분 55초    5   17.39    0.00   25.00    0.00    0.00    8.70    0.00    0.00    0.00   48.91
17시 23분 55초    6   13.75    0.00   23.75    0.00    0.00   18.75    0.00    0.00    0.00   43.75
17시 23분 55초    7   15.62    0.00   27.08    0.00    0.00   13.54    0.00    0.00    0.00   43.75
17시 23분 55초    8   11.83    0.00   33.33    0.00    0.00    7.53    0.00    0.00    0.00   47.31
17시 23분 55초    9   12.37    0.00   36.08    0.00    0.00    7.22    0.00    0.00    0.00   44.33

17시 23분 55초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 56초  all    7.20    0.00   21.70    0.00    0.00   22.92    0.00    0.00    0.00   48.17
17시 23분 56초    0    5.38    0.00   20.43    0.00    0.00   21.51    0.00    0.00    0.00   52.69
17시 23분 56초    1    7.84    0.00   21.57    0.00    0.00   23.53    0.00    0.00    0.00   47.06
17시 23분 56초    2    7.07    0.00   20.20    0.00    0.00   23.23    0.00    0.00    0.00   49.49
17시 23분 56초    3    6.25    0.00   19.79    0.00    0.00   21.88    0.00    0.00    0.00   52.08
17시 23분 56초    4    5.83    0.00   24.27    0.00    0.00   21.36    0.00    0.00    0.00   48.54
17시 23분 56초    5    7.55    0.00   23.58    0.00    0.00   21.70    0.00    0.00    0.00   47.17
17시 23분 56초    6   10.98    0.00   18.29    0.00    0.00   26.83    0.00    0.00    0.00   43.90
17시 23분 56초    7    7.92    0.00   21.78    0.00    0.00   25.74    0.00    0.00    0.00   44.55
17시 23분 56초    8    7.92    0.00   23.76    0.00    0.00   21.78    0.00    0.00    0.00   46.53
17시 23분 56초    9    8.91    0.00   20.79    0.00    0.00   21.78    0.00    0.00    0.00   48.51

17시 23분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 57초  all    2.50    0.00    7.60    0.10    0.00   42.88    0.00    0.00    0.00   46.92
17시 23분 57초    0    1.92    0.00    6.73    0.00    0.00   42.31    0.00    0.00    0.00   49.04
17시 23분 57초    1    0.98    0.00    7.84    0.00    0.00   41.18    0.00    0.00    0.00   50.00
17시 23분 57초    2    3.92    0.00    7.84    0.00    0.00   38.24    0.00    0.00    0.00   50.00
17시 23분 57초    3    3.85    0.00    7.69    0.00    0.00   39.42    0.00    0.00    0.00   49.04
17시 23분 57초    4    0.00    0.00    5.88    0.00    0.00   45.10    0.00    0.00    0.00   49.02
17시 23분 57초    5    1.90    0.00   10.48    0.00    0.00   39.05    0.00    0.00    0.00   48.57
17시 23분 57초    6    1.83    0.00    5.50    0.00    0.00   57.80    0.00    0.00    0.00   34.86
17시 23분 57초    7    2.75    0.00   10.09    0.00    0.00   42.20    0.00    0.00    0.00   44.95
17시 23분 57초    8    3.81    0.00    8.57    0.00    0.00   40.00    0.00    0.00    0.00   47.62
17시 23분 57초    9    0.98    0.00    7.84    0.00    0.00   43.14    0.00    0.00    0.00   48.04

17시 23분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 58초  all   12.07    0.00   34.64    0.00    0.00   14.40    0.00    0.00    0.00   38.88
17시 23분 58초    0   14.52    0.00   33.87    0.00    0.00   12.90    0.00    0.00    0.00   38.71
17시 23분 58초    1   12.40    0.00   34.71    0.00    0.00   14.05    0.00    0.00    0.00   38.84
17시 23분 58초    2   13.82    0.00   32.52    0.00    0.00   14.63    0.00    0.00    0.00   39.02
17시 23분 58초    3   12.00    0.00   32.80    0.00    0.00   16.80    0.00    0.00    0.00   38.40
17시 23분 58초    4    9.76    0.00   34.96    0.00    0.00   15.45    0.00    0.00    0.00   39.84
17시 23분 58초    5   14.88    0.00   32.23    0.00    0.00   12.40    0.00    0.00    0.00   40.50
17시 23분 58초    6   13.21    0.00   41.51    0.00    0.00   11.32    0.00    0.00    0.00   33.96
17시 23분 58초    7   11.57    0.00   32.23    0.00    0.00   19.83    0.00    0.00    0.00   36.36
17시 23분 58초    8    9.48    0.00   35.34    0.00    0.00   13.79    0.00    0.00    0.00   41.38
17시 23분 58초    9   11.02    0.00   36.44    0.00    0.00   12.71    0.00    0.00    0.00   39.83

17시 23분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 59초  all   10.92    0.00   33.19    0.00    0.00    6.93    0.00    0.00    0.00   48.95
17시 23분 59초    0   11.58    0.00   34.74    0.00    0.00    3.16    0.00    0.00    0.00   50.53
17시 23분 59초    1   12.24    0.00   32.65    0.00    0.00    6.12    0.00    0.00    0.00   48.98
17시 23분 59초    2    9.38    0.00   38.54    0.00    0.00    3.12    0.00    0.00    0.00   48.96
17시 23분 59초    3   12.50    0.00   29.17    0.00    0.00    7.29    0.00    0.00    0.00   51.04
17시 23분 59초    4   10.20    0.00   31.63    0.00    0.00    8.16    0.00    0.00    0.00   50.00
17시 23분 59초    5   11.83    0.00   30.11    0.00    0.00    5.38    0.00    0.00    0.00   52.69
17시 23분 59초    6   10.81    0.00   36.49    0.00    0.00    4.05    0.00    0.00    0.00   48.65
17시 23분 59초    7    9.90    0.00   33.66    0.00    0.00   10.89    0.00    0.00    0.00   45.54
17시 23분 59초    8    9.80    0.00   33.33    0.00    0.00    9.80    0.00    0.00    0.00   47.06
17시 23분 59초    9    9.90    0.00   32.67    0.00    0.00    9.90    0.00    0.00    0.00   47.52

17시 23분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 24분 00초  all   12.89    0.00   36.04    0.00    0.00    5.27    0.00    0.00    0.00   45.80
17시 24분 00초    0   11.76    0.00   39.22    0.00    0.00    1.96    0.00    0.00    0.00   47.06
17시 24분 00초    1   12.50    0.00   35.58    0.00    0.00    4.81    0.00    0.00    0.00   47.12
17시 24분 00초    2   15.09    0.00   36.79    0.00    0.00    1.89    0.00    0.00    0.00   46.23
17시 24분 00초    3   10.58    0.00   36.54    0.00    0.00    5.77    0.00    0.00    0.00   47.12
17시 24분 00초    4   11.11    0.00   34.26    0.00    0.00    9.26    0.00    0.00    0.00   45.37
17시 24분 00초    5   11.00    0.00   35.00    0.00    0.00    5.00    0.00    0.00    0.00   49.00
17시 24분 00초    6   16.47    0.00   40.00    0.00    0.00    1.18    0.00    0.00    0.00   42.35
17시 24분 00초    7   16.04    0.00   33.02    0.00    0.00    9.43    0.00    0.00    0.00   41.51
17시 24분 00초    8   13.46    0.00   34.62    0.00    0.00    5.77    0.00    0.00    0.00   46.15
17시 24분 00초    9   12.87    0.00   35.64    0.00    0.00    4.95    0.00    0.00    0.00   46.53

17시 24분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 24분 01초  all    9.89    0.00   36.51    0.00    0.00   11.38    0.00    0.00    0.00   42.21
17시 24분 01초    0    9.48    0.00   36.21    0.00    0.00   11.21    0.00    0.00    0.00   43.10
17시 24분 01초    1    7.14    0.00   34.82    0.00    0.00   14.29    0.00    0.00    0.00   43.75
17시 24분 01초    2   11.11    0.00   37.61    0.00    0.00    9.40    0.00    0.00    0.00   41.88
17시 24분 01초    3    8.70    0.00   33.91    0.00    0.00   13.91    0.00    0.00    0.00   43.48
