Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

17시 23분 54초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17시 24분 24초  1000     27376         -   76.67  100.00    0.00    0.00  100.00     5  memaslap
17시 24분 24초  1000         -     27395    4.83   17.84    0.00    3.99   22.66     5  |__memaslap
17시 24분 24초  1000         -     27396    4.89   17.30    0.00    4.13   22.20     7  |__memaslap
17시 24분 24초  1000         -     27397    4.53   18.24    0.00    4.43   22.76     5  |__memaslap
17시 24분 24초  1000         -     27398    4.66   18.04    0.00    4.26   22.70     2  |__memaslap
17시 24분 24초  1000         -     27399    4.89   17.97    0.00    4.23   22.86     0  |__memaslap
17시 24분 24초  1000         -     27400    4.79   18.10    0.00    4.09   22.90     6  |__memaslap
17시 24분 24초  1000         -     27401    4.56   17.64    0.00    3.63   22.20     9  |__memaslap
17시 24분 24초  1000         -     27402    5.09   17.44    0.00    4.03   22.53     5  |__memaslap
17시 24분 24초  1000         -     27403    5.22   17.20    0.00    4.06   22.43     3  |__memaslap
17시 24분 24초  1000         -     27404    5.06   17.17    0.00    3.99   22.23     3  |__memaslap
17시 24분 24초  1000         -     27405    4.73   18.07    0.00    4.13   22.80     7  |__memaslap
17시 24분 24초  1000         -     27406    4.76   17.74    0.00    4.06   22.50     8  |__memaslap
17시 24분 24초  1000         -     27407    4.56   18.24    0.00    3.93   22.80     1  |__memaslap
17시 24분 24초  1000         -     27408    4.69   17.70    0.00    3.99   22.40     1  |__memaslap
17시 24분 24초  1000         -     27410    4.63   18.17    0.00    3.96   22.80     9  |__memaslap
17시 24분 24초  1000         -     27419    4.76   18.07    0.00    4.09   22.83     2  |__memaslap

17시 24분 24초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17시 24분 54초  1000     27376         -   80.73  100.00    0.00    0.00  100.00     3  memaslap
17시 24분 54초  1000         -     27395    5.07   18.00    0.00    3.87   23.07     9  |__memaslap
17시 24분 54초  1000         -     27396    4.90   17.67    0.00    3.50   22.57     7  |__memaslap
17시 24분 54초  1000         -     27397    5.07   17.80    0.00    3.97   22.87     0  |__memaslap
17시 24분 54초  1000         -     27398    4.83   17.70    0.00    3.83   22.53     7  |__memaslap
17시 24분 54초  1000         -     27399    5.23   17.63    0.00    3.73   22.87     6  |__memaslap
17시 24분 54초  1000         -     27400    5.17   17.30    0.00    3.80   22.47     3  |__memaslap
17시 24분 54초  1000         -     27401    5.20   17.97    0.00    3.90   23.17     7  |__memaslap
17시 24분 54초  1000         -     27402    4.67   17.57    0.00    3.87   22.23     9  |__memaslap
17시 24분 54초  1000         -     27403    5.43   17.80    0.00    4.03   23.23     5  |__memaslap
17시 24분 54초  1000         -     27404    4.97   17.10    0.00    3.70   22.07     2  |__memaslap
17시 24분 54초  1000         -     27405    5.07   17.87    0.00    3.77   22.93     3  |__memaslap
17시 24분 54초  1000         -     27406    5.40   17.23    0.00    3.90   22.63     3  |__memaslap
17시 24분 54초  1000         -     27407    4.67   18.27    0.00    3.70   22.93     9  |__memaslap
17시 24분 54초  1000         -     27408    5.03   17.47    0.00    3.77   22.50     1  |__memaslap
17시 24분 54초  1000         -     27410    5.10   18.17    0.00    3.73   23.27     8  |__memaslap
17시 24분 54초  1000         -     27419    4.87   17.77    0.00    4.00   22.63     7  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     27376         -   78.70  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     27395    4.95   17.92    0.00    3.93   22.86     -  |__memaslap
Average:     1000         -     27396    4.90   17.49    0.00    3.81   22.38     -  |__memaslap
Average:     1000         -     27397    4.80   18.02    0.00    4.20   22.81     -  |__memaslap
Average:     1000         -     27398    4.75   17.87    0.00    4.05   22.61     -  |__memaslap
Average:     1000         -     27399    5.06   17.80    0.00    3.98   22.86     -  |__memaslap
Average:     1000         -     27400    4.98   17.70    0.00    3.95   22.68     -  |__memaslap
Average:     1000         -     27401    4.88   17.80    0.00    3.76   22.68     -  |__memaslap
Average:     1000         -     27402    4.88   17.50    0.00    3.95   22.38     -  |__memaslap
Average:     1000         -     27403    5.33   17.50    0.00    4.05   22.83     -  |__memaslap
Average:     1000         -     27404    5.01   17.14    0.00    3.85   22.15     -  |__memaslap
Average:     1000         -     27405    4.90   17.97    0.00    3.95   22.86     -  |__memaslap
Average:     1000         -     27406    5.08   17.49    0.00    3.98   22.56     -  |__memaslap
Average:     1000         -     27407    4.61   18.25    0.00    3.81   22.86     -  |__memaslap
Average:     1000         -     27408    4.86   17.59    0.00    3.88   22.45     -  |__memaslap
Average:     1000         -     27410    4.86   18.17    0.00    3.85   23.03     -  |__memaslap
Average:     1000         -     27419    4.81   17.92    0.00    4.05   22.73     -  |__memaslap
