Linux 5.4.0-73-generic (server3) 	2021년 06월 29일 	_x86_64_	(10 CPU)

17시 23분 55초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 56초  all   10.69    0.00   11.29    0.00    0.00   24.28    0.00    0.00    0.00   53.75
17시 23분 56초    0   20.79    0.00   18.81    0.00    0.00   43.56    0.00    0.00    0.00   16.83
17시 23분 56초    1    1.92    0.00    2.88    0.00    0.00    6.73    0.00    0.00    0.00   88.46
17시 23분 56초    2   12.12    0.00   13.13    0.00    0.00   34.34    0.00    0.00    0.00   40.40
17시 23분 56초    3    9.71    0.00   13.59    0.00    0.00   12.62    0.00    0.00    0.00   64.08
17시 23분 56초    4   12.12    0.00   17.17    0.00    0.00   33.33    0.00    0.00    0.00   37.37
17시 23분 56초    5    7.37    0.00    7.37    0.00    0.00   38.95    0.00    0.00    0.00   46.32
17시 23분 56초    6    8.00    0.00    2.00    0.00    0.00   17.00    0.00    0.00    0.00   73.00
17시 23분 56초    7   11.00    0.00   14.00    0.00    0.00   11.00    0.00    0.00    0.00   64.00
17시 23분 56초    8   16.83    0.00   13.86    0.00    0.00   26.73    0.00    0.00    0.00   42.57
17시 23분 56초    9    8.25    0.00   11.34    0.00    0.00   18.56    0.00    0.00    0.00   61.86

17시 23분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 57초  all    9.47    0.00    9.97    0.00    0.00   23.13    0.00    0.00    0.00   57.43
17시 23분 57초    0    1.90    0.00    1.90    0.00    0.00    4.76    0.00    0.00    0.00   91.43
17시 23분 57초    1   14.85    0.00   14.85    0.00    0.00   35.64    0.00    0.00    0.00   34.65
17시 23분 57초    2   16.00    0.00   21.00    0.00    0.00   45.00    0.00    0.00    0.00   18.00
17시 23분 57초    3    4.76    0.00    3.81    0.95    0.00   17.14    0.00    0.00    0.00   73.33
17시 23분 57초    4    3.03    0.00    4.04    0.00    0.00    7.07    0.00    0.00    0.00   85.86
17시 23분 57초    5   21.05    0.00   20.00    0.00    0.00   42.11    0.00    0.00    0.00   16.84
17시 23분 57초    6    1.96    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   94.12
17시 23분 57초    7   13.00    0.00   17.00    0.00    0.00   32.00    0.00    0.00    0.00   38.00
17시 23분 57초    8   17.53    0.00   13.40    0.00    0.00   50.52    0.00    0.00    0.00   18.56
17시 23분 57초    9    1.96    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   95.10

17시 23분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 58초  all    9.92    0.00   12.93    0.00    0.00   19.24    0.00    0.00    0.00   57.92
17시 23분 58초    0    1.87    0.00    1.87    0.00    0.00    8.41    0.00    0.00    0.00   87.85
17시 23분 58초    1    5.88    0.00   10.78    0.00    0.00    6.86    0.00    0.00    0.00   76.47
17시 23분 58초    2   21.43    0.00   28.57    0.00    0.00   48.98    0.00    0.00    0.00    1.02
17시 23분 58초    3    0.98    0.00    0.98    0.00    0.00    2.94    0.00    0.00    0.00   95.10
17시 23분 58초    4    1.01    0.00    1.01    0.00    0.00    3.03    0.00    0.00    0.00   94.95
17시 23분 58초    5   18.28    0.00   26.88    0.00    0.00   36.56    0.00    0.00    0.00   18.28
17시 23분 58초    6    1.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
17시 23분 58초    7   21.21    0.00   29.29    0.00    0.00   46.46    0.00    0.00    0.00    3.03
17시 23분 58초    8   25.51    0.00   31.63    0.00    0.00   41.84    0.00    0.00    0.00    1.02
17시 23분 58초    9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

17시 23분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 23분 59초  all   10.07    0.00   10.37    0.00    0.00   23.03    0.00    0.00    0.00   56.53
17시 23분 59초    0    1.85    0.00    0.93    0.00    0.00    7.41    0.00    0.00    0.00   89.81
17시 23분 59초    1   11.11    0.00   13.13    0.00    0.00   27.27    0.00    0.00    0.00   48.48
17시 23분 59초    2   10.10    0.00   12.12    0.00    0.00   29.29    0.00    0.00    0.00   48.48
17시 23분 59초    3   14.00    0.00    9.00    0.00    0.00   25.00    0.00    0.00    0.00   52.00
17시 23분 59초    4    0.98    0.00    0.98    0.00    0.00    2.94    0.00    0.00    0.00   95.10
17시 23분 59초    5    9.57    0.00   10.64    0.00    0.00   29.79    0.00    0.00    0.00   50.00
17시 23분 59초    6   10.00    0.00    6.00    0.00    0.00    6.00    0.00    0.00    0.00   78.00
17시 23분 59초    7   21.00    0.00   25.00    0.00    0.00   53.00    0.00    0.00    0.00    1.00
17시 23분 59초    8   21.21    0.00   25.25    0.00    0.00   51.52    0.00    0.00    0.00    2.02
17시 23분 59초    9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

17시 23분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 24분 00초  all   12.13    0.00   13.02    0.00    0.00   19.48    0.00    0.00    0.00   55.37
17시 24분 00초    0    3.85    0.00    1.92    0.00    0.00    7.69    0.00    0.00    0.00   86.54
17시 24분 00초    1   24.75    0.00   28.71    0.00    0.00   42.57    0.00    0.00    0.00    3.96
17시 24분 00초    2   19.80    0.00   32.67    0.00    0.00   43.56    0.00    0.00    0.00    3.96
17시 24분 00초    3    3.96    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   88.12
17시 24분 00초    4    6.93    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   90.10
17시 24분 00초    5   28.28    0.00   28.28    0.00    0.00   40.40    0.00    0.00    0.00    3.03
17시 24분 00초    6    7.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
17시 24분 00초    7   21.00    0.00   27.00    0.00    0.00   51.00    0.00    0.00    0.00    1.00
17시 24분 00초    8    5.00    0.00    2.00    0.00    0.00    4.00    0.00    0.00    0.00   89.00
17시 24분 00초    9    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06

17시 24분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 24분 01초  all   11.50    0.00   13.20    0.10    0.00   17.90    0.00    0.00    0.00   57.30
17시 24분 01초    0    1.87    0.00    1.87    0.00    0.00    7.48    0.00    0.00    0.00   88.79
17시 24분 01초    1    4.04    0.00    2.02    0.00    0.00    3.03    0.00    0.00    0.00   90.91
17시 24분 01초    2   24.24    0.00   29.29    0.00    0.00   44.44    0.00    0.00    0.00    2.02
17시 24분 01초    3    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
17시 24분 01초    4   25.74    0.00   26.73    0.00    0.00   41.58    0.00    0.00    0.00    5.94
17시 24분 01초    5   23.23    0.00   32.32    0.00    0.00   43.43    0.00    0.00    0.00    1.01
17시 24분 01초    6    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
17시 24분 01초    7   28.28    0.00   31.31    0.00    0.00   39.39    0.00    0.00    0.00    1.01
17시 24분 01초    8    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
17시 24분 01초    9    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92

17시 24분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 24분 02초  all   10.50    0.00   12.76    0.00    0.00   21.00    0.00    0.00    0.00   55.74
17시 24분 02초    0    8.65    0.00    7.69    0.00    0.00   17.31    0.00    0.00    0.00   66.35
17시 24분 02초    1   26.73    0.00   24.75    0.00    0.00   35.64    0.00    0.00    0.00   12.87
17시 24분 02초    2   15.00    0.00   30.00    0.00    0.00   34.00    0.00    0.00    0.00   21.00
17시 24분 02초    3    1.94    0.00    1.94    0.00    0.00    4.85    0.00    0.00    0.00   91.26
17시 24분 02초    4   15.00    0.00   16.00    0.00    0.00   29.00    0.00    0.00    0.00   40.00
17시 24분 02초    5    9.82    0.00   15.18    0.00    0.00   40.18    0.00    0.00    0.00   34.82
17시 24분 02초    6    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
17시 24분 02초    7   22.00    0.00   28.00    0.00    0.00   46.00    0.00    0.00    0.00    4.00
