Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

12시 03분 42초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 43초  all   28.04    0.00   29.08    0.42    0.00    9.45    0.00    0.00    0.00   33.02
12시 03분 43초    0   26.73    0.00   30.69    0.00    0.00    2.97    0.00    0.00    0.00   39.60
12시 03분 43초    1   35.05    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   42.27
12시 03분 43초    2   26.88    0.00   25.81    0.00    0.00    0.00    0.00    0.00    0.00   47.31
12시 03분 43초    3   22.11    0.00   28.42    1.05    0.00    2.11    0.00    0.00    0.00   46.32
12시 03분 43초    4   38.30    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   37.23
12시 03분 43초    5   31.58    0.00   29.47    1.05    0.00    2.11    0.00    0.00    0.00   35.79
12시 03분 43초    6   29.17    0.00   43.75    1.04    0.00    1.04    0.00    0.00    0.00   25.00
12시 03분 43초    7   23.00    0.00   50.00    1.00    0.00    2.00    0.00    0.00    0.00   24.00
12시 03분 43초    8   10.10    0.00   10.10    0.00    0.00   77.78    0.00    0.00    0.00    2.02
12시 03분 43초    9   38.30    0.00   24.47    1.06    0.00    5.32    0.00    0.00    0.00   30.85

12시 03분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 44초  all   23.65    0.00   27.83    0.00    0.00   11.42    0.00    0.00    0.00   37.10
12시 03분 44초    0   23.16    1.05   27.37    0.00    0.00    2.11    0.00    0.00    0.00   46.32
12시 03분 44초    1   18.75    0.00   31.25    0.00    0.00    0.00    0.00    0.00    0.00   50.00
12시 03분 44초    2   27.55    0.00   30.61    0.00    0.00    1.02    0.00    0.00    0.00   40.82
12시 03분 44초    3   50.50    0.00   18.81    0.00    0.00    0.99    0.00    0.00    0.00   29.70
12시 03분 44초    4   25.25    0.00   31.31    0.00    0.00    1.01    0.00    0.00    0.00   42.42
12시 03분 44초    5   17.17    0.00   36.36    0.00    0.00    3.03    0.00    0.00    0.00   43.43
12시 03분 44초    6   23.47    0.00   35.71    0.00    0.00    3.06    0.00    0.00    0.00   37.76
12시 03분 44초    7   32.00    0.00   28.00    0.00    0.00    2.00    0.00    0.00    0.00   38.00
12시 03분 44초    8    0.00    0.00    7.00    0.00    0.00   93.00    0.00    0.00    0.00    0.00
12시 03분 44초    9   18.00    0.00   32.00    0.00    0.00    7.00    0.00    0.00    0.00   43.00

12시 03분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 45초  all   23.09    0.00   27.87    0.00    0.00   11.19    0.00    0.00    0.00   37.84
12시 03분 45초    0   23.23    0.00   31.31    0.00    0.00    1.01    0.00    0.00    0.00   44.44
12시 03분 45초    1   15.00    0.00   36.00    0.00    0.00    1.00    0.00    0.00    0.00   48.00
12시 03분 45초    2   22.22    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   44.44
12시 03분 45초    3   27.84    0.00   30.93    0.00    0.00    0.00    0.00    0.00    0.00   41.24
12시 03분 45초    4   17.17    0.00   34.34    0.00    0.00    0.00    0.00    0.00    0.00   48.48
12시 03분 45초    5   37.11    0.00   22.68    0.00    0.00    3.09    0.00    0.00    0.00   37.11
12시 03분 45초    6   35.71    0.00   27.55    0.00    0.00    2.04    0.00    0.00    0.00   34.69
12시 03분 45초    7   26.04    0.00   31.25    0.00    0.00    2.08    0.00    0.00    0.00   40.62
12시 03분 45초    8    0.99    0.00    4.95    0.00    0.00   94.06    0.00    0.00    0.00    0.00
12시 03분 45초    9   26.26    0.00   28.28    0.00    0.00    5.05    0.00    0.00    0.00   40.40

12시 03분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 46초  all   23.11    0.00   28.32    0.00    0.00   12.07    0.00    0.00    0.00   36.50
12시 03분 46초    0   21.00    0.00   35.00    0.00    0.00    0.00    0.00    0.00    0.00   44.00
12시 03분 46초    1   30.93    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00   40.21
12시 03분 46초    2   20.62    0.00   36.08    0.00    0.00    1.03    0.00    0.00    0.00   42.27
12시 03분 46초    3   26.53    0.00   30.61    0.00    0.00    1.02    0.00    0.00    0.00   41.84
12시 03분 46초    4   25.51    0.00   32.65    0.00    0.00    0.00    0.00    0.00    0.00   41.84
12시 03분 46초    5   19.57    0.00   32.61    0.00    0.00    2.17    0.00    0.00    0.00   45.65
12시 03분 46초    6   31.31    0.00   29.29    0.00    0.00    4.04    0.00    0.00    0.00   35.35
12시 03분 46초    7   36.08    0.00   27.84    0.00    0.00    2.06    0.00    0.00    0.00   34.02
12시 03분 46초    8    0.00    0.00    0.00    0.00    0.00   99.01    0.00    0.00    0.00    0.99
12시 03분 46초    9   21.43    0.00   29.59    0.00    0.00    9.18    0.00    0.00    0.00   39.80

12시 03분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 47초  all   23.80    0.00   28.50    0.10    0.00   11.54    0.00    0.00    0.00   36.06
12시 03분 47초    0   18.18    0.00   36.36    0.00    0.00    0.00    0.00    0.00    0.00   45.45
12시 03분 47초    1   16.67    0.00   36.46    0.00    0.00    0.00    0.00    0.00    0.00   46.88
12시 03분 47초    2   21.00    0.00   34.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
12시 03분 47초    3   26.04    0.00   31.25    0.00    0.00    1.04    0.00    0.00    0.00   41.67
