Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

12시 03분 42초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12시 04분 12초  1000     16759         -   46.52  100.00    0.00    0.03  100.00     7  memaslap
12시 04분 12초  1000         -     16774    3.19   16.77    0.00   10.68   19.97     3  |__memaslap
12시 04분 12초  1000         -     16775    2.73   17.27    0.00   10.45   20.00     9  |__memaslap
12시 04분 12초  1000         -     16776    3.00   17.00    0.00   10.05   20.00     4  |__memaslap
12시 04분 12초  1000         -     16777    2.70   17.40    0.00   10.15   20.10     6  |__memaslap
12시 04분 12초  1000         -     16778    2.50   17.47    0.00   10.52   19.97     5  |__memaslap
12시 04분 12초  1000         -     16779    2.76   17.24    0.00   10.35   20.00     1  |__memaslap
12시 04분 12초  1000         -     16780    3.13   17.30    0.00    9.88   20.43     9  |__memaslap
12시 04분 12초  1000         -     16781    2.93   17.07    0.00   10.22   20.00     5  |__memaslap
12시 04분 12초  1000         -     16782    2.96   17.00    0.00   10.38   19.97     4  |__memaslap
12시 04분 12초  1000         -     16783    3.46   16.57    0.00   10.15   20.03     5  |__memaslap
12시 04분 12초  1000         -     16784    2.96   16.97    0.00   10.42   19.93     5  |__memaslap
12시 04분 12초  1000         -     16785    2.83   17.04    0.00   10.32   19.87     2  |__memaslap
12시 04분 12초  1000         -     16786    2.83   17.40    0.00   10.38   20.23     4  |__memaslap
12시 04분 12초  1000         -     16787    2.83   17.00    0.00   10.38   19.83     3  |__memaslap
12시 04분 12초  1000         -     16788    2.96   17.14    0.00   10.28   20.10     2  |__memaslap
12시 04분 12초  1000         -     16789    2.80   17.10    0.00   10.75   19.90     3  |__memaslap

12시 04분 12초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12시 04분 42초  1000     16759         -   47.73  100.00    0.00    0.03  100.00     3  memaslap
12시 04분 42초  1000         -     16774    3.00   17.20    0.00    9.50   20.20     6  |__memaslap
12시 04분 42초  1000         -     16775    2.83   17.37    0.00    9.53   20.20     2  |__memaslap
12시 04분 42초  1000         -     16776    3.20   16.93    0.00   10.10   20.13     6  |__memaslap
12시 04분 42초  1000         -     16777    2.90   17.03    0.00    9.63   19.93     1  |__memaslap
12시 04분 42초  1000         -     16778    2.97   17.03    0.00    9.77   20.00     5  |__memaslap
12시 04분 42초  1000         -     16779    3.20   16.87    0.00    9.53   20.07     5  |__memaslap
12시 04분 42초  1000         -     16780    2.90   17.07    0.00    9.73   19.97     2  |__memaslap
12시 04분 42초  1000         -     16781    2.90   17.37    0.00    9.60   20.27     0  |__memaslap
12시 04분 42초  1000         -     16782    2.93   17.17    0.00    9.97   20.10     6  |__memaslap
12시 04분 42초  1000         -     16783    3.00   17.10    0.00    9.87   20.10     0  |__memaslap
12시 04분 42초  1000         -     16784    2.90   17.27    0.00    9.73   20.17     1  |__memaslap
12시 04분 42초  1000         -     16785    3.03   16.93    0.00    9.90   19.97     1  |__memaslap
12시 04분 42초  1000         -     16786    2.67   17.37    0.00    9.77   20.03     4  |__memaslap
12시 04분 42초  1000         -     16787    3.07   17.10    0.00    9.53   20.17     2  |__memaslap
12시 04분 42초  1000         -     16788    2.90   17.43    0.00    9.60   20.33     4  |__memaslap
12시 04분 42초  1000         -     16789    3.37   16.67    0.00    9.80   20.03     9  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     16759         -   47.13  100.00    0.00    0.03  100.00     -  memaslap
Average:     1000         -     16774    3.10   16.99    0.00   10.09   20.08     -  |__memaslap
Average:     1000         -     16775    2.78   17.32    0.00    9.99   20.10     -  |__memaslap
Average:     1000         -     16776    3.10   16.97    0.00   10.07   20.07     -  |__memaslap
Average:     1000         -     16777    2.80   17.22    0.00    9.89   20.02     -  |__memaslap
Average:     1000         -     16778    2.73   17.25    0.00   10.14   19.98     -  |__memaslap
Average:     1000         -     16779    2.98   17.05    0.00    9.94   20.03     -  |__memaslap
Average:     1000         -     16780    3.01   17.19    0.00    9.81   20.20     -  |__memaslap
Average:     1000         -     16781    2.91   17.22    0.00    9.91   20.13     -  |__memaslap
Average:     1000         -     16782    2.95   17.09    0.00   10.17   20.03     -  |__memaslap
Average:     1000         -     16783    3.23   16.84    0.00   10.01   20.07     -  |__memaslap
Average:     1000         -     16784    2.93   17.12    0.00   10.07   20.05     -  |__memaslap
Average:     1000         -     16785    2.93   16.99    0.00   10.11   19.92     -  |__memaslap
Average:     1000         -     16786    2.75   17.39    0.00   10.07   20.13     -  |__memaslap
Average:     1000         -     16787    2.95   17.05    0.00    9.96   20.00     -  |__memaslap
Average:     1000         -     16788    2.93   17.29    0.00    9.94   20.22     -  |__memaslap
Average:     1000         -     16789    3.08   16.89    0.00   10.27   19.97     -  |__memaslap
