Linux 5.4.0-77-generic (server3) 	2021년 07월 02일 	_x86_64_	(10 CPU)

12시 03분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 44초  all    7.85    0.00   11.32    0.60    0.00   19.27    0.00    0.00    0.00   60.97
12시 03분 44초    0    2.78    0.00    1.85    0.93    0.00   12.96    0.00    0.00    0.00   81.48
12시 03분 44초    1   15.46    0.00   19.59    2.06    0.00   18.56    0.00    0.00    0.00   44.33
12시 03분 44초    2   14.14    0.00   22.22    0.00    0.00   22.22    0.00    0.00    0.00   41.41
12시 03분 44초    3    4.90    0.00   19.61    2.94    0.00    4.90    0.00    0.00    0.00   67.65
12시 03분 44초    4   11.11    0.00   16.16    0.00    0.00   15.15    0.00    0.00    0.00   57.58
12시 03분 44초    5    0.97    0.00    0.00    0.00    0.00   79.61    0.00    0.00    0.00   19.42
12시 03분 44초    6    9.09    0.00    9.09    0.00    0.00    8.08    0.00    0.00    0.00   73.74
12시 03분 44초    7   12.24    0.00   11.22    0.00    0.00   12.24    0.00    0.00    0.00   64.29
12시 03분 44초    8    5.05    0.00    3.03    0.00    0.00    7.07    0.00    0.00    0.00   84.85
12시 03분 44초    9    2.97    0.00    9.90    0.00    0.00   12.87    0.00    0.00    0.00   74.26

12시 03분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 45초  all    6.49    0.00    9.58    0.00    0.00   19.96    0.00    0.00    0.00   63.97
12시 03분 45초    0    7.62    0.00   11.43    0.00    0.00   13.33    0.00    0.00    0.00   67.62
12시 03분 45초    1   12.87    0.00   21.78    0.00    0.00   22.77    0.00    0.00    0.00   42.57
12시 03분 45초    2    7.77    0.00    6.80    0.00    0.00   10.68    0.00    0.00    0.00   74.76
12시 03분 45초    3    3.74    0.00    2.80    0.00    0.00   10.28    0.00    0.00    0.00   83.18
12시 03분 45초    4    3.09    0.00    3.09    0.00    0.00    6.19    0.00    0.00    0.00   87.63
12시 03분 45초    5    0.00    0.00    0.00    0.00    0.00   79.79    0.00    0.00    0.00   20.21
12시 03분 45초    6    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
12시 03분 45초    7    4.95    0.00    9.90    0.00    0.00   13.86    0.00    0.00    0.00   71.29
12시 03분 45초    8   15.53    0.00   20.39    0.00    0.00   27.18    0.00    0.00    0.00   36.89
12시 03분 45초    9    8.08    0.00   16.16    0.00    0.00   17.17    0.00    0.00    0.00   58.59

12시 03분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12시 03분 46초  all    8.83    0.00   10.10    0.00    0.00   19.90    0.00    0.00    0.00   61.17
12시 03분 46초    0    3.77    0.00    4.72    0.00    0.00   10.38    0.00    0.00    0.00   81.13
12시 03분 46초    1   16.35    0.00   16.35    0.00    0.00   20.19    0.00    0.00    0.00   47.12
12시 03분 46초    2   14.14    0.00   12.12    0.00    0.00   16.16    0.00    0.00    0.00   57.58
12시 03분 46초    3   14.29    0.00   24.76    0.00    0.00   21.90    0.00    0.00    0.00   39.05
