Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

15시 53분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 46초  all   14.21    0.00   17.23    0.13    0.00   14.59    0.00    0.00    0.00   53.84
15시 53분 46초    0   14.47    0.00   19.74    0.00    0.00    6.58    0.00    0.00    0.00   59.21
15시 53분 46초    1   11.54    0.00   29.49    0.00    0.00    8.97    0.00    0.00    0.00   50.00
15시 53분 46초    2   13.33    0.00   20.00    0.00    0.00    6.67    0.00    0.00    0.00   60.00
15시 53분 46초    3   13.33    0.00   22.67    0.00    0.00    6.67    0.00    0.00    0.00   57.33
15시 53분 46초    4   19.48    0.00   11.69    0.00    0.00   10.39    0.00    0.00    0.00   58.44
15시 53분 46초    5   14.47    0.00   18.42    0.00    0.00    6.58    0.00    0.00    0.00   60.53
15시 53분 46초    6   13.16    0.00   17.11    0.00    0.00   11.84    0.00    0.00    0.00   57.89
15시 53분 46초    7   20.78    0.00   14.29    0.00    0.00    6.49    0.00    0.00    0.00   58.44
15시 53분 46초    8    9.35    0.00    7.48    0.00    0.00   52.34    0.00    0.00    0.00   30.84
15시 53분 46초    9   13.16    0.00   15.79    0.00    0.00   14.47    0.00    0.00    0.00   56.58

15시 53분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 47초  all    5.70    0.00   17.59    0.00    0.00   17.34    0.00    0.00    0.00   59.37
15시 53분 47초    0    5.26    0.00   18.42    0.00    0.00   11.84    0.00    0.00    0.00   64.47
15시 53분 47초    1    3.90    0.00   18.18    0.00    0.00   14.29    0.00    0.00    0.00   63.64
15시 53분 47초    2    6.58    0.00   21.05    0.00    0.00    9.21    0.00    0.00    0.00   63.16
15시 53분 47초    3    6.58    0.00   18.42    0.00    0.00   10.53    0.00    0.00    0.00   64.47
15시 53분 47초    4    6.10    0.00   19.51    0.00    0.00   14.63    0.00    0.00    0.00   59.76
15시 53분 47초    5    6.85    0.00   16.44    0.00    0.00    8.22    0.00    0.00    0.00   68.49
15시 53분 47초    6    4.94    0.00   19.75    0.00    0.00   14.81    0.00    0.00    0.00   60.49
15시 53분 47초    7   11.39    0.00   20.25    0.00    0.00    7.59    0.00    0.00    0.00   60.76
15시 53분 47초    8    3.26    0.00    8.70    0.00    0.00   52.17    0.00    0.00    0.00   35.87
15시 53분 47초    9    4.88    0.00   18.29    0.00    0.00   21.95    0.00    0.00    0.00   54.88

15시 53분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 48초  all   10.50    0.00   27.56    0.00    0.00   19.93    0.00    0.00    0.00   42.01
15시 53분 48초    0    9.17    0.00   28.44    0.00    0.00   17.43    0.00    0.00    0.00   44.95
15시 53분 48초    1   11.93    0.00   22.94    0.00    0.00   21.10    0.00    0.00    0.00   44.04
15시 53분 48초    2   11.97    0.00   28.21    0.00    0.00   17.95    0.00    0.00    0.00   41.88
15시 53분 48초    3   11.50    0.00   23.89    0.00    0.00   21.24    0.00    0.00    0.00   43.36
15시 53분 48초    4    8.04    0.00   27.68    0.00    0.00   19.64    0.00    0.00    0.00   44.64
15시 53분 48초    5   12.28    0.00   25.44    0.00    0.00   18.42    0.00    0.00    0.00   43.86
15시 53분 48초    6    7.08    0.00   26.55    0.00    0.00   23.01    0.00    0.00    0.00   43.36
15시 53분 48초    7    7.02    0.00   31.58    0.00    0.00   18.42    0.00    0.00    0.00   42.98
15시 53분 48초    8   12.63    0.00   33.68    0.00    0.00   21.05    0.00    0.00    0.00   32.63
15시 53분 48초    9   10.53    0.00   27.19    0.00    0.00   23.68    0.00    0.00    0.00   38.60

15시 53분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 49초  all    8.10    0.00   24.88    0.00    0.00   10.92    0.00    0.00    0.00   56.10
15시 53분 49초    0    7.06    0.00   25.88    0.00    0.00    8.24    0.00    0.00    0.00   58.82
15시 53분 49초    1    6.98    0.00   27.91    0.00    0.00    8.14    0.00    0.00    0.00   56.98
15시 53분 49초    2    8.33    0.00   25.00    0.00    0.00    8.33    0.00    0.00    0.00   58.33
15시 53분 49초    3    9.09    0.00   25.00    0.00    0.00   10.23    0.00    0.00    0.00   55.68
15시 53분 49초    4   12.22    0.00   24.44    0.00    0.00   10.00    0.00    0.00    0.00   53.33
15시 53분 49초    5    7.32    0.00   21.95    0.00    0.00    9.76    0.00    0.00    0.00   60.98
15시 53분 49초    6    6.67    0.00   22.22    0.00    0.00   16.67    0.00    0.00    0.00   54.44
15시 53분 49초    7    9.20    0.00   24.14    0.00    0.00   10.34    0.00    0.00    0.00   56.32
15시 53분 49초    8    8.11    0.00   27.03    0.00    0.00   16.22    0.00    0.00    0.00   48.65
15시 53분 49초    9    6.98    0.00   26.74    0.00    0.00   11.63    0.00    0.00    0.00   54.65

15시 53분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
