Linux 5.4.0-77-generic (kesServer) 	2021년 06월 29일 	_x86_64_	(10 CPU)

15시 53분 45초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 54분 15초  1000     31140         -   77.46  100.00    0.00    0.00  100.00     2  memaslap
15시 54분 15초  1000         -     31140    0.03    0.00    0.00    0.00    0.03     2  |__memaslap
15시 54분 15초  1000         -     31155    4.89   17.79    0.00    4.16   22.67     8  |__memaslap
15시 54분 15초  1000         -     31156    4.75   17.59    0.00    3.99   22.34     1  |__memaslap
15시 54분 15초  1000         -     31157    4.85   17.55    0.00    3.89   22.41     2  |__memaslap
15시 54분 15초  1000         -     31158    4.65   18.15    0.00    4.02   22.81     1  |__memaslap
15시 54분 15초  1000         -     31159    4.92   18.35    0.00    4.22   23.27     9  |__memaslap
15시 54분 15초  1000         -     31160    4.85   17.55    0.00    4.06   22.41     4  |__memaslap
15시 54분 15초  1000         -     31161    4.65   18.35    0.00    4.22   23.01     5  |__memaslap
15시 54분 15초  1000         -     31162    4.59   17.52    0.00    3.89   22.11     7  |__memaslap
15시 54분 15초  1000         -     31163    4.82   17.82    0.00    4.22   22.64     8  |__memaslap
15시 54분 15초  1000         -     31164    4.62   17.69    0.00    4.02   22.31     6  |__memaslap
15시 54분 15초  1000         -     31165    4.75   17.95    0.00    4.22   22.71     8  |__memaslap
15시 54분 15초  1000         -     31166    4.99   17.29    0.00    3.99   22.27     4  |__memaslap
15시 54분 15초  1000         -     31167    4.95   18.18    0.00    3.99   23.14     6  |__memaslap
15시 54분 15초  1000         -     31168    5.02   17.25    0.00    3.96   22.27     0  |__memaslap
15시 54분 15초  1000         -     31169    4.85   18.02    0.00    4.32   22.87     2  |__memaslap
15시 54분 15초  1000         -     31170    5.12   17.39    0.00    3.96   22.51     0  |__memaslap

15시 54분 15초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 54분 45초  1000     31140         -   80.67  100.00    0.00    0.00  100.00     7  memaslap
15시 54분 45초  1000         -     31155    4.80   17.73    0.00    3.90   22.53     6  |__memaslap
15시 54분 45초  1000         -     31156    4.87   17.67    0.00    3.73   22.53     0  |__memaslap
15시 54분 45초  1000         -     31157    5.40   17.33    0.00    3.70   22.73     1  |__memaslap
15시 54분 45초  1000         -     31158    4.90   17.83    0.00    3.93   22.73     1  |__memaslap
15시 54분 45초  1000         -     31159    5.23   17.37    0.00    4.17   22.60     1  |__memaslap
15시 54분 45초  1000         -     31160    4.57   17.67    0.00    3.70   22.23     7  |__memaslap
15시 54분 45초  1000         -     31161    5.07   17.53    0.00    3.87   22.60     6  |__memaslap
15시 54분 45초  1000         -     31162    5.27   17.50    0.00    3.83   22.77     7  |__memaslap
15시 54분 45초  1000         -     31163    5.17   17.37    0.00    3.93   22.53     8  |__memaslap
15시 54분 45초  1000         -     31164    5.13   17.77    0.00    4.00   22.90     6  |__memaslap
15시 54분 45초  1000         -     31165    5.00   18.03    0.00    3.90   23.03     2  |__memaslap
15시 54분 45초  1000         -     31166    5.40   17.40    0.00    3.73   22.80     1  |__memaslap
15시 54분 45초  1000         -     31167    4.90   17.90    0.00    3.87   22.80     8  |__memaslap
15시 54분 45초  1000         -     31168    4.97   17.87    0.00    4.00   22.83     0  |__memaslap
15시 54분 45초  1000         -     31169    4.70   17.97    0.00    3.83   22.67     4  |__memaslap
15시 54분 45초  1000         -     31170    5.33   17.03    0.00    3.67   22.37     7  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     31140         -   79.06  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     31140    0.02    0.00    0.00    0.00    0.02     -  |__memaslap
Average:     1000         -     31155    4.84   17.76    0.00    4.03   22.60     -  |__memaslap
Average:     1000         -     31156    4.81   17.63    0.00    3.86   22.44     -  |__memaslap
Average:     1000         -     31157    5.13   17.44    0.00    3.79   22.57     -  |__memaslap
Average:     1000         -     31158    4.78   17.99    0.00    3.98   22.77     -  |__memaslap
Average:     1000         -     31159    5.08   17.86    0.00    4.19   22.94     -  |__memaslap
Average:     1000         -     31160    4.71   17.61    0.00    3.88   22.32     -  |__memaslap
Average:     1000         -     31161    4.86   17.94    0.00    4.04   22.80     -  |__memaslap
Average:     1000         -     31162    4.93   17.51    0.00    3.86   22.44     -  |__memaslap
Average:     1000         -     31163    4.99   17.59    0.00    4.08   22.59     -  |__memaslap
Average:     1000         -     31164    4.88   17.73    0.00    4.01   22.60     -  |__memaslap
Average:     1000         -     31165    4.88   17.99    0.00    4.06   22.87     -  |__memaslap
Average:     1000         -     31166    5.19   17.34    0.00    3.86   22.54     -  |__memaslap
Average:     1000         -     31167    4.93   18.04    0.00    3.93   22.97     -  |__memaslap
Average:     1000         -     31168    4.99   17.56    0.00    3.98   22.55     -  |__memaslap
Average:     1000         -     31169    4.78   17.99    0.00    4.08   22.77     -  |__memaslap
Average:     1000         -     31170    5.23   17.21    0.00    3.81   22.44     -  |__memaslap
