Linux 5.4.0-73-generic (server3) 	2021년 06월 29일 	_x86_64_	(10 CPU)

15시 53분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 47초  all    8.14    0.00   10.23    0.00    0.00   28.00    0.00    0.00    0.00   53.62
15시 53분 47초    0    5.71    0.00   20.00    0.00    0.00    5.71    0.00    0.00    0.00   68.57
15시 53분 47초    1   12.75    0.00   11.76    0.00    0.00   46.08    0.00    0.00    0.00   29.41
15시 53분 47초    2    7.92    0.00    1.98    0.00    0.00   18.81    0.00    0.00    0.00   71.29
15시 53분 47초    3    8.00    0.00   10.00    0.00    0.00   32.00    0.00    0.00    0.00   50.00
15시 53분 47초    4   18.18    0.00   18.18    0.00    0.00   43.43    0.00    0.00    0.00   20.20
15시 53분 47초    5    2.91    0.00    2.91    0.00    0.00   38.83    0.00    0.00    0.00   55.34
15시 53분 47초    6    6.12    0.00   12.24    0.00    0.00   41.84    0.00    0.00    0.00   39.80
15시 53분 47초    7    1.01    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   96.97
15시 53분 47초    8    7.07    0.00    9.09    0.00    0.00   19.19    0.00    0.00    0.00   64.65
15시 53분 47초    9   13.27    0.00   16.33    0.00    0.00   31.63    0.00    0.00    0.00   38.78

15시 53분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 48초  all   10.43    0.00   11.33    0.00    0.00   21.77    0.00    0.00    0.00   56.47
15시 53분 48초    0   20.20    0.00   24.24    0.00    0.00   47.47    0.00    0.00    0.00    8.08
15시 53분 48초    1    8.74    0.00    5.83    0.00    0.00   17.48    0.00    0.00    0.00   67.96
15시 53분 48초    2    2.88    0.00    8.65    0.00    0.00   16.35    0.00    0.00    0.00   72.12
15시 53분 48초    3   18.00    0.00   29.00    0.00    0.00   41.00    0.00    0.00    0.00   12.00
15시 53분 48초    4    2.02    0.00    3.03    0.00    0.00    8.08    0.00    0.00    0.00   86.87
15시 53분 48초    5    6.52    0.00    5.43    0.00    0.00   26.09    0.00    0.00    0.00   61.96
15시 53분 48초    6   15.69    0.00    8.82    0.00    0.00   20.59    0.00    0.00    0.00   54.90
15시 53분 48초    7   15.15    0.00   19.19    0.00    0.00   30.30    0.00    0.00    0.00   35.35
15시 53분 48초    8    3.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   92.00
15시 53분 48초    9    9.18    0.00    8.16    0.00    0.00    9.18    0.00    0.00    0.00   73.47

15시 53분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 49초  all   10.32    0.00   11.64    0.00    0.00   20.75    0.00    0.00    0.00   57.29
15시 53분 49초    0    6.06    0.00   16.16    0.00    0.00   34.34    0.00    0.00    0.00   43.43
15시 53분 49초    1   12.00    0.00    7.00    0.00    0.00   22.00    0.00    0.00    0.00   59.00
15시 53분 49초    2    3.96    0.00    0.00    0.00    0.00    2.97    0.00    0.00    0.00   93.07
15시 53분 49초    3   13.13    0.00   15.15    0.00    0.00   29.29    0.00    0.00    0.00   42.42
15시 53분 49초    4    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
15시 53분 49초    5   12.64    0.00   13.79    0.00    0.00   20.69    0.00    0.00    0.00   52.87
15시 53분 49초    6   14.85    0.00   21.78    0.00    0.00   23.76    0.00    0.00    0.00   39.60
15시 53분 49초    7   12.00    0.00   14.00    0.00    0.00   26.00    0.00    0.00    0.00   48.00
15시 53분 49초    8    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
15시 53분 49초    9   27.00    0.00   24.00    0.00    0.00   48.00    0.00    0.00    0.00    1.00

15시 53분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 53분 50초  all   10.73    0.00   12.74    0.00    0.00   19.86    0.00    0.00    0.00   56.67
15시 53분 50초    0   12.00    0.00   23.00    0.00    0.00   42.00    0.00    0.00    0.00   23.00
15시 53분 50초    1    3.88    0.00    1.94    0.00    0.00    3.88    0.00    0.00    0.00   90.29
15시 53분 50초    2    0.97    0.00    5.83    0.00    0.00    1.94    0.00    0.00    0.00   91.26
15시 53분 50초    3   11.34    0.00   18.56    0.00    0.00   21.65    0.00    0.00    0.00   48.45
15시 53분 50초    4    2.97    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   95.05
