Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

11시 23분 00초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 01초  all   13.89    0.00   22.57    0.00    0.00   16.96    0.00    0.00    0.00   46.58
11시 23분 01초    0   11.58    0.00   23.16    0.00    0.00   15.79    0.00    0.00    0.00   49.47
11시 23분 01초    1   16.84    0.00   16.84    0.00    0.00   16.84    0.00    0.00    0.00   49.47
11시 23분 01초    2   13.27    0.00   18.37    0.00    0.00   22.45    0.00    0.00    0.00   45.92
11시 23분 01초    3   18.28    0.00   19.35    0.00    0.00   12.90    0.00    0.00    0.00   49.46
11시 23분 01초    4   13.59    0.00   26.21    0.00    0.00   16.50    0.00    0.00    0.00   43.69
11시 23분 01초    5   12.24    0.00   24.49    0.00    0.00   17.35    0.00    0.00    0.00   45.92
11시 23분 01초    6   14.00    0.00   25.00    0.00    0.00   14.00    0.00    0.00    0.00   47.00
11시 23분 01초    7   12.24    0.00   21.43    0.00    0.00   19.39    0.00    0.00    0.00   46.94
11시 23분 01초    8   14.56    0.00   28.16    0.00    0.00   20.39    0.00    0.00    0.00   36.89
11시 23분 01초    9   14.43    0.00   21.65    0.00    0.00   12.37    0.00    0.00    0.00   51.55

11시 23분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 02초  all   10.39    0.00   22.38    0.00    0.00   20.28    0.00    0.00    0.00   46.95
11시 23분 02초    0    9.00    0.00   28.00    0.00    0.00   16.00    0.00    0.00    0.00   47.00
11시 23분 02초    1   11.11    0.00   23.23    0.00    0.00   19.19    0.00    0.00    0.00   46.46
11시 23분 02초    2    9.80    0.00   24.51    0.00    0.00   19.61    0.00    0.00    0.00   46.08
11시 23분 02초    3    5.94    0.00   20.79    0.00    0.00   25.74    0.00    0.00    0.00   47.52
11시 23분 02초    4   10.00    0.00   22.00    0.00    0.00   21.00    0.00    0.00    0.00   47.00
11시 23분 02초    5   11.65    0.00   20.39    0.00    0.00   25.24    0.00    0.00    0.00   42.72
11시 23분 02초    6   12.62    0.00   24.27    0.00    0.00   14.56    0.00    0.00    0.00   48.54
11시 23분 02초    7   10.53    0.00   21.05    0.00    0.00   20.00    0.00    0.00    0.00   48.42
11시 23분 02초    8   11.00    0.00   18.00    0.00    0.00   28.00    0.00    0.00    0.00   43.00
11시 23분 02초    9   12.37    0.00   22.68    0.00    0.00   13.40    0.00    0.00    0.00   51.55

11시 23분 02초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 03초  all    9.46    0.00   21.48    0.00    0.00   20.66    0.00    0.00    0.00   48.41
11시 23분 03초    0   10.31    0.00   19.59    0.00    0.00   20.62    0.00    0.00    0.00   49.48
11시 23분 03초    1    9.62    0.00   23.08    0.00    0.00   21.15    0.00    0.00    0.00   46.15
11시 23분 03초    2    6.73    0.00   25.00    0.00    0.00   23.08    0.00    0.00    0.00   45.19
11시 23분 03초    3    8.60    0.00   21.51    0.00    0.00   19.35    0.00    0.00    0.00   50.54
11시 23분 03초    4    6.45    0.00   19.35    0.00    0.00   23.66    0.00    0.00    0.00   50.54
11시 23분 03초    5   10.75    0.00   19.35    0.00    0.00   23.66    0.00    0.00    0.00   46.24
11시 23분 03초    6   11.22    0.00   24.49    0.00    0.00   13.27    0.00    0.00    0.00   51.02
11시 23분 03초    7    7.53    0.00   19.35    0.00    0.00   21.51    0.00    0.00    0.00   51.61
11시 23분 03초    8   11.11    0.00   21.21    0.00    0.00   23.23    0.00    0.00    0.00   44.44
11시 23분 03초    9   10.20    0.00   21.43    0.00    0.00   17.35    0.00    0.00    0.00   51.02

11시 23분 03초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 04초  all   10.29    0.00   21.18    0.00    0.00   20.98    0.00    0.00    0.00   47.56
11시 23분 04초    0    8.16    0.00   19.39    0.00    0.00   25.51    0.00    0.00    0.00   46.94
11시 23분 04초    1   12.77    0.00   21.28    0.00    0.00   15.96    0.00    0.00    0.00   50.00
11시 23분 04초    2   12.75    0.00   21.57    0.00    0.00   20.59    0.00    0.00    0.00   45.10
11시 23분 04초    3    8.42    0.00   17.89    0.00    0.00   23.16    0.00    0.00    0.00   50.53
11시 23분 04초    4    9.18    0.00   20.41    0.00    0.00   21.43    0.00    0.00    0.00   48.98
11시 23분 04초    5   11.32    0.00   19.81    0.00    0.00   26.42    0.00    0.00    0.00   42.45
11시 23분 04초    6   12.50    0.00   20.83    0.00    0.00   13.54    0.00    0.00    0.00   53.12
11시 23분 04초    7    8.82    0.00   21.57    0.00    0.00   24.51    0.00    0.00    0.00   45.10
11시 23분 04초    8   10.42    0.00   22.92    0.00    0.00   22.92    0.00    0.00    0.00   43.75
11시 23분 04초    9   11.22    0.00   24.49    0.00    0.00   14.29    0.00    0.00    0.00   50.00

11시 23분 04초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 05초  all    9.59    0.00   21.65    0.00    0.00   20.31    0.00    0.00    0.00   48.45
11시 23분 05초    0    9.78    0.00   23.91    0.00    0.00   15.22    0.00    0.00    0.00   51.09
11시 23분 05초    1    7.53    0.00   22.58    0.00    0.00   20.43    0.00    0.00    0.00   49.46
11시 23분 05초    2    7.37    0.00   18.95    0.00    0.00   24.21    0.00    0.00    0.00   49.47
11시 23분 05초    3   12.00    0.00   18.00    0.00    0.00   23.00    0.00    0.00    0.00   47.00
11시 23분 05초    4    8.00    0.00   22.00    0.00    0.00   22.00    0.00    0.00    0.00   48.00
11시 23분 05초    5   12.77    0.00   19.15    0.00    0.00   22.34    0.00    0.00    0.00   45.74
11시 23분 05초    6    7.29    0.00   25.00    0.00    0.00   15.62    0.00    0.00    0.00   52.08
11시 23분 05초    7    8.16    0.00   22.45    0.00    0.00   21.43    0.00    0.00    0.00   47.96
11시 23분 05초    8    9.38    0.00   21.88    0.00    0.00   22.92    0.00    0.00    0.00   45.83
11시 23분 05초    9   12.62    0.00   23.30    0.00    0.00   16.50    0.00    0.00    0.00   47.57

11시 23분 05초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 06초  all    9.20    0.00   22.60    0.00    0.00   20.76    0.00    0.00    0.00   47.44
11시 23분 06초    0    7.84    0.00   25.49    0.00    0.00   21.57    0.00    0.00    0.00   45.10
11시 23분 06초    1    9.71    0.00   21.36    0.00    0.00   23.30    0.00    0.00    0.00   45.63
11시 23분 06초    2   10.10    0.00   23.23    0.00    0.00   19.19    0.00    0.00    0.00   47.47
11시 23분 06초    3   10.87    0.00   21.74    0.00    0.00   16.30    0.00    0.00    0.00   51.09
11시 23분 06초    4    8.08    0.00   21.21    0.00    0.00   23.23    0.00    0.00    0.00   47.47
11시 23분 06초    5    6.32    0.00   23.16    0.00    0.00   24.21    0.00    0.00    0.00   46.32
11시 23분 06초    6   11.58    0.00   21.05    0.00    0.00   14.74    0.00    0.00    0.00   52.63
11시 23분 06초    7   10.00    0.00   22.00    0.00    0.00   23.00    0.00    0.00    0.00   45.00
11시 23분 06초    8    9.90    0.00   19.80    0.00    0.00   27.72    0.00    0.00    0.00   42.57
11시 23분 06초    9    8.33    0.00   27.08    0.00    0.00   12.50    0.00    0.00    0.00   52.08

11시 23분 06초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 07초  all   10.12    0.00   21.78    0.00    0.00   20.04    0.00    0.00    0.00   48.06
11시 23분 07초    0    9.68    0.00   22.58    0.00    0.00   16.13    0.00    0.00    0.00   51.61
11시 23분 07초    1   11.70    0.00   23.40    0.00    0.00   14.89    0.00    0.00    0.00   50.00
11시 23분 07초    2    9.71    0.00   21.36    0.00    0.00   23.30    0.00    0.00    0.00   45.63
11시 23분 07초    3   10.78    0.00   19.61    0.00    0.00   22.55    0.00    0.00    0.00   47.06
11시 23분 07초    4    9.09    0.00   21.21    0.00    0.00   21.21    0.00    0.00    0.00   48.48
11시 23분 07초    5   10.10    0.00   23.23    0.00    0.00   22.22    0.00    0.00    0.00   44.44
11시 23분 07초    6   10.75    0.00   19.35    0.00    0.00   17.20    0.00    0.00    0.00   52.69
11시 23분 07초    7    8.08    0.00   25.25    0.00    0.00   20.20    0.00    0.00    0.00   46.46
11시 23분 07초    8    9.28    0.00   19.59    0.00    0.00   27.84    0.00    0.00    0.00   43.30
11시 23분 07초    9   11.34    0.00   22.68    0.00    0.00   14.43    0.00    0.00    0.00   51.55

11시 23분 07초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 08초  all   10.35    0.00   22.41    0.10    0.00   21.11    0.00    0.00    0.00   46.03
11시 23분 08초    0   12.87    0.00   22.77    0.00    0.00   19.80    0.00    0.00    0.00   44.55
11시 23분 08초    1    9.57    0.00   21.28    0.00    0.00   21.28    0.00    0.00    0.00   47.87
11시 23분 08초    2   11.88    0.00   19.80    0.00    0.00   22.77    0.00    0.00    0.00   45.54
11시 23분 08초    3    8.74    0.00   22.33    0.00    0.00   24.27    0.00    0.00    0.00   44.66
11시 23분 08초    4   11.34    0.00   20.62    0.00    0.00   19.59    0.00    0.00    0.00   48.45
11시 23분 08초    5   10.68    0.00   21.36    0.00    0.00   24.27    0.00    0.00    0.00   43.69
11시 23분 08초    6   11.76    0.00   21.57    0.00    0.00   17.65    0.00    0.00    0.00   49.02
11시 23분 08초    7   10.10    0.00   24.24    0.00    0.00   20.20    0.00    0.00    0.00   45.45
11시 23분 08초    8    9.71    0.00   24.27    0.00    0.00   25.24    0.00    0.00    0.00   40.78
11시 23분 08초    9    8.51    0.00   24.47    0.00    0.00   15.96    0.00    0.00    0.00   51.06

11시 23분 08초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
