Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

11시 23분 00초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 23분 30초  1000     14963         -   92.01  100.00    0.00    0.00  100.00     1  memaslap
11시 23분 30초  1000         -     14978    5.82   18.94    0.00    2.60   24.76     3  |__memaslap
11시 23분 30초  1000         -     14979    5.62   18.64    0.00    2.20   24.26     0  |__memaslap
11시 23분 30초  1000         -     14980    5.82   18.90    0.00    2.10   24.73     0  |__memaslap
11시 23분 30초  1000         -     14981    5.59   19.27    0.00    2.23   24.86     8  |__memaslap
11시 23분 30초  1000         -     14982    5.59   19.23    0.00    2.23   24.83     6  |__memaslap
11시 23분 30초  1000         -     14983    6.09   18.57    0.00    2.13   24.66     6  |__memaslap
11시 23분 30초  1000         -     14984    5.79   18.94    0.00    2.23   24.73     1  |__memaslap
11시 23분 30초  1000         -     14985    5.29   19.63    0.00    2.33   24.93     9  |__memaslap
11시 23분 30초  1000         -     14986    5.92   19.37    0.00    2.26   25.29     8  |__memaslap
11시 23분 30초  1000         -     14987    6.09   18.64    0.00    2.06   24.73     2  |__memaslap
11시 23분 30초  1000         -     14988    5.99   19.20    0.00    2.23   25.19     8  |__memaslap
11시 23분 30초  1000         -     14989    5.56   18.57    0.00    2.10   24.13     7  |__memaslap
11시 23분 30초  1000         -     14990    5.52   19.20    0.00    2.30   24.73     5  |__memaslap
11시 23분 30초  1000         -     14991    5.92   18.70    0.00    2.13   24.63     7  |__memaslap
11시 23분 30초  1000         -     14992    5.62   19.07    0.00    2.16   24.69     5  |__memaslap
11시 23분 30초  1000         -     14993    5.69   18.67    0.00    2.16   24.36     9  |__memaslap

11시 23분 30초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 24분 00초  1000     14963         -   92.00  100.00    0.00    0.00  100.00     2  memaslap
11시 24분 00초  1000         -     14978    5.53   19.13    0.00    1.77   24.67     5  |__memaslap
11시 24분 00초  1000         -     14979    6.00   18.13    0.00    1.87   24.13     3  |__memaslap
11시 24분 00초  1000         -     14980    5.83   18.63    0.00    1.70   24.47     9  |__memaslap
11시 24분 00초  1000         -     14981    5.17   18.30    0.00    1.80   23.47     7  |__memaslap
11시 24분 00초  1000         -     14982    5.90   18.33    0.00    1.83   24.23     5  |__memaslap
11시 24분 00초  1000         -     14983    5.30   18.73    0.00    1.77   24.03     2  |__memaslap
11시 24분 00초  1000         -     14984    5.83   18.40    0.00    1.80   24.23     1  |__memaslap
11시 24분 00초  1000         -     14985    6.33   17.60    0.00    1.87   23.93     5  |__memaslap
11시 24분 00초  1000         -     14986    6.13   18.43    0.00    1.90   24.57     2  |__memaslap
11시 24분 00초  1000         -     14987    5.50   18.40    0.00    1.80   23.90     2  |__memaslap
11시 24분 00초  1000         -     14988    5.50   18.10    0.00    1.77   23.60     7  |__memaslap
11시 24분 00초  1000         -     14989    6.23   18.27    0.00    1.93   24.50     0  |__memaslap
11시 24분 00초  1000         -     14990    6.03   18.33    0.00    1.80   24.37     8  |__memaslap
11시 24분 00초  1000         -     14991    5.87   18.00    0.00    1.83   23.87     6  |__memaslap
11시 24분 00초  1000         -     14992    5.00   19.40    0.00    1.80   24.40     1  |__memaslap
11시 24분 00초  1000         -     14993    5.77   18.83    0.00    1.93   24.60     7  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     14963         -   92.01  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     14978    5.68   19.03    0.00    2.18   24.71     -  |__memaslap
Average:     1000         -     14979    5.81   18.38    0.00    2.03   24.20     -  |__memaslap
Average:     1000         -     14980    5.83   18.77    0.00    1.90   24.60     -  |__memaslap
Average:     1000         -     14981    5.38   18.78    0.00    2.01   24.16     -  |__memaslap
Average:     1000         -     14982    5.75   18.78    0.00    2.03   24.53     -  |__memaslap
Average:     1000         -     14983    5.70   18.65    0.00    1.95   24.35     -  |__memaslap
Average:     1000         -     14984    5.81   18.67    0.00    2.01   24.48     -  |__memaslap
Average:     1000         -     14985    5.81   18.62    0.00    2.10   24.43     -  |__memaslap
Average:     1000         -     14986    6.03   18.90    0.00    2.08   24.93     -  |__memaslap
Average:     1000         -     14987    5.80   18.52    0.00    1.93   24.31     -  |__memaslap
Average:     1000         -     14988    5.75   18.65    0.00    2.00   24.40     -  |__memaslap
Average:     1000         -     14989    5.90   18.42    0.00    2.01   24.31     -  |__memaslap
Average:     1000         -     14990    5.78   18.77    0.00    2.05   24.55     -  |__memaslap
Average:     1000         -     14991    5.90   18.35    0.00    1.98   24.25     -  |__memaslap
Average:     1000         -     14992    5.31   19.23    0.00    1.98   24.55     -  |__memaslap
Average:     1000         -     14993    5.73   18.75    0.00    2.05   24.48     -  |__memaslap
