Linux 5.4.0-77-generic (server3) 	2021년 07월 02일 	_x86_64_	(10 CPU)

11시 23분 01초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 02초  all    9.01    0.00   13.01    0.00    0.00   22.12    0.00    0.00    0.00   55.86
11시 23분 02초    0    2.80    0.00    1.87    0.00    0.00    6.54    0.00    0.00    0.00   88.79
11시 23분 02초    1    5.00    0.00   10.00    0.00    0.00   20.00    0.00    0.00    0.00   65.00
11시 23분 02초    2   13.00    0.00   16.00    0.00    0.00   43.00    0.00    0.00    0.00   28.00
11시 23분 02초    3    2.02    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   94.95
11시 23분 02초    4    6.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
11시 23분 02초    5   13.86    0.00   30.69    0.00    0.00   49.50    0.00    0.00    0.00    5.94
11시 23분 02초    6    1.01    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   92.93
11시 23분 02초    7   13.27    0.00   15.31    0.00    0.00   31.63    0.00    0.00    0.00   39.80
11시 23분 02초    8   12.37    0.00    8.25    0.00    0.00   19.59    0.00    0.00    0.00   59.79
11시 23분 02초    9   20.00    0.00   29.00    0.00    0.00   48.00    0.00    0.00    0.00    3.00

11시 23분 02초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11시 23분 03초  all    9.89    0.00    9.99    0.00    0.00   23.64    0.00    0.00    0.00   56.48
11시 23분 03초    0    3.74    0.00    0.93    0.00    0.00   10.28    0.00    0.00    0.00   85.05
11시 23분 03초    1    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
11시 23분 03초    2   14.85    0.00   18.81    0.00    0.00   47.52    0.00    0.00    0.00   18.81
11시 23분 03초    3    2.94    0.00    0.98    0.00    0.00    2.94    0.00    0.00    0.00   93.14
11시 23분 03초    4    7.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
11시 23분 03초    5   22.00    0.00   28.00    0.00    0.00   47.00    0.00    0.00    0.00    3.00
11시 23분 03초    6    8.91    0.00    6.93    0.00    0.00   12.87    0.00    0.00    0.00   71.29
11시 23분 03초    7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11시 23분 03초    8   20.00    0.00   21.00    0.00    0.00   55.00    0.00    0.00    0.00    4.00
11시 23분 03초    9   14.29    0.00   21.43    0.00    0.00   61.22    0.00    0.00    0.00    3.06

11시 23분 03초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
