Linux 5.4.0-58-generic (kesServer) 	2021년 01월 20일 	_x86_64_	(20 CPU)

13시 06분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 06분 36초  all   22.91    0.00   43.79    0.00    0.00   19.88    0.00    0.00    0.00   13.42
13시 06분 36초    0   23.47    0.00   44.90    0.00    0.00   25.51    0.00    0.00    0.00    6.12
13시 06분 36초    1   21.00    0.00   45.00    0.00    0.00   22.00    0.00    0.00    0.00   12.00
13시 06분 36초    2   19.80    0.00   43.56    0.00    0.00   20.79    0.00    0.00    0.00   15.84
13시 06분 36초    3   21.21    0.00   37.37    0.00    0.00   17.17    0.00    0.00    0.00   24.24
13시 06분 36초    4   24.75    0.00   46.53    0.00    0.00   20.79    0.00    0.00    0.00    7.92
13시 06분 36초    5   23.23    0.00   40.40    0.00    0.00   17.17    0.00    0.00    0.00   19.19
13시 06분 36초    6   25.51    0.00   46.94    0.00    0.00   13.27    0.00    0.00    0.00   14.29
13시 06분 36초    7   22.00    0.00   41.00    0.00    0.00   21.00    0.00    0.00    0.00   16.00
13시 06분 36초    8   23.23    0.00   47.47    0.00    0.00   17.17    0.00    0.00    0.00   12.12
13시 06분 36초    9   22.92    0.00   43.75    0.00    0.00   23.96    0.00    0.00    0.00    9.38
13시 06분 36초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 36초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

13시 06분 36초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 06분 37초  all   18.28    0.00   39.06    0.00    0.00   28.37    0.00    0.00    0.00   14.29
13시 06분 37초    0   14.14    0.00   31.31    0.00    0.00   17.17    0.00    0.00    0.00   37.37
13시 06분 37초    1   13.73    0.00   36.27    0.00    0.00   29.41    0.00    0.00    0.00   20.59
13시 06분 37초    2   23.76    0.00   33.66    0.00    0.00   20.79    0.00    0.00    0.00   21.78
13시 06분 37초    3   19.00    0.00   38.00    0.00    0.00   20.00    0.00    0.00    0.00   23.00
13시 06분 37초    4   17.48    0.00   38.83    0.00    0.00   33.01    0.00    0.00    0.00   10.68
13시 06분 37초    5   15.46    0.00   42.27    0.00    0.00   32.99    0.00    0.00    0.00    9.28
13시 06분 37초    6   20.79    0.00   43.56    0.00    0.00   29.70    0.00    0.00    0.00    5.94
13시 06분 37초    7   19.80    0.00   43.56    0.00    0.00   35.64    0.00    0.00    0.00    0.99
13시 06분 37초    8   23.76    0.00   39.60    0.00    0.00   36.63    0.00    0.00    0.00    0.00
13시 06분 37초    9   16.67    0.00   44.12    0.00    0.00   28.43    0.00    0.00    0.00   10.78
13시 06분 37초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 37초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 37초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13시 06분 37초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
