Linux 5.4.0-58-generic (kesServer) 	2021년 01월 11일 	_x86_64_	(20 CPU)

15시 50분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 50분 47초  all   20.77    0.00   39.21    0.00    0.00   19.25    0.00    0.00    0.00   20.77
15시 50분 47초    0   18.37    0.00   38.78    0.00    0.00   21.43    0.00    0.00    0.00   21.43
15시 50분 47초    1   15.84    0.00   40.59    0.00    0.00   15.84    0.00    0.00    0.00   27.72
15시 50분 47초    2   23.00    0.00   34.00    0.00    0.00   22.00    0.00    0.00    0.00   21.00
15시 50분 47초    3   18.00    0.00   41.00    0.00    0.00   22.00    0.00    0.00    0.00   19.00
15시 50분 47초    4   20.62    0.00   43.30    0.00    0.00   20.62    0.00    0.00    0.00   15.46
15시 50분 47초    5   19.19    0.00   36.36    0.00    0.00   17.17    0.00    0.00    0.00   27.27
15시 50분 47초    6   19.00    0.00   42.00    0.00    0.00   20.00    0.00    0.00    0.00   19.00
15시 50분 47초    7   20.20    0.00   36.36    0.00    0.00   16.16    0.00    0.00    0.00   27.27
15시 50분 47초    8   24.24    0.00   42.42    0.00    0.00   20.20    0.00    0.00    0.00   13.13
15시 50분 47초    9   26.53    0.00   36.73    0.00    0.00   18.37    0.00    0.00    0.00   18.37
15시 50분 47초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 47초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

15시 50분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 50분 48초  all   18.38    0.00   40.16    0.00    0.00   20.68    0.00    0.00    0.00   20.78
15시 50분 48초    0   21.78    0.00   48.51    0.00    0.00   25.74    0.00    0.00    0.00    3.96
15시 50분 48초    1   19.00    0.00   39.00    0.00    0.00   26.00    0.00    0.00    0.00   16.00
15시 50분 48초    2   16.35    0.00   44.23    0.00    0.00   19.23    0.00    0.00    0.00   20.19
15시 50분 48초    3   13.40    0.00   40.21    0.00    0.00   15.46    0.00    0.00    0.00   30.93
15시 50분 48초    4   19.23    0.00   35.58    0.00    0.00   15.38    0.00    0.00    0.00   29.81
15시 50분 48초    5   18.00    0.00   38.00    0.00    0.00   24.00    0.00    0.00    0.00   20.00
15시 50분 48초    6   20.00    0.00   34.29    0.00    0.00   20.95    0.00    0.00    0.00   24.76
15시 50분 48초    7   19.00    0.00   44.00    0.00    0.00   24.00    0.00    0.00    0.00   13.00
15시 50분 48초    8   21.00    0.00   40.00    0.00    0.00   15.00    0.00    0.00    0.00   24.00
15시 50분 48초    9   16.84    0.00   37.89    0.00    0.00   21.05    0.00    0.00    0.00   24.21
15시 50분 48초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15시 50분 48초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

15시 50분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 50분 49초  all   20.06    0.00   39.02    0.00    0.00   20.56    0.00    0.00    0.00   20.36
15시 50분 49초    0   18.00    0.00   44.00    0.00    0.00   14.00    0.00    0.00    0.00   24.00
15시 50분 49초    1   19.23    0.00   37.50    0.00    0.00   21.15    0.00    0.00    0.00   22.12
